mnemonic,number,id
CE,9999,439
CHEM,9740,7553
CHEM,9760,7554
ENWR,2559,10570
HISA,5021,10376
AAS,3157,3
MED,8000,12935
CHE,3316,451
MED,8101,13932
ENMD,5010,1090
CHEM,9820,7556
AAS,5891,11
CHEM,9680,7552
CHEM,9800,7555
CHEM,9840,7557
ACCT,5310,19
ISHU,3280,9906
PHYE,1100,2305
HIST,3775,11739
HIEU,5061,10060
AAS,4070,6
ACCT,3120,15
ACCT,3140,16
ACCT,4450,17
ACCT,5210,18
APMA,111,2954
NCTH,102,8460
SPAN,4700,7159
CE,695,3387
MATH,4530,14297
FREN,3584,6717
ALAR,6710,26
FREN,3509,6716
MATH,7900,14298
ANTH,9998,88
ENWR,2700,1125
AM,6200,28
NCFA,129,6980
LATI,7030,9921
LATI,9998,1674
RELG,2380,8726
RELG,2210,11119
PC,4260,8489
ANTH,2156,37
LAW,9282,13603
KINE,1325,11329
FREN,3753,6718
KINE,1400,11330
SPAN,4712,10225
APMA,1000,90
HIST,4559,10379
ANTH,3410,51
PETR,3210,9310
ARAH,9545,153
CE,793,3391
NESC,9998,2172
HIST,7162,10380
SPAN,4709,7163
ANTH,3559,54
PHYE,1410,10811
ENWR,3640,12388
ANTH,3630,55
MATH,8470,14299
ANTH,2660,43
ANTH,3150,46
ARAH,9995,154
ANTH,3152,47
LAW,9284,13604
ANTH,3155,48
ARAH,9540,152
ANTH,3450,52
ANTH,3320,50
HIEU,3604,13334
ANTH,3850,58
ANTH,3157,49
ANTH,5840,70
ANTH,5410,65
EVEC,7140,11567
ANTH,8999,85
ANTH,7630,79
CHEM,122,3427
ANTH,5529,68
ANTH,4999,64
ANTH,9010,86
NURS,4009,9018
ANTH,5880,71
ANTH,9020,87
ANTH,7030,73
ANTH,7559,78
ANTH,7470,76
EDLF,8315,12099
PLAP,3610,11985
ANTH,7541,77
ANTH,7060,74
STAT,1601,13471
ANTH,7450,75
PC,5040,2216
ANTH,7700,80
FREN,4583,6720
ANTH,7870,82
ANTH,7880,83
FREN,4857,6721
PETR,5210,9311
ARAB,3019,111
FREN,5410,6723
APMA,9897,105
FREN,5011,6722
APMA,6993,104
ISHU,3421,9907
CE,700,3388
CE,734,3389
APMA,3340,100
ARAB,2010,108
LATI,9999,1675
BIOL,4759,12279
MDST,2690,14300
SPAN,7270,10226
MATH,1210,1879
LAW,9285,13605
APMA,9999,106
SPAN,7830,10227
