ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10264,AAS,1010,100,Lecture,"4","","","","Introduction to African-American and African Studies I","",Closed,121,120,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10267,AAS,1010,101,Discussion,"4","","","","Introduction to African-American and African Studies I","",Open,19,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10268,AAS,1010,102,Discussion,"4","","","","Introduction to African-American and African Studies I","",Open,19,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10265,AAS,1010,103,Discussion,"4","","","","Introduction to African-American and African Studies I","",Open,19,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10266,AAS,1010,104,Discussion,"4","","","","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10269,AAS,1010,105,Discussion,"4","","","","Introduction to African-American and African Studies I","",Closed,21,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10270,AAS,1010,106,Discussion,"4","","","","Introduction to African-American and African Studies I","",Closed,23,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
21442,AAS,2559,001,Seminar,"3","","","","New Course in African and African American Studies","Black Feminity & Masculinitiy",Closed,16,15,0,"New course in the subject of African and African American Studies"
19787,AAS,2700,001,Lecture,"3","","","","Festivals of the Americas","",Open,10,20,0,"Communities throughout the Caribbean, and South, Central and North America celebrate festivals which are rooted in religious devotion, and which serve to mark sacred time and and to assert claims about religious, ethnic, and national identities. The class will read ethnographic accounts and listen to musical recordings of signature religious festivals--such as Saint Patrick's Day in Boston, Mardi Gras in New Orleans, and Carnival in Brazil."
21938,AAS,2700,101,Discussion,"3","","","","Festivals of the Americas","",Open,4,7,0,"Communities throughout the Caribbean, and South, Central and North America celebrate festivals which are rooted in religious devotion, and which serve to mark sacred time and and to assert claims about religious, ethnic, and national identities. The class will read ethnographic accounts and listen to musical recordings of signature religious festivals--such as Saint Patrick's Day in Boston, Mardi Gras in New Orleans, and Carnival in Brazil."
21939,AAS,2700,102,Discussion,"3","","","","Festivals of the Americas","",Open,2,7,0,"Communities throughout the Caribbean, and South, Central and North America celebrate festivals which are rooted in religious devotion, and which serve to mark sacred time and and to assert claims about religious, ethnic, and national identities. The class will read ethnographic accounts and listen to musical recordings of signature religious festivals--such as Saint Patrick's Day in Boston, Mardi Gras in New Orleans, and Carnival in Brazil."
21940,AAS,2700,103,Discussion,"3","","","","Festivals of the Americas","",Open,4,6,0,"Communities throughout the Caribbean, and South, Central and North America celebrate festivals which are rooted in religious devotion, and which serve to mark sacred time and and to assert claims about religious, ethnic, and national identities. The class will read ethnographic accounts and listen to musical recordings of signature religious festivals--such as Saint Patrick's Day in Boston, Mardi Gras in New Orleans, and Carnival in Brazil."
19788,AAS,3280,001,Lecture,"3","","","","Reading the Black College Campus","",Open,8,10,0,"Historically Black Colleges and University campuses are records of the process of democratizing (extending to excluded social groups such as African-Americans) opportunities for higher education in America.  Through landscapes, we trace this record, unearthing the politics of landscapes via direct experience as well as via interpretations of representations of landscapes in literature, visual arts, maps, plans, and photographs."
15007,AAS,3456,001,Seminar,"3","","","","The Supreme Court and the Civil Rights Movement","",Open,12,20,0,"This course explores the role of the United States Supreme Court in defining the legality of racial distinctions in the United States in the post-Civil War era.  Special attention is paid to the role of the courtÂ¿s landmark 1954 decision, Brown v. Board of Education.  The class will be taught in a discussion format based upon assigned readings."
12459,AAS,3500,001,Seminar,"3","","","","Intermediate Seminar in African-American & African Studies","Developmnt & Culture in Africa",Closed,10,10,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
15520,AAS,3500,002,Seminar,"3","","","","Intermediate Seminar in African-American & African Studies","Black Fire: Af Am Expression",Closed,65,60,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
21455,AAS,3500,003,Seminar,"3","","","","Intermediate Seminar in African-American & African Studies","Women Writing Africa",Open,8,15,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
19789,AAS,3559,001,Seminar,"3","","","","New Course in African and African American Studies","Af-American Health Professnals",Open,5,18,0,"New course in the subject of African and African American Studies."
