ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10017,AAS,401,2017,Independent Study,"3","","","","Independent Study","",Closed,1,15,0,""
10018,AAS,402,2018,Independent Study,"3","","","","Independent Study","",Closed,1,15,0,""
10019,ACCT,201,6675,Lecture,"3","","","","Introductory Accounting I","",Open,8,24,0,""
10020,ACCT,202,6676,Lecture,"3","","","","Introductory Accounting II","",Open,10,24,0,""
10021,ACCT,311,6677,Lecture,"3","","","","Intermediate Accounting I","",Open,9,24,0,""
10022,ACCT,314,6678,Lecture,"3","","","","Cost Accounting","",Open,11,24,0,""
11265,ACCT,445,6679,Lecture,"3","","","","Federal Taxation I","",Open,12,24,0,""
10023,ACCT,521,6690,Lecture,"3","","","","Introductory Auditing","",Open,16,24,0,""
10024,ACCT,546W,6691,Lecture,"3","","","","Federal Taxation II","",Open,13,24,0,""
10025,ALAR,501,3045,Lecture,"1","","","","Intro to Design (Institute)","",Open,26,30,0,""
10026,ALAR,502,3046,Lecture,"1","","","","Intro Des Graphics (Institute)","",Open,26,30,0,""
10027,ALAR,503,3047,Lecture,"1","","","","Intro Theory&Analy (Institute)","",Open,26,30,0,""
10007,AM,693,2294,Independent Study,"3 - 6","","","","Independent Study","",Closed,0,15,0,""
10008,AM,695,2295,Independent Study,"1 - 6","","","","Supervised Project Research","",Closed,0,15,0,""
10009,AM,793,2296,Independent Study,"3 - 6","","","","Independent Study","",Closed,0,15,0,""
10010,AM,795,2246,Independent Study,"1 - 6","","","","Supervised Project Research","",Closed,0,15,0,""
10011,AM,895,2297,Independent Study,"3 - 6","","","","Supervised Project Research","",Closed,0,15,0,""
10012,AM,897,2298,Independent Study,"3 - 6","","","","Graduate Teaching Instruction","",Closed,0,15,0,""
10013,AM,898,2299,Independent Study,"3 - 6","","","","Masters Thesis Research","",Closed,0,15,0,""
10014,AM,997,2300,Independent Study,"3 - 6","","","","Graduate Teaching Instruction","",Closed,0,15,0,""
10015,AM,999,2301,Independent Study,"3 - 6","","","","Research","",Closed,0,15,0,""
10028,ANTH,101,103V,Lecture,"3","","","","Introduction to Anthropology","",Closed,19,18,0,""
10029,ANTH,205,401S,Lecture,"3","","","","Non-UVa Transfer/Test Credit","",Closed,20,20,0,""
10030,ANTH,240,002D,Lecture,"3","","","","Language and Culture","",Closed,25,25,0,""
10031,ANTH,256,001H,Lecture,"3","","","","Peoples and Cultures of Africa","",Closed,9,20,0,""
11501,ANTH,258,103G,Lecture,"3","","","","Fertility and the Future","",Open,7,30,0,""
10032,ANTH,282,1015,Lecture,"3","","","","Rise of Civilization","",Open,15,20,0,""
10033,ANTH,292,401T,Lecture,"3","","","","New World Civilizations","",Open,16,20,0,""
10034,ANTH,302,102E,Lecture,"3","","","","Top:Prin Sociocultural Anlys","",Closed,22,20,0,""
11264,ANTH,369Z,598N,Lecture,"6","","","","Guiana Amerindian Studies","",Open,6,20,0,""
10035,ANTH,381,002E,Lecture,"6","","","","Field Methods in Archaeology","",Closed,7,25,0,""
10036,ANTH,461Z,597A,Lecture,"3","","","","People, Culture & Env S Africa","",Open,14,20,0,""
10039,ANTH,496,001U,Independent Study,"1 - 6","","","","Indep Study in Anthropology","",Closed,1,15,0,""
10037,ANTH,496,1020,Independent Study,"1 - 6","","","","Indep Study in Anthropology","",Closed,0,15,0,""
10038,ANTH,496,4018,Independent Study,"1 - 6","","","","Indep Study in Anthropology","",Closed,1,15,0,""
10041,ANTH,589,2012,Lecture,"3 - 6","","","","Topics in Archaeology","",Closed,0,15,0,""
10040,ANTH,589,6000,Lecture,"6","","","","Topics in Archaeology","",Open,12,15,0,""
10042,ANTH,589,6001,Lecture,"6","","","","Topics in Archaeology","",Open,8,15,0,""
10043,ANTH,589,6002,Lecture,"5","","","","Topics in Archaeology","",Closed,7,15,0,""
10044,ANTH,595,2013,Independent Study,"2","","","","Independent Study","",Open,0,40,0,""
10045,ANTH,898,2014,Independent Study,"1 - 6","","","","Non-Topical Research","",Closed,0,15,0,""
10046,ANTH,901,2015,Independent Study,"1 - 6","","","","Directed Readings","",Closed,0,20,0,""
10047,ANTH,999,2016,Independent Study,"1 - 6","","","","Non-Topical Research","",Closed,1,15,0,""
10048,APMA,109,301A,Lecture,"4","","","","Single Variable Calculus I","",Closed,21,35,0,""
10049,APMA,212,201A,Lecture,"4","","","","Multivariate Calculus","",Open,19,30,0,""
10050,APMA,213,2135,Lecture,"4","","","","Ordinary Differentl Equations","",Closed,31,30,0,""
10051,APMA,308,201W,Lecture,"3","","","","Linear Algebra","",Open,24,30,0,""
10052,APMA,310,201B,Lecture,"3","","","","Probability","",Open,11,30,0,""
10053,APMA,311,2090,Lecture,"3","","","","App Probability & Statistics","",Closed,12,30,0,""
10054,APMA,312,201X,Lecture,"3","","","","Statistics","",Open,8,20,0,""
10055,APMA,693,2286,Independent Study,"3 - 6","","","","Independent Study","",Closed,0,15,0,""
10056,APMA,695,2287,Independent Study,"1 - 6","","","","Supervised Project Research","",Closed,0,15,0,""
10057,APMA,793,2288,Independent Study,"3 - 6","","","","Independent Study","",Closed,0,15,0,""
10058,APMA,795,2252,Independent Study,"1 - 6","","","","Supervised Project Research","",Closed,0,15,0,""
10059,APMA,895,2289,Independent Study,"3 - 6","","","","Supervised Project Research","",Closed,0,15,0,""
10060,APMA,897,2290,Independent Study,"3 - 6","","","","Graduate Teaching Instruction","",Closed,0,15,0,""
10061,APMA,898,2291,Independent Study,"3 - 6","","","","Thesis","",Closed,0,15,0,""
10062,APMA,997,2292,Independent Study,"3 - 6","","","","Graduate Teaching Instruction","",Closed,0,15,0,""
10063,APMA,999,2293,Independent Study,"3 - 6","","","","Dissertation","",Closed,0,15,0,""
10072,ARAB,101,001Y,Lecture,"4","","","","Elementary Arabic I","",Closed,9,20,0,""
11503,ARAB,101Z,598Y,Lecture,"3","","","","Elementary Arabic I","",Open,6,20,0,""
10073,ARAB,102,101G,Lecture,"4","","","","Elementary Arabic II","",Closed,8,20,0,""
10074,ARAB,201,002N,Lecture,"4","","","","Intermediate Arabic I","",Open,5,20,0,""
11505,ARAB,201Z,598V,Lecture,"3","","","","Intermediate Arabic I","",Open,5,20,0,""
10075,ARAB,202,104R,Lecture,"4","","","","Intermediate Arabic II","",Open,7,20,0,""
10076,ARAB,493,203V,Independent Study,"1 - 3","","","","Independent Study in Arabic","",Closed,0,1,0,""
10077,ARAH,563,6003,Lecture,"3","","","","Southern Hist & Material Cult","",Open,15,20,0,""
10078,ARCH,201,1011,Lecture,"6","","","","Intro to Architectural Dsgn I","",Closed,10,25,0,""
10079,ARCH,202,403H,Independent Study,"6","","","","Intro to Architectural Dsgn II","",Closed,10,25,0,""
10080,ARCH,204,403K,Lecture,"3","","","","Intro to Architectural Design","",Closed,3,18,0,""
11517,ARCH,489,201N,Independent Study,"1 - 4","","","","Adv Independent Research","",Open,1,15,0,""
10081,ARCH,500Z,5973,Lecture,"3","","","","Vincenza Program","",Closed,20,20,0,""
11518,ARCH,598,201Q,Independent Study,"1 - 6","","","","Independent Study","",Open,0,15,0,""
10082,ARCH,852,2443,Independent Study,"1 - 3","","","","Independent Study","",Closed,0,15,0,""
10064,ARH,112,4006,Lecture,"3","","","","History of Architecture","",Open,6,20,0,""
10065,ARH,556Z,5986,Lecture,"3","","","","Falmouth Field School","",Open,20,25,0,""
11222,ARH,599Z,598M,Lecture,"3","","","","Indep Study Arch History-China","",Open,0,30,0,""
10066,ARH,599Z,5987,Lecture,"3","","","","Indep Study Arch History-China","",Closed,0,25,0,""
10068,ARH,897,2002,Independent Study,"3 - 6","","","","Individual Research","",Closed,0,15,0,""
10067,ARH,897,2079,Independent Study,"1 - 3","","","","Individual Research","",Closed,0,15,0,""
10069,ARH,898,202B,Independent Study,"3 - 6","","","","Independent Research","",Closed,0,25,0,""
10070,ARH,997,202N,Independent Study,"3","","","","Non-Topical Research","",Closed,0,25,0,""
10071,ARH,999,201K,Independent Study,"3 - 6","","","","Non-Topical Research","",Closed,0,25,0,""
10083,ARTH,100,404H,Lecture,"3","","","","Non-UVa Transfer/Test Credit","",Closed,16,25,0,""
11291,ARTH,100Z,204U,Lecture,"3","","","","Intro to Art & Architecture","",Open,34,35,0,""
11279,ARTH,100Z,2028,Lecture,"3","","","","Intro to Art & Architecture","",Closed,36,35,0,""
11336,ARTH,101Z,204V,Lecture,"3","","","","History of Art","",Closed,35,35,0,""
11537,ARTH,214Z,599A,Lecture,"3","","","","Etruscan & Roman Art Architec","",Open,3,4,0,""
10084,ARTH,216,102H,Lecture,"3","","","","Monuments of Rome","",Open,5,20,0,""
10085,ARTH,268Z,5981,Lecture,"3","","","","Art Since 1945","",Closed,9,20,0,""
11428,ARTH,269Z,598X,Lecture,"3","","","","Twentieth Century Italian Art","",Open,5,30,0,""
10086,ARTH,275,1024,Lecture,"3","","","","The Arts of India","",Open,7,20,0,""
10087,ARTH,280Z,6175,Lecture,"3","","","","Art Since 1945","",Closed,1,40,0,""
10088,ARTH,280Z,6177,Lecture,"3","","","","Art Since 1945","",Closed,0,40,0,""
11538,ARTH,300Z,598U,Lecture,"3","","","","Sienese Art and Architecture","",Open,2,3,0,""
10089,ARTH,316Z,5977,Lecture,"3","","","","Roman Architecture","",Open,16,20,0,""
10090,ARTH,336Z,5978,Lecture,"3","","","","Renaissance and Baroque Rome","",Open,16,20,0,""
10091,ARTH,591,103N,Independent Study,"3","","","","Adv Readings in Hist of Art","",Closed,0,15,0,""
10092,ARTH,894,2008,Lecture,"3","","","","Spcl Reading Problems in Art","",Closed,0,5,0,""
10093,ARTH,898,2009,Independent Study,"3 - 6","","","","Non-Topical Research","",Closed,0,15,0,""
10094,ARTH,999,2010,Independent Study,"3 - 6","","","","Non-Topical Research","",Closed,2,15,0,""
11280,ARTS,161Z,203S,Studio,"3","","","","Beginning Drawing I","",Closed,21,20,0,""
10095,ARTS,162,103C,Studio,"3","","","","Introduction to Drawing II","",Open,14,24,0,""
10096,ARTS,207Z,5980,Lecture,"3","","","","Photography in Italy","",Closed,0,20,0,""
10097,ARTS,253Z,5982,Lecture,"3","","","","Special Topics: Photography","",Open,11,20,0,""
11337,ARTS,262Z,203T,Lecture,"3","","","","Introduction to Drawing II","",Open,19,20,0,""
10098,ARTS,267,0012,Studio,"3 - 4","","","","Introduction to Printmaking I","",Open,8,10,0,""
10099,ARTS,271,002A,Studio,"4","","","","Introduction to Painting I","",Open,16,24,0,""
10100,ARTS,281,401Z,Studio,"4","","","","Introduction to Sculpture I","",Closed,16,10,0,""
10101,ARTS,282,4011,Studio,"3 - 4","","","","Introduction to Sculpture II","",Open,3,10,0,""
10102,ARTS,352Z,5983,Lecture,"3","","","","Intermediate Photography","",Closed,3,20,0,""
10103,ARTS,368,0015,Studio,"3 - 4","","","","Intermediate Printmaking II","",Open,3,10,0,""
10104,ARTS,381,4012,Studio,"3 - 4","","","","Intermediate Sculpture I","",Open,1,10,0,""
10105,ARTS,382,4013,Studio,"3 - 4","","","","Intermediate Sculpture II","",Closed,0,10,0,""
10106,ARTS,468,0017,Studio,"3 - 4","","","","Adv Problems in Printmaking II","",Closed,0,10,0,""
10107,ARTS,481,4014,Studio,"3 - 4","","","","Advanced Sculpture I","",Closed,0,10,0,""
10108,ARTS,482,4015,Independent Study,"3 - 4","","","","Advanced Sculpture II","",Open,0,10,0,""
10109,ARTS,507,0018,Independent Study,"3 - 4","","","","Advanced Projects in Art","",Closed,1,10,0,""
10110,ASTR,121,1021,Lecture,"3","","","","Intro Sky and Solar System","",Closed,6,25,0,""
10111,ASTR,124,4019,Lecture,"3","","","","Intro Stars Galaxies Universe","",Open,13,25,0,""
10112,ASTR,342,1170,Lecture,"3","","","","Life Beyond the Earth","",Closed,0,25,0,""
10113,ASTR,348,401Q,Lecture,"3","","","","Introduction to Cosmology","",Closed,0,25,0,""
10114,ASTR,395,2019,Lecture,"3 - 6","","","","Tutorial","",Closed,0,15,0,""
10115,ASTR,571,1023,Lecture,"3","","","","Fundamental Concepts in Astr","",Closed,0,5,0,""
