ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
11679,AAS,3457,001,Seminar,"3","Herbert Lovelace","MoTuWeThFr 10:30AM - 12:45PM","Nau 142","06/13/2011 - 07/09/2011","Herbert Lovelace","Sa 10:30AM - 1:00PM","Nau 142","07/09/2011 - 07/09/2011","","","","","","","","","Issues in Civil Rights Law","",Open,13,20,0,"An exploration of critical issues in modern civil rights law.  We engage competing visions of racial equality through law by examining topics such as school desegregation, affirmative action, urban policymaking, and the crisis of mass incarceration.  This course will also highlight the limitations of civil rights law and consider the ways in which the law is often complicit in perpetuating race, gender and class hierarchies."
11678,AAS,3500,001,Seminar,"3","Jonathan Fenderson","MoTuWeThFr 1:00PM - 3:15PM","Cocke Hall 101","05/16/2011 - 06/11/2011","","","","","","","","","","","","","Intermediate Seminar in African-American & African Studies","Af-American Art and Politics",Open,6,20,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
12793,AAS,4993,1,Independent Study,"3","Maurice Apprey","TBA","TBA","06/13/2011 - 08/05/2011","","","","","","","","","","","","","Independent Study","",Open,1,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
11799,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 10:00PM","Northern Virginia Center","05/16/2011 - 05/23/2011","Noel Montesa","Mo 6:30PM - 10:00PM","Northern Virginia Center","06/06/2011 - 06/27/2011","Noel Montesa","Mo 6:30PM - 10:00PM","Northern Virginia Center","07/11/2011 - 08/22/2011","","","","","Introductory Accounting II","",Open,8,24,0,"Continuation of ACCT 2010. Approximately one third of the course deals with additional financial accounting topics, emphasizing managerial considerations and financial analysis. Cost accumulation, allocation, and product cost methods are studied in a manufacturing setting. Matters such as evaluation of performance planning, cost behavior, and special decisions are emphasized.  Prerequisite: ACCT 2010."
11802,ACCT,3140,701,Lecture,"3","William Cardine","MoTh 6:30PM - 10:00PM","Northern Virginia Center","05/16/2011 - 05/26/2011","William Cardine","MoTh 6:30PM - 10:00PM","Northern Virginia Center","06/02/2011 - 06/30/2011","","","","","","","","","Cost Accounting","",Open,6,24,0,"Addresses analysis of cost behavior and volume profit relationships; responsibility accounting and reporting flexible budgets; and the use of standard costs to guide and control performance.  Prerequisite: ACCT 2020."
11915,ACCT,5210,501,Lecture,"3","Ralph Traylor","We 6:00PM - 9:00PM","Zehmer Hall Conference Center","04/20/2011 - 07/27/2011","","","","","","","","","","","","","Introductory Auditing","",Open,7,20,0,"Examines auditing methodology through a study of auditing standards. Includes the nature of evidence, program planning, work papers, internal control evaluation, types of audit tests, and audit reports.  Prerequisite: ACCT 3120."
11805,ACCT,5210,701,Lecture,"3","Karen Young","MoTh 6:30PM - 10:00PM","Northern Virginia Center","05/16/2011 - 05/26/2011","Karen Young","MoTh 6:30PM - 10:00PM","Northern Virginia Center","06/02/2011 - 06/30/2011","","","","","","","","","Introductory Auditing","",Open,14,24,0,"Examines auditing methodology through a study of auditing standards. Includes the nature of evidence, program planning, work papers, internal control evaluation, types of audit tests, and audit reports.  Prerequisite: ACCT 3120."
11806,ACCT,5460,701,Lecture,"3","Gary Dittmer","Tu 1:07AM - 1:07AM","Web-Based Course-no class mtgs","05/31/2011 - 08/20/2011","","","","","","","","","","","","","Federal Taxation II","",Open,18,24,0,"Analyzes of the federal income tax law and its application to corporations, shareholders, partnerships, partners, estates, and gift transactions.  Prerequisite: ACCT 4450."
10046,ALAR,5010,001,Lecture,"1","Elizabeth Meyer, Maurice Cox","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 305","07/11/2011 - 08/05/2011","","","","","","","","","","","","","Introduction to Design","",Open,20,30,0,"The Summer Design Institute prepares graduate students admitted to the Master of Architecture and Master of Landscape Architecture Programs for rigorous professional study in these design disciplines.  Three courses comprise the full time course of study over a two month period during the University of Virginia's Summer Session.  Introduction to design concepts from the scale of the city to the body, developing an understanding of design process and compositional strategies in architecture and landscape architecture.  Prerequisite: Admission to the Master of Architecture or Master of Landscape Architecture Program - required for entry into the three year course of professional study unless waived by the Department Chair."
10047,ALAR,5020,001,Lecture,"1","Elizabeth Meyer, Maurice Cox","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 405","07/11/2011 - 08/05/2011","","","","","","","","","","","","","Introduction to Design Graphics","",Open,20,30,0,"The Summer Design Institute prepares graduate students admitted to the Master of Architecture and Master of Landscape Architecture Programs for rigorous professional study in these design disciplines. Three courses comprise the full time course of study over a two month period during the University of Virginia's Summer Session. Introduction to both digital and manual representational techniques, developing the precision and facility necessary for visual communication.  Prerequisite: Admission to the Master of Architecture or Master of Landscape Architecture Program - required for entry into the three year course of professional study unless waived by the Department Chair."
