ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10266,AAS,1020,100,Lecture,"4","Claudrena Harold","TuTh 12:30PM - 1:45PM","Wilson Hall 301","01/18/2012 - 05/01/2012","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Closed,123,118,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10271,AAS,1020,101,Discussion,"4","Shermaine Jones","Th 6:00PM - 6:50PM","New Cabell Hall 330","01/18/2012 - 05/01/2012","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Closed,18,18,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10270,AAS,1020,102,Discussion,"4","Shermaine Jones","Th 4:00PM - 4:50PM","New Cabell Hall 338","01/18/2012 - 05/01/2012","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Closed,24,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10269,AAS,1020,103,Discussion,"4","Mateusz Liese","We 5:00PM - 5:50PM","New Cabell Hall 332","01/18/2012 - 05/01/2012","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Closed,21,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10268,AAS,1020,104,Discussion,"4","Shermaine Jones","We 2:00PM - 2:50PM","Maury Hall 110","01/18/2012 - 05/01/2012","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Closed,20,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10272,AAS,1020,105,Discussion,"4","Mateusz Liese","Th 7:00PM - 7:50PM","New Cabell Hall 330","01/18/2012 - 05/01/2012","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Closed,20,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10267,AAS,1020,106,Discussion,"4","Mateusz Liese","We 6:00PM - 6:50PM","Dell 2  102","01/18/2012 - 05/01/2012","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Closed,20,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
20540,AAS,3250,100,Lecture,"3","Kendra Hamilton","MoWe 11:00AM - 11:50AM","Clark Hall 101","01/18/2012 - 05/01/2012","","","","","","","","","","","","","MotherLands: Landscapes of Hunger, Futures of Plenty","",Open,8,9,0,"This course explores the legacy of the ""hidden wounds"" left upon the landscape by plantation slavery along with the visionary work of ecofeminist scholars and activists daring to imagine an alternative future. Readings, guest lectures, and field trips  illumine the ways in which gender, race, and power are encoded in historical, cultural, and physical landscapes associated with planting/extraction regimes such as tobacco, mining, sugar, and corn."
20541,AAS,3250,101,Discussion,"3","Kendra Hamilton","Fr 11:00AM - 11:50AM","Fayerweather Hall 215","01/18/2012 - 05/01/2012","","","","","","","","","","","","","MotherLands: Landscapes of Hunger, Futures of Plenty","",Closed,6,5,0,"This course explores the legacy of the ""hidden wounds"" left upon the landscape by plantation slavery along with the visionary work of ecofeminist scholars and activists daring to imagine an alternative future. Readings, guest lectures, and field trips  illumine the ways in which gender, race, and power are encoded in historical, cultural, and physical landscapes associated with planting/extraction regimes such as tobacco, mining, sugar, and corn."
20542,AAS,3250,102,Discussion,"3","Kendra Hamilton","Fr 10:00AM - 10:50AM","Fayerweather Hall 215","01/18/2012 - 05/01/2012","","","","","","","","","","","","","MotherLands: Landscapes of Hunger, Futures of Plenty","",Open,2,5,0,"This course explores the legacy of the ""hidden wounds"" left upon the landscape by plantation slavery along with the visionary work of ecofeminist scholars and activists daring to imagine an alternative future. Readings, guest lectures, and field trips  illumine the ways in which gender, race, and power are encoded in historical, cultural, and physical landscapes associated with planting/extraction regimes such as tobacco, mining, sugar, and corn."
