ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10070,ANTH,2559,1,Lecture,"3","Patricia Wattenmaker","MoTuWeThFrSa 10:00AM - 4:00PM","Monroe Hall 114","01/02/2015 - 01/10/2015","","","","","","","","","","","","","New Course in Anthropology","Diplomacy Lab",Open,7,15,0,"New course in the subject of anthropology."
10071,ANTH,2590,1,Lecture,"3","Dionisios Kavadias, Rose Wellman","MoTuWeThFrSa 10:00AM - 4:00PM","Monroe Hall 110","01/02/2015 - 01/10/2015","","","","","","","","","","","","","Social and Cultural Anthropology","Greco-Arabic Body & Soul",Open,9,30,0,"Topics to be announced prior to each semester, dealing with social and cultural anthropology."
10073,ARTS,2580,1,Discussion,"3","William Bennett","MoTuWeThFrSa 9:30AM - 3:30PM","Ruffin Hall 120","01/02/2015 - 01/10/2015","","","","","","","","","","","","","Special Topics in Sculpture","The Human Figure",Open,14,15,0,"An introduction to the specialized materials, methods, processes, and cultural issues as they relate to the history and practice of Sculpture"
10074,ARTS,2610,1,Studio,"3","Akemi Rollando","MoTuWeThFrSa 9:30AM - 3:30PM","Ruffin Hall 203","01/02/2015 - 01/10/2015","","","","","","","","","","","","","Introduction to Drawing I","",Open,14,20,0,"Drawing provides students with a foundation of skills, judgement, and observational abilities that are essential to artistic expression. ARTS2000 is required for every Studio Art major and minor and a prerequisite for all other media related courses in Studio Art."
10135,ARTS,2610,2,Studio,"3","Amy Chan","MoTuWeThFrSa 9:30AM - 3:30PM","Ruffin Hall 319","01/02/2015 - 01/10/2015","","","","","","","","","","","","","Introduction to Drawing I","",Open,10,20,0,"Drawing provides students with a foundation of skills, judgement, and observational abilities that are essential to artistic expression. ARTS2000 is required for every Studio Art major and minor and a prerequisite for all other media related courses in Studio Art."
10079,ARTS,2620,1,Studio,"3","Dean Dass","MoTuWeThFrSa 10:00AM - 4:00PM","Ruffin Hall 220","01/02/2015 - 01/10/2015","","","","","","","","","","","","","Introduction to Drawing II","",Open,9,30,0,"Continuation of ARTS 1610 with projects emphasizing on drawing skills and analytical thinking. The majority of assignments will be concept-based to encourage students to develop individual visual language.  Prerequisite: ARTS 1610."
10080,BME,4550,1,Lecture,"3","Timothy Allen","MoTuWeThFrSa 10:00AM - 4:00PM","TBA","01/02/2015 - 01/10/2015","","","","","","","","","","","","","Special Topics in Biomedical Engineering","Med Prod Design & Innovation",Open,11,18,0,"Applies engineering science, design methods, and system analysis to developing areas and current problems in biomedical engineering. Topics vary by semester. Recent topics include Medical Imaging Systems Theory, BME Advanced Design, BME Electronics Lab, and Systems Biology Modeling and Experimentation.  Prerequisite: third- or fourth-year standing and instructor permission."
10106,CLAS,3600,1,Seminar,"3","Bradford Hays","MoTuWeThFrSa 9:00AM - 3:00PM","Bryan Hall 334","01/02/2015 - 01/10/2015","","","","","","","","","","","","","Medieval Manuscripts at UVA","",Open,5,12,0,"An introduction to the study of medieval manuscripts through the holdings of the University of Virginia. Manuscripts will be studied from a variety of perspectives: the cultural context that produced them, their physical and visual form, and the history of their reception, from their creation to their current home in the Small Special Collections Library."
10083,COMM,3845,1,Lecture,"3","William Wilkerson","MoTuWeThFrSa 10:00AM - 4:00PM","Rouss Hall 403","01/02/2015 - 01/10/2015","","","","","","","","","","","","","Foundations of International Business","",Closed,22,20,0,"An introduction to the field of international business through an examination of the practice and theory of international business, focusing on managerial, operational, strategic, ethical, and environmental factors. The student develops an understanding of global trade theory and the various forms of global and regional economic integration; examines the major functions of managing an international business; becomes familiar with the instruments, procedures, and processes of international business; ascertains the modes of international market entry and foreign direct investment; generates an appreciation of the importance of culture on international business; and evaluates ethical issues in international business.    Prerequisite: Non-Commerce students."
10123,EDLF,5993,1,Independent Study,"1 - 6","Carol Tomlinson","TBA","TBA","01/02/2015 - 01/10/2015","","","","","","","","","","","","","Independent Study","",Closed,1,1,0,"Prerequisite: Instructor permission."
