ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10001,AAS,1010,100,Lecture,"4","","","","Introduction to African-American and African Studies I","",Closed,126,120,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10004,AAS,1010,101,Discussion,"0","","","","Introduction to African-American and African Studies I","",Closed,21,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10005,AAS,1010,102,Discussion,"0","","","","Introduction to African-American and African Studies I","",Closed,25,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10002,AAS,1010,103,Discussion,"0","","","","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10003,AAS,1010,104,Discussion,"0","","","","Introduction to African-American and African Studies I","",Open,19,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10006,AAS,1010,105,Discussion,"0","","","","Introduction to African-American and African Studies I","",Closed,21,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10007,AAS,1010,106,Discussion,"0","","","","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
15153,AAS,2224,001,Seminar,"3","","","","Black Femininities and Masculinities in the US Media","",Closed,48,45,0,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
20647,AAS,2224,002,Seminar,"3","","","","Black Femininities and Masculinities in the US Media","",Closed,27,22,0,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
19199,AAS,3500,003,Seminar,"3","","","","Intermediate Seminar in African-American & African Studies","Race, Medicine&IncarcerationUS",Closed,20,20,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
15472,AAS,3500,004,Seminar,"3","","","","Intermediate Seminar in African-American & African Studies","SS PerspAf-Amer&AfricanStudies",Open,17,20,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
19200,AAS,3500,005,Seminar,"3","","","","Intermediate Seminar in African-American & African Studies","White Liberalism&Black Writers",Open,20,25,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
19201,AAS,3559,001,Seminar,"3","","","","New Course in African and African American Studies","Revol Struggles Afr Atlantic",Closed,15,15,0,"New course in the subject of African and African American Studies."
19202,AAS,3559,002,Seminar,"3","","","","New Course in African and African American Studies","America& the Age of Revolution",Open,4,15,0,"New course in the subject of African and African American Studies."
19203,AAS,3559,003,Seminar,"3","","","","New Course in African and African American Studies","Sound&Religion of JamesBaldwin",Closed,10,10,0,"New course in the subject of African and African American Studies."
20645,AAS,3559,004,Seminar,"3","","","","New Course in African and African American Studies","Amer Colonialism, Po-Co Theory",Open,10,15,0,"New course in the subject of African and African American Studies."
20648,AAS,3559,005,Seminar,"3","","","","New Course in African and African American Studies","African Worlds, Life Stories",Open,10,22,0,"New course in the subject of African and African American Studies."
12542,AAS,4070,001,Lecture,"3","","","","Directed Reading and Research","",Open,1,10,0,"Students in the Distinguished Majors Program should enroll in this course for their first semester of  thesis research."
19196,AAS,4501,001,Seminar,"4","","","","Advanced Research Seminar in History & AAS","Afrcn American Women's History",Open,12,15,0,"Reading, class discussion, and research on a special topic in African-American and African Studies culminating in the composition of a research paper. Topics change from term to term, and vary with the instructor.  Primarily for fourth-year AAS and History students--double majors and others. Crosslisted with the History major seminar."
20326,AAS,4501,002,Seminar,"4","","","","Advanced Research Seminar in History & AAS","Black Power",Closed,8,5,0,"Reading, class discussion, and research on a special topic in African-American and African Studies culminating in the composition of a research paper. Topics change from term to term, and vary with the instructor.  Primarily for fourth-year AAS and History students--double majors and others. Crosslisted with the History major seminar."
14361,AAS,4993,003,Independent Study,"1 - 12","","","","Independent Study","",Closed,2,2,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
14726,AAS,4993,005,Independent Study,"1 - 12","","","","Independent Study","",Open,2,5,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
21354,ACCT,2010,701,Lecture,"3","","","","Introductory Accounting I","",Open,22,24,0,"Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop the accounting model for capturing financial data, and finishes with the problems of measuring and reporting income, assets, liabilities, and equities."
