ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10465,AAS,2224,001,Seminar,"3","Lisa Shutt","MoTuWeThFr 1:00PM - 3:15PM","New Cabell Hall 107","07/16/2018 - 08/08/2018","","","","","","","","","","","","","Black Femininities and Masculinities in the US Media","",Closed,20,20,0,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
11203,AAS,2559,001,Seminar,"1 - 4","Xavier Pickett","MoTuWeThFr 1:00PM - 3:15PM","New Cabell Hall 115","06/18/2018 - 07/12/2018","","","","","","","","","","","","","New Course in African and African American Studies","Black Theology: Black Pwr-#BLM",Open,8,20,0,"New course in the subject of African and African American Studies"
11204,AAS,2559,002,Seminar,"1 - 4","Anne Rotich","MoTuWeThFr 10:30AM - 12:45PM","Ruffner Hall 123","07/16/2018 - 08/08/2018","","","","","","","","","","","","","New Course in African and African American Studies","Women Leaders in Africa",Open,10,16,0,"New course in the subject of African and African American Studies"
10466,AAS,3749,001,Seminar,"3","Lisa Shutt","MoTuWeThFr 1:00PM - 3:15PM","New Cabell Hall 044","05/21/2018 - 06/14/2018","","","","","","","","","","","","","Food and Meaning in Africa and the Diaspora","",Open,6,20,0,"This course investigates the traditions and symbolics of food and eating in Africa and throughout the African Diaspora -- wherever people of African descent have migrated or have been forced to move. This course will help students to investigate the way the foods people eat' or don't eat' hold meaning for people within a variety of cultural contexts.Topics will include symbol, taboo, sexuality, bodies, ritual, kinship & beauty, among others."
10472,AAS,4993,003,Independent Study,"1 - 12","Lisa Shutt","TBA","TBA","05/21/2018 - 06/14/2018","","","","","","","","","","","","","Independent Study","",Open,0,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
10491,AAS,4993,004,Independent Study,"1 - 12","Maurice Apprey","TBA","TBA","07/16/2018 - 08/08/2018","","","","","","","","","","","","","Independent Study","",Open,0,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
10538,AAS,4993,005,Independent Study,"1 - 12","Lisa Shutt","TBA","TBA","07/16/2018 - 08/08/2018","","","","","","","","","","","","","Independent Study","",Open,0,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
12062,ACCT,2010,701,Lecture,"3","Marshall Kasten","Mo 2:00AM - 2:01AM","Web-Based Course-No class mtgs","05/21/2018 - 08/10/2018","","","","","","","","","","","","","Introductory Accounting I","",Closed,12,12,0,"Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop the accounting model for capturing financial data, and finishes with the problems of measuring and reporting income, assets, liabilities, and equities."
12063,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 9:45PM","Web-Based Course-No class mtgs","05/21/2018 - 08/06/2018","","","","","","","","","","","","","Introductory Accounting II","",Closed,14,14,0,"Continuation of ACCT 2010. Approximately one third of the course deals with additional financial accounting topics, emphasizing managerial considerations and financial analysis. Cost accumulation, allocation, and product cost methods are studied in a manufacturing setting. Matters such as evaluation of performance planning, cost behavior, and special decisions are emphasized.  Prerequisite: ACCT 2010."
12064,ACCT,3110,701,Lecture,"3","Leon Hutton","Tu 6:30PM - 9:45PM","Web-Based Course-No class mtgs","05/22/2018 - 08/07/2018","","","","","","","","","","","","","Intermediate Accounting I","",Closed,11,11,0,"An intensive study of the generally accepted accounting principles for asset valuation, income measurement, and financial statement presentation for business organizations, and the processes through which these principles evolve.  Prerequisite: ACCT 2020."
12065,ACCT,3120,701,Lecture,"3","Gary Brooks","Th 6:30PM - 9:45PM","Web-Based Course-No class mtgs","05/24/2018 - 08/09/2018","","","","","","","","","","","","","Intermediate Accounting II","",Closed,13,13,0,"Continuation of ACCT 3110, emphasizing accounting for the equities of a firm's investors and creditors. Covers special problem areas in financial accounting including accounting for leases, pensions, and income taxes.  Prerequisite: ACCT 3110."
12066,ACCT,3140,701,Lecture,"3","William Cardine","Tu 6:30PM - 9:45PM","Web-Based Course-No class mtgs","05/22/2018 - 08/07/2018","","","","","","","","","","","","","Cost Accounting","",Open,7,8,0,"Addresses analysis of cost behavior and volume profit relationships; responsibility accounting and reporting flexible budgets; and the use of standard costs to guide and control performance.  Prerequisite: ACCT 2020."
12067,ACCT,4450,701,Lecture,"3","Gary Dittmer","Mo 6:30PM - 9:45PM","Web-Based Course-No class mtgs","05/21/2018 - 08/06/2018","","","","","","","","","","","","","Federal Taxation I","",Open,9,11,0,"An analysis of the federal income tax law and its application to individuals. A study is made of problems covering personal and business tax situations. Several cases are assigned for which the student prepares illustrative tax returns.  Prerequisite: ACCT 2020 or instructor permission."
12068,ACCT,5210,701,Lecture,"3","Richard Evans","We 6:30PM - 9:45PM","Web-Based Course-No class mtgs","05/23/2018 - 08/08/2018","","","","","","","","","","","","","Introductory Auditing","",Closed,18,18,0,"Examines auditing methodology through a study of auditing standards. Includes the nature of evidence, program planning, work papers, internal control evaluation, types of audit tests, and audit reports.  Prerequisite: ACCT 3120."
