ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10074,ANTH,1010,1,Lecture,"3","","","","Introduction to Anthropology","",Closed,14,15,0,"This is a broad introductory course covering race, language, and culture, both as intellectual concepts and as political realities. Topics include race and culture as explanations of human affairs, the relationship of language to thought, cultural diversity and cultural relativity, and cultural approaches to current crises."
10161,ANTH,1010,2,Lecture,"3","","","","Introduction to Anthropology","",Open,14,15,0,"This is a broad introductory course covering race, language, and culture, both as intellectual concepts and as political realities. Topics include race and culture as explanations of human affairs, the relationship of language to thought, cultural diversity and cultural relativity, and cultural approaches to current crises."
10075,ANTH,2557,1,Lecture,"3","","","","Culture Through Film","",Closed,12,15,0,"Topics to be announced prior to each semester covering the diversity of human cultural worlds and the field of anthropology as presented through film. A variety of ethnographic and commercial films will be viewed and discussed in conjunction with readings."
10076,ANTH,2800,1,Lecture,"3","","","","Introduction to Archaeology","",Closed,16,15,0,"Topics include alternative theories of prehistoric culture change, dating methods, excavation and survey techniques, and the reconstruction of the economy, social organization, and religion of prehistoric societies."
10100,APMA,2501,1,Lecture,"3","","","","Special Topics in Applied Mathematics","Statistical Fallacies",Open,8,20,0,"Special topics in applied mathematics"
10106,ARTS,2580,1,Discussion,"3","","","","Special Topics in Sculpture","The Human Figure",Open,14,15,0,"An introduction to the specialized materials, methods, processes, and cultural issues as they relate to the history and practice of Sculpture"
10077,ARTS,2610,1,Studio,"3","","","","Introduction to Drawing I","",Closed,15,20,0,"Drawing provides students with a foundation of skills, judgement, and observational abilities that are essential to artistic expression. ARTS2000 is required for every Studio Art major and minor and a prerequisite for all other media related courses in Studio Art."
10147,ARTS,2620,1,Studio,"3","","","","Introduction to Drawing II","",Open,3,20,0,"Continuation of ARTS 2610 with projects emphasizing on drawing skills and analytical thinking. The majority of assignments will be concept-based to encourage students to develop individual visual language. Prerequisite: ARTS 2610."
10101,BME,3030,1,Lecture,"3","","","","Design and Innovation in Medicine","",Closed,14,15,0,"A project-based grounding in biomedical product design, with emphasis on clinical immersion and topics including design fundamentals, problem/needs identification, delineation of realistic constraints and product specifications, intellectual property, market analysis, entrepreneurship, specific advanced design topics, business plan development, venture funding, and medical product testing methods.REQ:  instructor permission ."
10120,COMM,3845,1,Lecture,"3","","","","Foundations of International Business","",Closed,16,20,0,"An introduction to the field of international business through an examination of the practice and theory of international business, focusing on managerial, operational, strategic, ethical, and environmental factors. The student develops an understanding of global trade theory and the various forms of global and regional economic integration; examines the major functions of managing an international business; becomes familiar with the instruments, procedures, and processes of international business; ascertains the modes of international market entry and foreign direct investment; generates an appreciation of the importance of culture on international business; and evaluates ethical issues in international business.    Prerequisite: Non-Commerce students."
