Name,Category,OriginalCategories,Application,Description,Photo
{in}Visible Magazine at UVA,Arts & Media,Contracted Independent Organization (CIO)$Media & Publications,True,{in}Visible Magazine is a literary publication at the University of Virginia dedicated to the Asian Pacific Islander South Asian American (APISAA) community on Grounds. It was founded to fill the absence and need for a creative outlet specifically for the APISAA creators. {in}Visible Magazine aims to create a space where we can explore our identities and unique experiences through writing and art. {in}Visible will not only help build community among the APISAA undergraduates at UVA but also be a tool to bridge across difference and connect with other cultural groups and literary magazines.,dd95a5ae-392a-4bf5-9fd2-07a3f6e551e9.png
180 Degrees Consulting at UVA,Service & Advocacy,Contracted Independent Organization (CIO)$Academic & Professional$Commerce/Business$Public Service,True,"180 Degrees Consulting is the world's largest student consultancy in the social sector, with 200+ branches around the world. Here at UVA, our purpose is centered around strengthening the ability of socially conscious organizations in the greater Charlottesville area to achieve high impact outcomes through the development of innovative, practical and sustainable solutions.",eab1728d-f1d9-494f-8db2-64a7150875ae.png
3D Printing Club at The University of Virginia,Academic & Professional,Contracted Independent Organization (CIO)$Academic & Professional$Social & Hobby$No Application or Interview Required,False,"3D Printing Club at The University of Virginia exists to promote the rapidly growing and evolving technology of 3D printing. Regular meetings are 2:00pm in MEC B005 on Sundays (members will be notified of any changes via email and/or GroupMe). No dues are required, and people can stop by any meeting!",6c04a12c-c463-4e02-a73f-afabeb906496.jpg
A Moment of Magic at UVA,Service & Advocacy,Contracted Independent Organization (CIO)$Public Service$No Application or Interview Required$Health and Wellness,False,"A Moment of Magic is a 501(c)3 Non-Profit dedicated to improve the quality of life of vulnerable and underserved children and inspire them to be brave, strong, and fearless. AMOM creates fun and engaging social wellness programming and partakes in hospital volunteer visits with the hope to instill magic within these children. ",e4a2bdba-93a0-40e1-bf1d-e9f99b254aa4.png
Academic Competition Club ,Recreation & Social,Contracted Independent Organization (CIO)$Social & Hobby$No Application or Interview Required,False,"The Academic Competition Club is an organization dedicated to attending and hosting trivia tournaments. The club practices on a weekly basis and hosts several tournaments throughout the year. The club is open to members of all skill levels, from newcomers to high school veterans. We participate in intercollegiate quizbowl tournaments. Whether you want to be on a nationally competitive team or just play for fun, this club is a great way to learn new stuff and meet smart people!",e2ccbca7-5040-4cdc-84ca-af942b4c2f18.jpg
Academical Village People,Arts & Media,Contracted Independent Organization (CIO)$Social & Hobby$Visual & Performing Arts$Acapella Groups,True,"Hello UVA! We are the Academical Village People, UVA's most a cappella group! Yes, you heard that right. If you love music and also love to be silly, goofy, and dare I say wacky, this is the group for you! Auditions happen every semester, so check out our Instagram @academicalvillagepeople for details! For inquiries, contact president Charlie van den Oord at avp.president93@gmail.com",f9f679c7-e13c-4387-be41-f50a41ba8e77.jpeg
Accessible Theatre Project,Service & Advocacy,Contracted Independent Organization (CIO)$Public Service$Social & Hobby$Visual & Performing Arts$No Application or Interview Required,False,"Accessible Theatre Project strives to offer safe, judgement-free environments for audiences who would benefit from accessibility accommodations. We provide inclusive theater experiences for neurodiverse audience members and their families by partnering with theater organizations to create sensory-friendly productions at UVA and throughout Charlottesville.",8414c035-4e0e-49e8-bfe9-228467a60680.png
Accounting Society at McIntire,Academic & Professional,Contracted Independent Organization (CIO)$Academic & Professional$Commerce/Business,True,"Among its objectives, the Accounting Society at McIntire recognizes scholastic and professional excellence in the field of accounting, finance, and information technology. It provides a forum in which students interested in business may interact with, learn more about, and create networks with working professionals. The Accounting Society promotes leadership, integrity, continuous learning, and service through participation in a variety of rewarding professional, social, and community activities. It recognizes individuals whose time and efforts contribute significantly to promoting the organization and serve the student body, the University, and the greater community.",7e16e4b6-69b4-4eab-b252-906b4812c3a9.png
Active Minds at UVA,Service & Advocacy,Contracted Independent Organization (CIO)$Political & Advocacy$Public Service$Social & Hobby$No Application or Interview Required,False,"Active Minds is established for the expressed purpose ofIncreasing the University of Virginia students’, faculty’s, and staff’s awareness of:issues surrounding mental healthsymptoms related to mental health disordersmental health resources available both on campus and in the surrounding communityReducing stigma toward people living with mental illness so that students will feel more comfortable seeking help when it is needed and openly discussing mental-health related issuesPromoting a general awareness of comprehensive “self health” by emphasizing techniques that care for the body as well as the mind",43ea0982-bdfc-458f-9e02-4ef99a916f48.jpg
Advertising and Marketing Association at the University of Virginia,Academic & Professional,Contracted Independent Organization (CIO)$Academic & Professional$Commerce/Business,True,"Founded in 1978, the Advertising and Marketing Association at UVa provides students with the opportunity to learn about the advertising and marketing industries, as well as career paths in various areas of marketing through speakers, panels, and other events throughout the year. AMA exposes its members to top careers in consumer market research, social media management, entertainment marketing, account management, creative art design, copywriting, brand management, strategic planning, sports marketing, public relations, media buying, consulting, and other major advertising and marketing careers.Admission into the club is application-based at the start of each semester. Please visit our Instagram (ama_uva) to learn more about the club and to apply.",a2558bff-5135-463d-8a91-f40b46147cae.png
Advocates for Life at Virginia Law,Service & Advocacy,Contracted Independent Organization (CIO)$Law School$Political & Advocacy$Public Service$No Application or Interview Required,False,AFL is the pro-life student organization at UVA Law.,29e84e57-822a-4713-a41b-c39acc7a5386.png
Aeon Growth Fund,Academic & Professional,Contracted Independent Organization (CIO)$Commerce/Business,True,"Aeon Growth Fund is a forward-looking, student-operated investment fund centered around growth investing principles. At Aeon, we blend educational initiatives aimed at fostering a comprehensive understanding of investment strategies, particularly focusing on growth investing and growth equity. Aeon plans to strategically allocate resources to capitalize on growth opportunities within the market. We are currently positioned in a developmental stage, where we are actively seeking funding and sponsorship to bolster our operational capacity and further our mission. Aeon functions and operates on two ends: a set of educational meetings and curriculum open to all students, encompassing strategies, principles, and teachings of growth investing and other forms of investing, and a closed-off growth investment fund accepted by a formal recruitment process. ",70d6385e-8c6e-444a-bb6e-27386433078f.jpeg
Aerial Dance Club at The University of Virginia,Arts & Media,Contracted Independent Organization (CIO)$Social & Hobby$Visual & Performing Arts$No Application or Interview Required,False,"The Aerial Dance Club at The University of Virginia comprises a group of aerial artists who learn, practice, and perform on aerial silks. The Aerial Dance Club accepts members regardless of prior aerial experience via a lottery in the Fall and Spring semesters. ",15d3b83c-486c-4680-b7de-baa8989f14ae.jpeg
Aero Design Team at UVa/Hoos Flying,Academic & Professional,Contracted Independent Organization (CIO)$Academic & Professional$Social & Hobby,True,"Hoos Flying is a design, build, fly-style team who builds a custom-made remote controlled aircraft for global competition with the Society of Automotive Engineers (SAE) Collegiate Design Series competition. Our team is open and available for all years, all majors, and all skills levels!",175baba2-355b-4f02-acd9-7d01e2b09ead.jpg
Afghan Student Association at UVA,Identity & Culture,Contracted Independent Organization (CIO)$Cultural & Ethnic$Department Group or Program,True,"The Afghan Student Association is dedicated to promoting awareness about Afghan culture at the University of Virginia. We are a space for Afghans to come together and engage in our culture and art, and spread this to others. Our organization is a place for all members of the community, not just Afghans, to meet others and bond. ",d7925f42-258d-4113-a666-95173f24d909.jpg
Afro-Hoos,Identity & Culture,Contracted Independent Organization (CIO)$Cultural & Ethnic$Social & Hobby,True,"Afro-Hoos is an Afro-fusion dance team that strives to demonstrate and celebrate the complexity of cultural dance throughout the African diaspora at the University of Virginia and the Charlottesville Community. We represent traditional and modern dance styles from all over the continent of Africa by learning about the different dance styles of African nations and implementing our knowledge of those styles to construct dynamic dance performances that work to include and unite the community.Although this organization has members who are University of Virginia students and may have University employees associated or engaged in its activities and affairs, the organization is not a part of or an agency of the University. It is a separate and independent organization that is responsible for and manages its own activities and affairs. The University does not direct, supervise or control the organization and is not responsible for the organization’s contracts, acts or omissions.",7dd57dd0-13d0-4c5e-8c8b-de5855eedfe9.jpeg
Afro-Latinx Student Organization,Identity & Culture,Contracted Independent Organization (CIO)$Cultural & Ethnic,True,"Our mission is to educate the student population about the nuances of one’s body: accounting for the dynamics of race/color, ethnicity, and other intersecting identities that affect one’s navigation through the world: gender, sexual preference, class, ability, etc. It is through advocacy, education, and community events that we wish to build this awareness. It is not exclusive to this demographic but highlights afro-latinidad cultures and experiences. ALSO seeks to make the University of Virginia a more supportive, mindful, and knowledgeable environment for Afro-Latinx students and allies. ",c4258edc-2757-4a3a-b19c-9d6dc6e2cbbd.jpeg
Agape Christian Fellowship for All,Professional Schools,Contracted Independent Organization (CIO)$Law School$Religious & Spiritual$No Application or Interview Required,False,"Agape is a Christian legal fellowship that seeks to uphold the two greatest commandments: to love God and to love others. Agape is an affirming and inclusive community, paying particular attention to those who have been traditionally marginalized by American Christian culture. We are committed to growing together in our faith as we seek to be better Christians, friends, community members, and law students.",6b8380d2-69f5-45d1-881a-7b604dedca25.png
Air Force ROTC at UVA,Service & Advocacy,Contracted Independent Organization (CIO)$Academic & Professional$Public Service$No Application or Interview Required,False,"We hold physical training sessions every Monday and Wednesday at 6:00 AM that have approximately 60 cadets in attendance. Cadets spend approximately an hour on cardio and weightlifting according to set workouts each week. In the fall, we offer a weekend training day for cadets to improve their military skills, including land navigation and small unit tactics. Through mission scenarios and airsoft fights, this training immerses cadets in the military environment to improve our leadership capabilities and prepare to be Air Force officers. Each spring, we host a Dining Out with over 50 UVA cadets in attendance. Similar to a formal, Dining Out invites family members and partners to join the AFROTC community for an evening of dinner, awards, and performances. In November, we organize and participate in a Veterans' Day ceremony honoring prisoners of war and those servicemembers missing in action.",e47286fa-1d1b-4f1a-9054-cf6e5bc65f40.jpg
AJAR: Improv Club at UVA,Arts & Media,Contracted Independent Organization (CIO)$Visual & Performing Arts$No Application or Interview Required,False,"AJAR: Improv Club at UVA offers weekly improv comedy workshops to any UVA student interested in learning or developing their comedy skills. No experience is necessary and there is no audition required to join. Participating in AJAR is a low-barrier-to-entry, low-stress way to join and make connections within the UVA comedy scene.",e590d1be-43bd-4a3b-841b-76bc3c110404.jpeg
AKAdeMiX Dance Crew at the University of Virginia,Arts & Media,Contracted Independent Organization (CIO)$Club Sport$Social & Hobby$Visual & Performing Arts,True,"Founded in Spring 2010, AKAdeMiX Dance Crew is a dance crew at the University of Virginia highlighting diversity in talent and styles.",f338a7f2-91bd-4a40-bbe4-77b071843de4.jpg
All Tech is Human at UVA,Academic & Professional,Contracted Independent Organization (CIO)$Academic & Professional,True,"The All Tech Is Human Club at UVA, part of the Responsible Tech University Network (RTUN), is a student-driven organization that empowers students to take an active role in shaping the future of responsible technology. The club connects students with a vast, intergenerational community of professionals in the field through mentorship programs, guest speaker events, and project-based learning opportunities.At the heart of the organization is the U&#65279;Net Board of Directors, which allows students to steer the direction of all our programs, ensuring that the club aligns with the evolving interests of its members. Through the mentorship program, students are paired with early-career professionals, gaining invaluable insights and guidance as they explore pathways into responsible tech.In addition, the club offers access to responsible tech internships and externships through ATIH's highly successful job board, opening doors to civil society, academia, government, and industry. Our network extends across these sectors, providing students with project-based learning, job shadowing, and networking opportunities that bridge the gap between academic studies and real-world tech challenges.We host both on-campus and online guest speakers, who share their journeys and expertise in responsible technology, fostering meaningful discussions within our community. The club also provides access to certificates and badges, recognizing students' achievements and ensuring their skills are acknowledged by leading organizations.With support from All Tech Is Human’s working groups and volunteers, the club builds learning materials and discussion resources, helping to bring expert knowledge to our members on Grounds. Whether through internships, professional connections, or hands-on projects, the ATIH at UVA is dedicated to forming a space to cultivate the next generation of leaders in responsible tech!",ce96abd8-bcca-4ba3-9abd-7fbc9d320432.png
ALPFA at UVA,Identity & Culture,Contracted Independent Organization (CIO)$Academic & Professional$Cultural & Ethnic$Internships and Employment$No Application or Interview Required,False,"As Latino students at the University of Virginia, we are excited to announce that we are starting UVA’s ALPFA (Association of Latino Professionals For America) chapter. This will be a club that will help you out with all things recruiting so that Latinos at IVA can get their dream job or internship! ALPFA is a national organization that focuses on promoting Latinos’ professional careers and creating networking opportunities that lead to internships and jobs. Additionally, we seek to offer support and preparation through application processes in a wide variety of areas like consulting, investment banking, and many other industries. We also want to be a resource fro students without permanent work authorization in the US, as the job market for them has become increasingly harder. ",358aaf07-b196-4f47-ae82-86e0bb353c1c.jpg
Alpha Chi Omega (Zeta Lambda Chapter),Greek Life,Political & Advocacy$Public Service$Social & Hobby$Fraternity or Sorority,True,FSL,09dda3c2-774e-4a5c-80a5-db7a9a3e003c.jpg
Alpha Chi Sigma Co-ed Professional Chemistry Fraternity,Service & Advocacy,Contracted Independent Organization (CIO)$Academic & Professional$Public Service$Social & Hobby,True,"The Alpha Kappa chapter of Alpha Chi Sigma is the one and only professional chemistry fraternity at UVA! We are a diverse and close-knit group of individuals from various fields of study and different backgrounds in education united by a passion for chemistry and science. We aim to promote an interest in science and chemistry throughout the Charlottesville-UVA community through a variety of service and outreach projects and to create a network of scientists and science enthusiasts, including professors and students, here at UVA. Many of our brothers are highly involved in the science departments at UVA as teaching assistants, researchers, and tutors. We work closely with the Chemistry department to create events and opportunities for students to get involved in the sciences.",4c2ae83a-da00-418a-9d61-3eb62164cadb.jpeg
Alpha Delta Pi (Zeta Xi Chapter),Greek Life,Political & Advocacy$Public Service$Social & Hobby$Fraternity or Sorority,True,FSL,7a42bdb2-bc98-4027-8fc4-ca0a922b117d.jpg
Alpha Epsilon Delta Premedical Society,Service & Advocacy,Contracted Independent Organization (CIO)$Academic & Professional$Honor Society$Public Service$No Application or Interview Required,False,"Alpha Epsilon Delta is the only national premedical honor society. It was founded in 1926 at the University of Alabama and is currently one of the 57 members of the Association of College Honor Societies. Alpha Epsilon Delta supports collegiate chapters in identifying premedical students of excellence and imposing an obligation of continuing achievement upon such students. Alpha Epsilon Delta is not only an honor society, it is also a service organization. AED members are active in their efforts to promote premedical education in the University community through many diverse programs such as the speaker series, premedical newsletters and handbooks, MCAT reviews, tutoring and peer-advising, mentoring, interviewing, and social events. For many students, AED is a principal extracurricular activity. The varied functions of AED provided activities for intellectual development and stimulation of the individual members and a program of service to the Grounds that will include activities of benefit to non-members as well as members.",f1227c62-dad3-4fd0-b098-4d7137b3dd1e.jpg
Alpha Epsilon Pi (Mu Chapter),Greek Life,Political & Advocacy$Public Service$Social & Hobby$Fraternity or Sorority,True,FSL,2c2f0a52-3e42-443f-bc4c-63c367cb88d6.jpg
"Alpha Kappa Alpha Sorority, Inc. (Theta Kappa Chapter)",Greek Life,Cultural & Ethnic$Public Service$Fraternity or Sorority$National Pan-Hellenic Council (NPHC),True,"The Theta Kappa Chapter of Alpha Kappa Alpha Sorority, Incorporated was founded on the grounds of the University of Virginia by seventeen women on February 9, 1974: Seventeen women who sought to bring AKA's great legacy of sisterhood, service, intelligence and elegance to Jefferson's historic academy. Since then, over 350 women have joined the ranks of the Theta Kappa Chapter at the University of Virginia. All of these women are of high merit and distinction, as proven by their participation and leadership in numerous organizations, in addition to participating in the sisterly activities of Alpha Kappa Alpha.",64407b85-4364-4a63-a81a-45335ad5e947.jpeg
Alpha Kappa Delta Lambda Chapter at UVA,Academic & Professional,Contracted Independent Organization (CIO)$Academic & Professional,True,"The Alpha Kappa Delta Lambda Chapter at UVA aims to raise awareness of socially relevant issues and introduce students to the field of sociology. We provide experiences that foster mental growth, inspire action, and offer networking opportunities with professionals. Our activities, including social events, field trips, and guest speakers, cultivate enthusiasm for sociology and promote the International Sociology Honor Society, Alpha Kappa Delta.",ea7a4b81-9aee-41f1-89bc-320e8798a999.png
alpha Kappa Delta Phi (Sigma Chapter),Greek Life,Contracted Independent Organization (CIO)$Cultural & Ethnic$Political & Advocacy$Public Service$Social & Hobby$Fraternity or Sorority$Multicultural Greek Council (MGC),True,"alpha Kappa Delta Phi is an international Asian-interest sorority with 67 active chapters located at numerous universities across the United States and in Canada. Thousands of undergraduate and alumnae sisters support the rapidly growing network of strong and successful women in the organization. alpha Kappa Delta Phi is part of the National APIA Panhellenic Association (NAPA), which it helped charter in 2006. Established in 1989 at UC Berkeley, aKDPhi has continued to blossom towards strength and unity. Sigma Chapter was founded at UVA in the fall of 1999, becoming the first Asian-American interest sorority in all of Virginia. We are individuals within our sorority, yet powerful as a group. We are not united by a single ethnicity, but rather strengthened in our diversity. We share a strong bond of love, friendship, and sisterhood. With a supportive network of sisters, each woman can strive to fulfill her personal, academic, and career goals.",077eda4c-9d82-4ecf-86ed-b047a943a28f.jpeg
Alpha Kappa Psi,Service & Advocacy,Contracted Independent Organization (CIO)$Academic & Professional$Commerce/Business$Public Service$Social & Hobby,True,"As the largest and oldest business fraternity in the United States, Alpha Kappa Psi offers endless opportunities. As a brother of such a vast, diverse, and successful organization, you will join a network with hundreds of alumni that are willing to help you reach your career goals. With over 75 active brothers in the organization, you will get to know everyone on a more personal level and foster lifelong friendships. During their time in Alpha Kappa Psi at the University of Virginia, members enjoy many opportunities to grow and hone their business skills through mock interviews, resume critiques, career workshops, and much more. When our members graduate, they join the business world ready for success.",0a01ac3b-39ab-4e58-a823-0b0afaba3edb.jpeg
Alpha Omega Epsilon,Academic & Professional,Contracted Independent Organization (CIO)$Academic & Professional$Social & Hobby$No Application or Interview Required,False,"Alpha Omega Epsilon (A.O.E.) is a professional and social sorority composed of female-identifying students studying engineering and the technical sciences. The sisters of A.O.E. promote ideals and objectives that hope to further the advancement of female-identifying engineers and scientists, while at the same time developing bonds of lifelong friendships. Alpha Omega Epsilon, as a young organization, allows each member to play a significant part in realizing the group's future goals. Alpha Omega Epsilon stays committed to giving back to our local community by raising money for our philanthropy S.A.R.A. (Charlottesville's Sexual Assault Resource Agency). Sisters also volunteer in local elementary schools by teaching science/engineering concepts to children with interactive hands-on activities.The Pi Chapter of Alpha Omega Epsilon holds open recruitment every Spring semester. Join us for recruitment information sessions and open recruitment events to find out more about the organization! If there are any questions, please feel free to reach out to our president or recruitment chairs at any time.",6d832122-3df6-4611-9e50-20d68cf19169.png
Alpha Phi (Zeta Iota Deuteron Chapter),Greek Life,Political & Advocacy$Public Service$Social & Hobby$Fraternity or Sorority,True,FSL,bb494f39-7387-4ab5-a144-f166b7164bf7.jpg
"Alpha Phi Alpha Fraternity, Inc. (Iota Beta Chapter)",Greek Life,Cultural & Ethnic$Political & Advocacy$Public Service$Social & Hobby$Fraternity or Sorority$National Pan-Hellenic Council (NPHC)$Black Presidents Council,True,FSL,468b4e59-c95b-4eab-97e0-ab0b1fb29671.jpg
