Term Desc,Subject,Catalog Number,Class Title,Primary Instructor Name,Class Section,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2012 Summer,AAS,2559,New Course: AAS,"Shutt,Lisa Toccafondi",001,2.83,20,0,2,3,3,4,1,3,3,0,1
2012 Summer,AAS,2559,New Course: AAS,"Vandiver,Rebecca Keegan",003,3.12,19,0,1,6,2,5,2,1,1,1,0
2012 Summer,AAS,3559,New Course: AAS,"Shutt,Lisa Toccafondi",001,-,-,0,0,2,3,2,1,1,0,0,1
2012 Summer,AAS,4993,Independent Study,"Apprey,Maurice",1,-,-,0,1,0,0,0,0,0,0,0,0
2012 Summer,AAS,4993,Independent Study,"Shutt,Lisa Toccafondi",002,-,-,0,0,0,0,2,0,0,0,0,0
2012 Summer,ACCT,2010,Introductory Accounting I,"Brooks,Gary D",701,-,-,0,3,0,1,0,2,0,0,0,0
2012 Summer,ACCT,2020,Introductory Accounting II,"Montesa,Noel Evangelista",701,3.77,13,7,2,2,1,0,0,1,0,0,0
2012 Summer,ACCT,3110,Intermediate Accounting I,"Hutton,Leon W",701,3.53,13,1,5,0,1,5,0,0,0,0,1
2012 Summer,ACCT,4450,Federal Taxation I,"Dittmer,Gary D",701,2.80,19,0,3,0,0,6,0,0,6,0,4
2012 Summer,ACCT,5210,Introductory Auditing,"Young,Karen",701,-,-,0,4,0,0,5,0,0,0,0,0
2012 Summer,AMST,2500,Major Works for Amer Studies,"Brickhouse,Anna Campbell",501,3.57,13,0,6,2,2,1,2,0,0,0,0
2012 Summer,AMST,4993,Independent Study,"Hale,Grace E",001,-,-,0,1,0,0,0,0,0,0,0,0
2012 Summer,ANTH,1010,Introduction to Anthropology,"Alexy,Allison Megan",001,3.58,24,0,5,10,6,3,0,0,0,0,0
2012 Summer,ANTH,2500,"Cultures, Regions, Civilizatio","Rodriguez,Lydia",001,3.53,12,0,7,2,0,1,0,1,0,1,0
2012 Summer,ANTH,2559,New Course: ANTH,"Guerron Montero,Carla",501,3.63,33,1,18,4,3,4,1,1,1,0,0
2012 Summer,ANTH,2559,New Course: ANTH,"Most,Rachel",001,-,-,0,3,1,1,0,0,0,0,0,0
2012 Summer,ANTH,2559,New Course: ANTH,"Savishinsky,Joel",503,3.82,24,0,18,2,2,1,1,0,0,0,0
2012 Summer,ANTH,2589,Topics in Archaeology,"Stoetzel,John McLean",001,-,-,0,3,0,3,2,0,0,0,0,0
2012 Summer,ANTH,2590,Social & Cultural Anthropology,"Alexy,Allison Megan",001,3.48,19,0,3,7,6,1,2,0,0,0,0
2012 Summer,ANTH,2800,Introduction to Archaeology,"Holeman,Abigail Leigh",001,3.01,15,0,4,3,0,2,1,1,2,1,1
2012 Summer,ANTH,3340,Ecology and Society,"Stanley,Erik Nathaniel",001,-,-,4,0,0,0,0,0,0,0,0,0
2012 Summer,ANTH,3559,New Course: ANTH,"Adams,Kathleen",501,-,-,0,5,0,1,3,1,0,0,0,0
2012 Summer,ANTH,3559,New Course: ANTH,"Savishinsky,Joel",502,3.77,27,0,20,1,4,1,0,0,1,0,0
2012 Summer,ANTH,3590,Social & Cultural Anthropology,"Khan,Arsalan Khalid",001,-,-,0,3,4,1,1,1,0,0,0,0
2012 Summer,ANTH,4060,UVA in Southern Africa,"Swap,Robert John",501,3.37,15,0,3,5,2,2,2,0,1,0,0
2012 Summer,ANTH,4590,Social & Cultural Anthropology,"Guerron Montero,Carla",502,3.69,12,2,5,2,2,0,0,1,0,0,0
2012 Summer,ANTH,4590,Social & Cultural Anthropology,"Paluzzi,Joan",501,3.71,14,5,4,1,2,1,1,0,0,0,0
2012 Summer,ANTH,4993,Indep Study in Anthropology,"Laviolette,Adria",004,-,-,1,0,0,0,0,0,0,0,0,0
2012 Summer,ANTH,5589,Topics in Archaeology,"Gary,Jack Alan",502,-,-,0,1,3,0,0,0,0,0,0,0
2012 Summer,ANTH,5589,Topics in Archaeology,"Kelso,William Martin",501,3.97,11,5,4,1,0,0,0,0,0,0,0
2012 Summer,ANTH,5589,Topics in Archaeology,"Neiman,Fraser D",500,3.37,11,0,2,3,1,4,1,0,0,0,0
2012 Summer,APMA,1110,Single Variable Calculus II,"Beck,Mary P",001,-,-,0,1,1,0,1,0,0,0,1,1
2012 Summer,APMA,2120,Multivariable Calculus,"Mohajeri,Manouchehr",001,2.93,15,0,1,2,3,1,4,3,1,0,0
2012 Summer,APMA,2130,Ordinary Differentl Equations,"Fulgham,Bernard Ives",001,2.50,22,0,2,1,5,2,3,2,2,2,3
2012 Summer,APMA,3080,Linear Algebra,"Lark III,James Willard",001,3.42,20,0,5,6,3,3,1,2,0,0,0
2012 Summer,APMA,3100,Probability,"Baber,Thomas T",001,3.25,24,0,13,1,1,3,1,1,1,0,3
2012 Summer,APMA,3110,Applied Stats & Probablity,"Beil,Norman Brian",001,-,-,0,5,0,1,1,1,1,1,0,0
2012 Summer,APMA,3120,Statistics,"Lark III,James Willard",001,-,-,0,0,3,0,1,3,0,0,0,1
2012 Summer,ARAB,1010,Elementary Arabic I,"Bargach,Majida",501,-,-,0,1,2,0,0,0,0,0,0,0
2012 Summer,ARAB,1016,Intensive Introductory Arabic,"Freeman,Caren Wendy",001,3.81,15,1,10,2,0,0,0,0,1,0,1
2012 Summer,ARAB,1026,Intensive Introductory Arabic,"Freeman,Caren Wendy",001,3.82,14,1,10,1,0,0,0,0,1,0,1
2012 Summer,ARAB,2010,Intermediate Arabic I,"Bargach,Majida",501,-,-,0,1,1,0,0,0,0,0,0,0
2012 Summer,ARAB,2016,Intensive Intermediate Arabic,"Freeman,Caren Wendy",001,-,-,0,2,0,0,0,0,0,0,0,0
2012 Summer,ARAB,2026,Intensive Intermediate Arabic,"Freeman,Caren Wendy",001,-,-,0,1,1,0,0,0,0,0,0,0
2012 Summer,ARAH,5753,Southern Hist & Material Cult,"West,Carroll V.",500,3.88,13,0,9,3,1,0,0,0,0,0,0
2012 Summer,ARCH,2011,Summer Intro to Design Studio,"Putalik,Erin Sullivan",001,3.25,12,0,2,2,3,3,1,0,1,0,0
2012 Summer,ARCH,2021,Summer Intro Design Studio 1,"Marcu,Mara Olga",001,3.48,12,0,2,4,4,1,1,0,0,0,0
2012 Summer,ARCH,2500,Special Topics in Architecture,"Abernathy,Dean L",501,-,-,0,1,1,2,1,0,0,0,0,0
2012 Summer,ARCH,5011,International Summer Studio,"Crisman,Phoebe",501,3.51,14,0,3,3,7,1,0,0,0,0,0
2012 Summer,ARCH,5011,International Summer Studio,"Waldman,Peter D",501,3.51,14,0,3,3,7,1,0,0,0,0,0
2012 Summer,ARCH,5422,Computer Animation,"Mark,Earl J",001,-,-,0,5,1,1,1,0,0,0,0,0
2012 Summer,ARCH,5500,Special Topics in Architecture,"Cox,Maurice D",501,-,-,0,8,0,0,0,0,0,0,0,0
2012 Summer,ARCH,5607,International Design Research,"Crisman,Phoebe",501,3.71,14,0,2,11,1,0,0,0,0,0,0
2012 Summer,ARCH,5607,International Design Research,"Waldman,Peter D",501,3.71,14,0,2,11,1,0,0,0,0,0,0
2012 Summer,ARCH,5608,China Design Workshop,"Crisman,Phoebe",501,-,-,0,10,0,0,0,0,0,0,0,0
2012 Summer,ARCH,5608,China Design Workshop,"Huang,Yunsheng",501,-,-,0,10,0,0,0,0,0,0,0,0
2012 Summer,ARCH,5800,Vicenza Program,"Menefee III,Charles",501,-,20,0,0,0,0,0,0,0,0,0,0
2012 Summer,ARH,1004,History of Architecture,"Elliott,Jennifer Dianne",001,-,-,0,1,0,1,0,0,1,0,0,0
2012 Summer,ARH,1004,History of Architecture,"Grayburn,Jennifer N",001,-,-,0,1,0,1,0,0,1,0,0,0
2012 Summer,ARH,5605,Falmouth Field School,"Johnson,Emilie Katherine",501,-,-,0,7,0,0,0,0,0,0,0,0
2012 Summer,ARH,5606,"UVA Arch: Beijing, China","Crisman,Phoebe",501,-,-,0,8,2,0,0,0,0,0,0,0
2012 Summer,ARH,5606,"UVA Arch: Beijing, China","Huang,Yunsheng",501,-,-,0,8,2,0,0,0,0,0,0,0
2012 Summer,ARTH,1004,A History of Architecture,"Elliott,Jennifer Dianne",001,-,-,0,0,0,0,0,0,0,1,0,0
2012 Summer,ARTH,1004,A History of Architecture,"Grayburn,Jennifer N",001,-,-,0,0,0,0,0,0,0,1,0,0
2012 Summer,ARTH,2559,New Course: ARTH,"Reilly,Lisa A",501,3.19,26,0,1,5,4,15,0,1,0,0,0
2012 Summer,ARTH,3525,Topics in Ren Art History,"Dibiase,Anna",501,3.79,13,0,4,9,0,0,0,0,0,0,0
2012 Summer,ARTH,3559,New Course: ARTH,"Reilly,Lisa A",501,3.25,20,0,1,5,6,5,2,1,0,0,0
2012 Summer,ARTS,1559,New Course: ARTS,"Rowen,Marthe",501,3.48,17,0,1,8,6,1,1,0,0,0,0
2012 Summer,ARTS,1559,New Course: ARTS,"Rowen,Marthe",502,3.21,19,0,3,5,5,1,2,2,0,0,1
2012 Summer,ARTS,1610,Introduction to Drawing I,"Rollando,Akemi Ohira",001,3.56,16,0,4,5,4,1,1,0,0,0,1
2012 Summer,ARTS,2511,Special Topics in Photography,"Wylie,William",001,-,-,0,7,0,0,0,0,0,0,0,0
2012 Summer,ARTS,2580,Special Topics in Sculpture,"Bennett,William H",001,-,-,0,3,0,0,0,0,0,0,0,0
2012 Summer,ARTS,2620,Introduction to Drawing II,"Marlatt,Megan Bronwen",001,-,-,0,3,0,0,0,0,0,0,0,0
2012 Summer,ARTS,2620,Introduction to Drawing II,"Schoyer,Elizabeth P",002,-,-,1,6,0,0,0,0,0,0,0,0
2012 Summer,ARTS,2670,Introduction to Printmaking I,"Dass,Dean A",001,-,-,0,5,3,1,0,0,0,1,0,0
2012 Summer,ARTS,2810,Introduction to Sculpture I,"Bennett,William H",001,-,-,0,1,0,0,0,0,0,0,0,0
2012 Summer,ARTS,3112,Intermediate Photography II,"Wylie,William",001,-,-,0,1,0,0,0,0,0,0,0,0
2012 Summer,ARTS,3670,Intermediate Printmaking I,"Dass,Dean A",001,-,-,0,1,0,0,0,0,0,0,0,0
2012 Summer,ARTS,4670,Adv Problems in Printmaking,"Dass,Dean A",001,-,-,0,1,0,0,0,0,0,0,0,0
2012 Summer,ARTS,4900,Advanced Project in Art,"Bennett,William H",001,-,-,0,1,0,0,0,0,0,0,0,0
2012 Summer,ARTS,4900,Advanced Project in Art,"Wylie,William",002,-,-,0,2,0,0,0,0,0,0,0,0
2012 Summer,ARTS,4900,Advanced Project in Art,"Wylie,William",003,-,-,0,1,0,0,0,0,0,0,0,0
2012 Summer,ASTR,1210,Intro Sky and Solar System,"Patterson,Richard Joseph",001,3.53,12,1,4,2,2,1,2,0,0,0,0
2012 Summer,ASTR,1220,Intro Stars Galaxies Universe,"Irwin,Christopher Michael",001,3.67,23,4,10,2,3,3,0,0,1,0,0
2012 Summer,ASTR,3420,Life Beyond the Earth,"Prager,Brian James",001,-,-,1,0,4,1,3,0,0,1,0,0
2012 Summer,ASTR,3480,Introduction to Cosmology,"Chen,Bin",001,-,-,1,3,1,1,0,1,2,0,0,0
2012 Summer,ASTR,6340,Astron Concepts in Classroom,"Murphy,Edward Michael",500,3.89,20,1,17,1,0,0,0,0,1,0,0
2012 Summer,BIOL,1559,New Course: BIOL,"Abel,Daniel",501,3.33,36,0,6,10,9,6,1,2,1,1,0
2012 Summer,BIOL,1559,New Course: BIOL,"Miller,Rachel Nottingham",501,3.33,36,0,6,10,9,6,1,2,1,1,0
2012 Summer,BIOL,2010,Intro Bio:Cell Biol & Genetics,"Kittlesen,David Jon",001,2.81,35,3,2,7,1,4,6,3,4,3,2
