Term Desc,Subject,Catalog Number,Class Title,Primary Instructor Name,Class Section,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2014 Fall,AAS,1010,African-Amer & African Stds I,"La Fleur,James Daniel",100,3.28,121,7,8,32,31,21,10,6,2,2,2
2014 Fall,AAS,3200,"Martin, Malcolm and America","Hadley,Mark Andrew",001,3.25,14,0,0,3,4,6,0,0,0,0,1
2014 Fall,AAS,3500,Intermediate Seminar in AAS,"Pendergrass,Sabrina",001,3.02,20,0,3,4,4,2,3,1,0,1,2
2014 Fall,AAS,3500,Intermediate Seminar in AAS,"Shutt,Lisa Toccafondi",002,2.35,15,0,1,2,1,0,4,0,1,4,2
2014 Fall,AAS,3559,New Course: AAS,"Mason,John E",001,-,-,0,1,1,0,3,0,0,0,0,0
2014 Fall,AAS,4070,Directed Reading and Research,"Harold,Claudrena N",001,-,-,0,1,0,0,0,0,0,0,0,0
2014 Fall,AAS,4570,Adv Research Sem in AAS,"Hamilton,Njelle Wendyann",001,-,-,1,0,1,1,1,0,0,0,0,0
2014 Fall,AAS,4570,Adv Research Sem in AAS,"Shutt,Lisa Toccafondi",002,2.99,16,0,2,1,5,3,2,1,0,0,2
2014 Fall,AAS,4993,Independent Study,"Apprey,Maurice",001,-,-,1,5,0,0,0,0,0,0,0,0
2014 Fall,AAS,4993,Independent Study,"Shutt,Lisa Toccafondi",002,-,-,0,0,1,0,0,0,0,0,0,0
2014 Fall,ACCT,2010,Introductory Accounting I,"Kasten,Marshall V",701,3.50,14,2,6,2,2,1,0,0,0,0,1
2014 Fall,ACCT,2020,Introductory Accounting II,"Montesa,Noel Evangelista",701,-,-,1,7,0,0,1,0,0,0,0,1
2014 Fall,ACCT,3110,Intermediate Accounting I,"Adams,Rebecca Ann",501,-,-,0,0,1,1,1,0,0,0,0,0
2014 Fall,ACCT,3110,Intermediate Accounting I,"Hutton,Leon W",701,3.79,15,6,5,0,1,1,1,0,0,0,1
2014 Fall,ACCT,3120,Intermediate Accounting II,"Lee,Nammy K",701,-,-,0,2,2,0,1,1,0,1,0,3
2014 Fall,ACCT,3140,Cost Accounting,"Cardine,William",701,2.82,13,0,2,0,0,7,0,0,1,0,3
2014 Fall,ACCT,4450,Federal Taxation I,"Hughes,Thomas D",701,-,-,0,1,3,1,0,0,0,1,1,2
2014 Fall,ACCT,5210,Introductory Auditing,"Evans,Richard",501,-,-,0,1,1,0,1,0,0,0,0,0
2014 Fall,ACCT,5210,Introductory Auditing,"Evans,Richard",701,3.11,12,0,2,2,4,2,0,0,0,1,1
2014 Fall,ACCT,5410,Fraud Examination,"Kirchert,Cory C.",701,3.51,22,0,9,2,5,4,2,0,0,0,0
2014 Fall,ACCT,5460,Federal Taxation II,"Dittmer,Gary D",701,-,-,0,2,0,0,3,0,0,1,0,0
2014 Fall,AIRS,100,Leadership Laboratory,"Rourke,Nina C",001,-,-,0,0,0,0,0,0,0,0,0,1
2014 Fall,AIRS,1100,Foundations of U.S. Air Force,"Rourke,Nina C",001,-,-,0,10,0,0,0,0,0,0,0,0
2014 Fall,AIRS,1100,Foundations of U.S. Air Force,"Rourke,Nina C",002,-,-,0,7,0,0,0,0,0,0,0,0
2014 Fall,AIRS,2100,Evolution of Air & Space Power,"Rourke,Nina C",001,3.91,11,0,10,0,0,1,0,0,0,0,0
2014 Fall,AIRS,2100,Evolution of Air & Space Power,"Rourke,Nina C",002,-,-,0,9,0,0,1,0,0,0,0,0
2014 Fall,AIRS,3100,Air Force Leadership & Mgmt,"Hubal,Jennifer M",001,-,-,0,9,0,0,0,0,0,0,0,0
2014 Fall,AIRS,3100,Air Force Leadership & Mgmt,"Hubal,Jennifer M",002,-,-,0,7,0,0,0,0,0,0,0,0
2014 Fall,AIRS,4100,Natl Sec Affairs/Prep Act Duty,"Hiss,Steven T",001,-,-,0,8,0,0,0,0,0,0,0,0
2014 Fall,ALAR,7010,Research Studio 1,...,001,-,-,0,2,2,0,1,0,0,0,0,0
2014 Fall,ALAR,7010,Research Studio 1,...,002,-,-,1,1,6,0,1,0,0,0,0,0
2014 Fall,ALAR,7010,Research Studio 1,...,003,-,-,2,1,0,1,2,0,0,0,0,0
2014 Fall,ALAR,7010,Research Studio 1,...,004,-,-,0,2,3,2,0,0,0,0,0,0
2014 Fall,ALAR,7010,Research Studio 1,...,005,-,-,0,0,2,0,0,0,0,0,0,0
2014 Fall,ALAR,7010,Research Studio 1,"Abbasy-Asbagh,Ghazal",009,-,-,0,0,0,1,0,1,0,0,0,0
2014 Fall,ALAR,7010,Research Studio 1,"Alday Sanz,Ignacio Nicolas",006,-,-,0,1,0,2,0,0,0,0,0,0
2014 Fall,ALAR,7010,Research Studio 1,"Bargmann,Julie L",007,-,-,0,0,0,0,1,1,0,0,0,0
2014 Fall,ALAR,7010,Research Studio 1,"Clark Jr.,William G",001,-,-,0,2,2,0,1,0,0,0,0,0
