Term Desc,Subject,Catalog Number,Class Title,Primary Instructor Name,Class Section,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2018 January,AAS,3559,New Course:  AAS,"McDowell,Deborah E",501,3.42,13,0,2,6,2,2,0,0,0,1,0
2018 January,AAS,3559,New Course:  AAS,"Otu,Edwin Kwame",501,3.42,13,0,2,6,2,2,0,0,0,1,0
2018 January,ANTH,1010,Introduction to Anthropology,"Cieslak,Jacqueline Elizabeth",2,3.48,14,0,2,5,4,3,0,0,0,0,0
2018 January,ANTH,1010,Introduction to Anthropology,"Singh,Sheena",1,3.88,14,0,12,0,1,1,0,0,0,0,0
2018 January,ANTH,2557,Culture Through Film,"Rolando Betancourt,Giancarlo Cesar",1,3.70,12,0,4,5,3,0,0,0,0,0,0
2018 January,ANTH,2800,Introduction to Archaeology,"Palazzo,Susan",1,3.26,16,0,4,8,2,0,0,0,0,0,2
2018 January,APMA,2501,Special Topics in APMA,"Morris,Diana Dunn",1,-,-,0,7,0,0,0,0,0,0,1,0
2018 January,ARH,3500,Topics inArchitectural History,"Reilly,Lisa A",501,3.65,13,0,3,6,4,0,0,0,0,0,0
2018 January,ARTH,3255,Renaissance Art on Site,"Reilly,Lisa A",501,3.72,12,0,2,9,1,0,0,0,0,0,0
2018 January,ARTS,2580,Special Topics in Sculpture,"Bennett,William H",1,3.95,13,3,9,0,1,0,0,0,0,0,0
2018 January,ARTS,2610,Introduction to Drawing I,"Rollando,Akemi Ohira",1,3.67,15,0,7,3,3,2,0,0,0,0,0
2018 January,ARTS,2620,Introduction to Drawing II,"Chan,Amy Beth",1,-,-,0,3,0,0,0,0,0,0,0,0
2018 January,BIOL,3665,Tropical Ecol in Belize,"Diehl,Fred A",501,3.63,14,0,2,8,4,0,0,0,0,0,0
2018 January,BME,3030,Design&Innovation in Medicine,"Allen,Timothy E",1,4.00,14,1,13,0,0,0,0,0,0,0,0
2018 January,COMM,3845,Foundations Intl Business,"Wilkerson,William R",1,3.83,16,0,8,7,1,0,0,0,0,0,0
2018 January,COMM,4293,GCI: IT Practicum in Argentina,"Grazioli,Stefano",501,3.65,14,1,4,5,2,2,0,0,0,0,0
2018 January,COMM,4529,GCI: Topics in IT,"Nelson,Russell R",501,3.68,24,0,7,11,5,1,0,0,0,0,0
