Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,NofStudents,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2020 Fall,AAS,3500,Intermediate Seminar in AAS,039376,"LeFlouria,Talitha Lynette",001,19089,CGAS,4,15,,,,,,,,,,
2020 Fall,ACCT,5330,Acct for Non-Bus Organizations,000193,"Brooks,Gary D",701,20519,SCPS,-,-,,,,,,,,,,
2020 Fall,APMA,3501,Spec Topics in APMA,040943,"Guadagni,Gianluca",001,12082,ENGR,4,12,,,,,,,,,,
2020 Fall,ARAD,4070,Intro to Design Thinking,041291,"Sampson,George W.",001,15285,CGAS,4,19,,,,,,,,,,
2020 Fall,ARCH,5420,Digital Animation & Strytellng,001610,"Mark,Earl J",001,10041,ARCH,-,-,,,,,,,,,,
2020 Fall,ARCH,5500,Special Topics in Architecture,001621,"Bachman,Johntaylor",006,21126,ARCH,-,-,,,,,,,,,,
2020 Fall,ARCH,5500,Special Topics in Architecture,001621,"McDowell,Andrew Seth",007,21185,ARCH,-,-,,,,,,,,,,
2020 Fall,ARH,7613,"UNESCO,World Heritage &Tourism",045914,"Johnston,Andrew Scott",001,19608,ARCH,-,-,,,,,,,,,,
2020 Fall,ARH,7700,Adv Thomas Jefferson&Amer Arch,044827,"Nelson,Louis P",001,20314,ARCH,-,-,,,,,,,,,,
2020 Fall,ARTS,2000,Intro to Studio Art,045397,"Chan,Amy Beth",002,16575,CGAS,3.9,18,,,,,,,,,,
2020 Fall,ARTS,2220,Introduction to New Media I,002858,"Cuatlacuatl,Federico",001,14572,CGAS,3.9,11,,,,,,,,,,
2020 Fall,ARTS,3220,Intermediate  New Media I,002901,"Moyer,Lydia",002,19709,CGAS,3.9,11,,,,,,,,,,
2020 Fall,ASTR,8500,Current Astronomical Topics,003128,"Whittle,D. Mark",001,13085,CGAS,3.9,12,,,,,,,,,,
2020 Fall,CHIN,1010,Elementary Chinese,006047,"Zhao,Ran",004,13133,CGAS,3.9,16,,,,,,,,,,
2020 Fall,CHIN,1010,Elementary Chinese,006047,"Zhao,Ran",005,14654,CGAS,3.9,12,,,,,,,,,,
2020 Fall,CHIN,1060,Accelerated Elementary Chinese,006050,"Gao,Ying",001,13135,CGAS,3.9,16,,,,,,,,,,
2020 Fall,COLA,1500,College Advising Seminars,006376,"Al-Rahim,Ahmed",069,15032,CGAS,4,16,,,,,,,,,,
2020 Fall,CS,6501,Spec Top: Computer Science,006981,"Stankovic,John A",005,12042,ENGR,3.9,22,,,,,,,,,,
2020 Fall,DANC,3210,Ballet II,007226,"Schetlick,Kathryn B",001,14701,CGAS,3.9,11,,,,,,,,,,
2020 Fall,DRAM,3652,Production Management,007273,"McLeod,Holly Caitlin",001,13152,CGAS,3.9,11,,,,,,,,,,
2020 Fall,DS,6002,Ethics of Big Data I,043459,"Rosado Murillo,Luis Felipe",002,18400,PROV,4,16,,,,,,,,,,
2020 Fall,DS,6011,DS Capstone Work I,043917,"Alvarado,Rafael Candido",001,19696,PROV,4,16,,,,,,,,,,
2020 Fall,DS,6011,DS Capstone Work I,043917,"Brown,Donald E",008,19707,PROV,4,12,,,,,,,,,,
2020 Fall,DS,6011,DS Capstone Work I,043917,"Van Horn,John Darrell",002,19700,PROV,4,11,,,,,,,,,,
2020 Fall,DS,6012,Ethics of Big Data II,043918,"Rosado Murillo,Luis Felipe",001,18402,PROV,4,11,,,,,,,,,,
2020 Fall,DS,6013,DS Capstone Work II,043919,"Kropko,Jonathan Michael",001,18403,PROV,4,13,,,,,,,,,,
2020 Fall,ECE,6502,Spec Top:Elect & Computer Engr,007732,"Lee,Kyusang",002,19206,ENGR,-,-,,,,,,,,,,
2020 Fall,ECON,8820,Experimental Economics,008076,"Holt,Charles A.",100,16642,CGAS,-,-,,,,,,,,,,
2020 Fall,EDHS,3110,Understanding Autism,044840,"DuBay,Michaela",1,19140,EDUC,3.9,11,,,,,,,,,,
2020 Fall,EDHS,7060,Articulation & Phonology,009189,"Hilton,Jane C",001,10476,EDUC,3.9,22,,,,,,,,,,
2020 Fall,EDHS,7120,Prevention Intervention Assess,041987,"Hilton,Jane C",1,10620,EDUC,3.9,22,,,,,,,,,,
2020 Fall,EDHS,7640,Cognitive Assessment,009240,"Blodgett,Julia Ann-Deisseroth",001,10483,EDUC,-,-,,,,,,,,,,
2020 Fall,EDHS,8090,Disorders of Language I,009256,"Hilton,Jane C",001,10486,EDUC,3.9,22,,,,,,,,,,
2020 Fall,EDHS,8170,Clinical Externship,009264,"Hilton,Jane C",1,10970,EDUC,-,-,,,,,,,,,,
2020 Fall,EDHS,8800,Clinical Internship in SLP,044198,"Hilton,Jane C",1,10971,EDUC,-,-,,,,,,,,,,
2020 Fall,EDIS,3012,Mindfulness & Development,044838,"Min,Helen Haerim",2,20982,EDUC,3.9,25,,,,,,,,,,
2020 Fall,EDIS,3015,Intro Curriculum Instr Assess,045915,"Amoako Kayser,Abigail Akosua",1,19718,EDUC,3.9,16,,,,,,,,,,
2020 Fall,EDIS,4040,Intro Psychoeducational Assess,044991,"Ratliff-Black,Marie Elizabeth",1,10915,EDUC,3.9,12,,,,,,,,,,
2020 Fall,EDIS,4110,Char of Ind w/Lrn Disablities,044943,"Vanuitert,Victoria",500,19048,EDUC,3.9,14,,,,,,,,,,
2020 Fall,EDIS,5030,Design Effec Lrn Exp & Environ,009426,"Pease,Jennifer Steinberger",1,10883,EDUC,3.7,13,,,,,,,,,,
2020 Fall,EDIS,5041,Behav & Classroom Management,009428,"Collins,Lauren Wingfield",502,21108,EDUC,3.9,17,,,,,,,,,,
2020 Fall,EDIS,5175,Issues in K-12 Education,009699,"Van Hover,Stephanie D",500,20293,EDUC,-,-,,,,,,,,,,
2020 Fall,EDIS,5650,Cultural Geography,009472,"Cranford,Sara L",500,19214,EDUC,-,-,,,,,,,,,,
2020 Fall,EDIS,5730,Diag & Remediation I: PreK-2,009475,"Simkin,Carrie Rosamina",501,19222,EDUC,3.9,12,,,,,,,,,,
2020 Fall,EDIS,8855,Education and Diversity,043212,"Trent,Stanley Cornelius",1,10840,EDUC,-,-,,,,,,,,,,
2020 Fall,EDLF,7813,Leadership for EdTech,042239,"Clark,Kevin Spencer",500,19317,EDUC,-,-,,,,,,,,,,
2020 Fall,EGMT,1510,Engaging Aesthetics,044512,"Ferguson,Andrew",108,16618,CGAS,3.9,27,,,,,,,,,,
2020 Fall,EGMT,1510,Engaging Aesthetics,044512,"Flood,Elizabeth Jean Sapir",110,15566,CGAS,3.9,35,,,,,,,,,,
2020 Fall,EGMT,1520,Empirical Engagement,044513,"Bloomfield,Louis A",205,15579,CGAS,3.9,35,,,,,,,,,,
2020 Fall,ENCW,2560,Intro Fiction Writing - Themed,044166,"Livingood,James Stuart",001,16282,CGAS,3.9,14,,,,,,,,,,
2020 Fall,ENCW,2600,Fiction Writing,013455,"Rodriguez Jr.,Roberto",002,16562,CGAS,4,16,,,,,,,,,,
2020 Fall,ENCW,3310,Intermediate Poetry Writing I,013473,"Petrosino,Courteney Michelle",002,16290,CGAS,4,11,,,,,,,,,,
2020 Fall,ENCW,3610,Intermediate Fiction Writing,013477,"Denton,Elizabeth",002,16772,CGAS,3.9,12,,,,,,,,,,
2020 Fall,ENGL,2508,Studies in Fiction,012491,"Baker,Peter S",002,15207,CGAS,3.9,18,,,,,,,,,,
2020 Fall,ENGL,2572,Black Writers in America,012507,"Woolfork,Lisa",001,16025,CGAS,3.9,13,,,,,,,,,,
2020 Fall,ENWR,1510,Writing and Critical Inquiry,013432,"Berenato,Thomas Andrew",038,13845,CGAS,3.9,18,,,,,,,,,,
2020 Fall,ENWR,1510,Writing and Critical Inquiry,013432,"Coyoca,Wilfred David",062,15385,CGAS,3.9,18,,,,,,,,,,
2020 Fall,ENWR,1510,Writing and Critical Inquiry,013432,"Donovan,Devin Jude",017,13698,CGAS,3.9,17,,,,,,,,,,
2020 Fall,ENWR,1510,Writing and Critical Inquiry,013432,"Driver,Keith",040,13848,CGAS,3.9,18,,,,,,,,,,
2020 Fall,ENWR,1510,Writing and Critical Inquiry,013432,"McBride,Amber Nicole",002,15473,CGAS,3.9,18,,,,,,,,,,
2020 Fall,ENWR,1510,Writing and Critical Inquiry,013432,"McBride,Amber Nicole",007,13689,CGAS,3.9,17,,,,,,,,,,
2020 Fall,ENWR,1510,Writing and Critical Inquiry,013432,"Storti,Sarah Anne",014,13696,CGAS,3.9,18,,,,,,,,,,
2020 Fall,ENWR,1510,Writing and Critical Inquiry,013432,"Storti,Sarah Anne",080,17081,CGAS,3.9,18,,,,,,,,,,
2020 Fall,ENWR,1510,Writing and Critical Inquiry,013432,"Storti,Sarah Anne",082,17149,CGAS,3.9,18,,,,,,,,,,
2020 Fall,ENWR,2610,Writing with Style,044179,"Driver,Keith",001,16811,CGAS,3.7,14,,,,,,,,,,
2020 Fall,ENWR,3640,Writing with Sound,044171,"Ceraso,Stephanie L",001,19324,CGAS,3.9,16,,,,,,,,,,
2020 Fall,EVGE,5841,Sediment Processes Laboratory,013781,"Wiberg,Patricia L",001,18441,CGAS,4,15,,,,,,,,,,
