Term Desc,Subject,Catalog Number,Class Title,Primary Instructor Name,Class Section,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2020 Spring,AAS,1020,African-Amer & African Stds II,"Crawley,Ashon Thomas",100,3.98,156,68,78,5,2,0,0,0,0,0,4
2020 Spring,AAS,2224,Black Fem & Masc in US Media,"Shutt,Lisa Toccafondi",001,3.58,13,0,4,6,1,0,1,1,0,0,0
2020 Spring,AAS,2224,Black Fem & Masc in US Media,"Shutt,Lisa Toccafondi",002,3.90,13,0,12,0,0,0,1,0,0,0,0
2020 Spring,AAS,2224,Black Fem & Masc in US Media,"Shutt,Lisa Toccafondi",003,3.64,15,0,6,3,5,1,0,0,0,0,0
2020 Spring,AAS,2559,New Course:  AAS,"Pendergrass,Sabrina",002,3.89,12,0,9,2,1,0,0,0,0,0,0
2020 Spring,AAS,2559,New Course:  AAS,"Perry Jr.,Tony Curtis",001,3.84,24,0,18,3,1,1,1,0,0,0,0
2020 Spring,AAS,3200,"Martin, Malcolm and America","Hadley,Mark Andrew",001,-,-,0,3,3,0,0,0,0,0,0,0
2020 Spring,AAS,3300,SSPerspectives AfAm&Af Studies,"Pendergrass,Sabrina",001,-,-,0,2,2,0,0,0,0,0,0,1
2020 Spring,AAS,3500,Intermediate Seminar in AAS,"Fields,Kimberly",003,-,-,0,5,3,0,0,0,0,0,0,1
2020 Spring,AAS,3500,Intermediate Seminar in AAS,"Fields,Kimberly",004,-,-,0,7,1,0,0,0,0,0,0,0
2020 Spring,AAS,3500,Intermediate Seminar in AAS,"Kendall,Nzingha Santiago",002,4.00,21,0,20,0,0,0,0,0,0,0,1
2020 Spring,AAS,3500,Intermediate Seminar in AAS,"Madarieta,Ethan R",009,3.97,22,2,18,2,0,0,0,0,0,0,0
2020 Spring,AAS,3500,Intermediate Seminar in AAS,"Payton,Claire Antone",006,-,-,0,2,3,1,0,0,0,0,0,0
2020 Spring,AAS,3500,Intermediate Seminar in AAS,"Perry Jr.,Tony Curtis",001,-,-,0,5,2,0,1,0,0,0,0,0
2020 Spring,AAS,3500,Intermediate Seminar in AAS,"Reynolds,Pamela P",005,3.93,15,4,9,1,1,0,0,0,0,0,0
2020 Spring,AAS,3500,Intermediate Seminar in AAS,"Smithson,Brian C",012,-,-,2,6,0,0,1,0,0,0,0,0
2020 Spring,AAS,3810,"Race, Culture & Inequality","Pendergrass,Sabrina",001,3.57,16,0,8,4,2,1,0,0,0,0,1
2020 Spring,AAS,3830,"Being Human: Race, Tech, Arts","Hamilton,Njelle Wendyann",001,-,-,2,7,0,0,0,0,0,0,0,0
2020 Spring,AAS,4080,Thesis,"Hill,Justene Grace",003,-,-,0,1,0,0,0,0,0,0,0,0
2020 Spring,AAS,4080,Thesis,"Pendergrass,Sabrina",001,-,-,0,1,0,0,0,0,0,0,0,0
2020 Spring,AAS,4570,Adv Research Sem in AAS,"Hamilton,Njelle Wendyann",001,-,-,1,3,1,0,0,0,0,0,0,0
2020 Spring,AAS,4725,Queer Africas,"Otu,Edwin Kwame",001,3.75,16,0,15,0,0,0,0,0,0,0,1
2020 Spring,AAS,4993,Independent Study,"Madarieta,Ethan R",002,-,-,0,1,0,0,0,0,0,0,0,0
2020 Spring,AAS,4993,Independent Study,"Shutt,Lisa Toccafondi",001,-,-,0,0,1,0,0,0,0,0,0,0
2020 Spring,AAS,5559,New Course: AAS,"Gaines,Kevin Kelly",001,-,-,0,2,0,0,0,0,0,0,0,0
2020 Spring,ACCT,2010,Introductory Accounting I,"Kasten,Marshall V",701,3.93,11,2,7,0,1,0,0,0,0,0,1
2020 Spring,ACCT,2020,Introductory Accounting II,"Montesa,Noel Evangelista",701,-,-,0,1,1,0,0,0,0,0,0,0
2020 Spring,ACCT,3110,Intermediate Accounting I,"Hutton,Leon W",701,3.88,11,3,6,1,0,1,0,0,0,0,0
2020 Spring,ACCT,3120,Intermediate Accounting II,"Lee,Nammy K",701,-,-,0,2,0,2,0,0,0,0,0,0
2020 Spring,ACCT,3140,Cost Accounting,"Cardine,William",701,-,-,0,1,4,0,0,0,0,0,0,2
2020 Spring,ACCT,4450,Federal Taxation I,"Falcone,Todd",701,4.00,16,1,15,0,0,0,0,0,0,0,0
2020 Spring,ACCT,5250,Advanced Auditing,"Evans,Richard",701,-,-,1,8,0,0,0,0,1,0,0,0
2020 Spring,ACCT,5310,Topics in Advanced Accounting,"Brooks,Gary D",701,-,-,0,5,0,0,1,0,0,0,0,0
2020 Spring,ACCT,5410,Fraud Examination,"Achilles,Wendy W",701,-,-,0,9,0,0,0,1,0,0,0,0
2020 Spring,ACCT,5460,Federal Taxation II,"Dittmer,Gary D",701,-,-,0,3,0,0,3,0,0,0,0,1
2020 Spring,AIRS,1200,Foundations of U.S. Air Force,"Lagrange,Brian Kevin",001,-,-,1,8,0,0,0,0,0,0,0,0
2020 Spring,AIRS,1200,Foundations of U.S. Air Force,"Lagrange,Brian Kevin",002,-,-,3,5,0,0,0,0,0,0,0,0
2020 Spring,AIRS,2200,Evolution of Air & Space Power,"Tulip,Christopher Michael",001,-,-,3,1,1,0,0,0,0,0,0,0
2020 Spring,AIRS,2200,Evolution of Air & Space Power,"Tulip,Christopher Michael",002,-,-,1,3,0,1,0,0,0,0,0,0
2020 Spring,AIRS,3200,Air Force Leadership & Mgmt,"Fields,David",001,-,-,0,4,4,0,0,0,0,0,0,0
2020 Spring,AIRS,3200,Air Force Leadership & Mgmt,"Fields,David",002,-,-,0,4,3,0,2,0,0,0,0,0
2020 Spring,AIRS,4200,Natl Sec Affairs/Prep Act Duty,"Hough,Michael",001,-,-,1,3,1,0,0,0,0,0,0,0
2020 Spring,AIRS,4200,Natl Sec Affairs/Prep Act Duty,"Hough,Michael",002,-,-,1,2,1,0,0,0,0,0,0,0
2020 Spring,ALAR,8020,Design Development Studio,"Engle,Darcy Lee",008,-,-,0,2,3,0,0,0,0,0,0,0
2020 Spring,ALAR,8020,Design Development Studio,"Fard,Ali",002,-,-,2,2,2,1,0,0,0,0,0,0
2020 Spring,ALAR,8020,Design Development Studio,"Gonzalez Aranguren,Belen",003,-,-,1,1,0,2,0,0,0,0,0,0
2020 Spring,ALAR,8020,Design Development Studio,"Jull,Matthew",004,-,-,0,1,8,0,0,0,0,0,0,0
2020 Spring,ALAR,8020,Design Development Studio,"Kett,John Alexander",005,-,-,0,2,1,0,0,0,0,0,0,0
2020 Spring,ALAR,8995,Thesis II,"Cantrell,Bradley E",001,-,-,1,0,0,0,0,0,0,0,0,0
2020 Spring,ALAR,8995,Thesis II,"Cho,Leena Sangyun",002,-,-,0,0,1,0,0,0,0,0,0,0
2020 Spring,ALAR,8995,Thesis II,"Cleckley,Elgin Louis",008,-,-,0,1,0,0,0,0,0,0,0,0
2020 Spring,ALAR,8995,Thesis II,"Comazzi,John Joseph",010,-,-,0,1,0,0,0,0,0,0,0,0
2020 Spring,ALAR,8995,Thesis II,"Jull,Matthew",009,-,-,0,1,0,0,0,0,0,0,0,0
2020 Spring,ALAR,8995,Thesis II,"Li,Shiqiao",006,-,-,0,1,0,0,0,0,0,0,0,0
2020 Spring,AMST,1559,New Course: AMST,"Von Daacke,Kirt",001,3.97,43,0,41,1,0,1,0,0,0,0,0
2020 Spring,AMST,2559,New Course: AMST,"Hill,Rebecca A.",002,4.00,15,0,14,0,0,0,0,0,0,0,1
2020 Spring,AMST,2559,New Course: AMST,"Nelson,Louis P",003,-,-,0,1,2,1,1,0,0,0,0,1
2020 Spring,AMST,2559,New Course: AMST,"Rose,Kevin Stewart",001,3.79,21,0,17,0,2,1,0,0,1,0,0
2020 Spring,AMST,3001,Theories & Methods of Amer Std,"Frank,Gillian Avrum",002,3.68,13,0,6,5,0,1,0,1,0,0,0
2020 Spring,AMST,3001,Theories & Methods of Amer Std,"Goff,Lisa",001,-,-,3,3,3,1,0,0,0,0,0,0
2020 Spring,AMST,3180,Intro to Asian Amer Studies,"Chong,Sylvia Shin Huey",100,3.80,31,2,20,4,2,1,2,0,0,0,0
2020 Spring,AMST,3221,Hands-On Public History,"Goff,Lisa",001,3.85,12,2,7,0,1,1,0,0,0,0,1
2020 Spring,AMST,3427,"Gender, Things, and Difference","Sewell,Jessica Ellen",001,3.83,28,2,14,9,3,0,0,0,0,0,0
2020 Spring,AMST,3559,New Course: AMST,"Frank,Gillian Avrum",002,-,-,0,4,2,0,0,0,0,0,0,0
2020 Spring,AMST,3559,New Course: AMST,"Proenza-Coles,Christina",004,3.98,15,1,11,1,0,0,0,0,0,0,2
2020 Spring,AMST,3559,New Course: AMST,"Von Eschen,Penny Marie",001,3.97,12,4,6,1,0,0,0,0,0,0,1
2020 Spring,AMST,3740,Cultures of Hip-Hop,"Hamilton,John C",001,3.90,13,0,10,2,1,0,0,0,0,0,0
2020 Spring,AMST,4351,Aural Histories,"Hamilton,John C",001,-,-,0,6,1,0,0,0,0,0,0,0
2020 Spring,AMST,4500,Fourth Year Seminar AMST,"Grandison,Kenrick I",003,-,-,0,6,0,0,0,0,0,0,0,1
2020 Spring,AMST,4500,Fourth Year Seminar AMST,"Jernigan,Kasey",001,3.94,14,8,3,3,0,0,0,0,0,0,0
