TermDesc,Subject,Catalog Number,Class Title,CourseID,Primary Instructor Name,ClassSection,ClassNum,ClassAcademicGroup,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW,LEVEL
2021 Spring,AAS,3500,Intermediate Seminar in AAS,039376,"Smithson,Brian C",002,12785,CGAS,3.91,11,,,,,,,,,,,UGRD
2021 Spring,ACCT,5310,Topics in Advanced Accounting,000192,"Brooks,Gary D",701,19650,SCPS,,,,,,,,,,,,,GRAD
2021 Spring,ACCT,5410,Fraud Examination,040496,"Achilles,Wendy W",701,19654,SCPS,,,,,,,,,,,,,GRAD
2021 Spring,ANTH,5220,Economic Anthropology,000831,"Damon,Frederick H.",001,19387,CGAS,,,,,,,,,,,,,GRAD
2021 Spring,ANTH,5885,Arch of Colonial Expansions,000896,"Laviolette,Adria",001,19347,CGAS,,,,,,,,,,,,,GRAD
2021 Spring,APMA,6430,Statistics Engrs & Scientists,001210,"Guadagni,Gianluca",001,16220,ENGR,,,,,,,,,,,,,GRAD
2021 Spring,ARAH,9505,Sem Ancient Art/Archaeology,039134,"Rogers,Dylan Kelby",001,20120,CGAS,,,,,,,,,,,,,GRAD
2021 Spring,ASTR,5420,Interstellar Medium,003108,"Indebetouw,Remy",001,19342,CGAS,,,,,,,,,,,,,GRAD
2021 Spring,BIMS,8995,Topical Research,042296,"Nakamoto,Robert K",008,17581,MDS,,,,,,,,,,,,,GRAD
2021 Spring,BIMS,8995,Topical Research,042296,"Winckler,Bettina",001,21289,MDS,,,,,,,,,,,,,GRAD
2021 Spring,BIOL,4559,New Course: BIOL,038577,"Grainger,Robert M",003,20233,CGAS,4.00,13,,,,,,,,,,,UGRD
2021 Spring,CE,5700,Foundations Engineering,045189,"Burden,Lindsay Ivey",001,19282,ENGR,3.71,14,,,,,,,,,,,GRAD
2021 Spring,CHE,5561,Spec Top: Chemical Engineering,005499,"Lazzara,Matthew",001,16428,ENGR,,,,,,,,,,,,,GRAD
2021 Spring,CHEM,1421,Intro College Chemistry II Lab,005994,"Morkowchuk,Lisa Nicole",039,18472,CGAS,3.93,14,,,,,,,,,,,UGRD
2021 Spring,CHIN,1020,Elementary Chinese,006048,"Gao,Ying",004,10339,CGAS,3.96,16,,,,,,,,,,,UGRD
2021 Spring,CHIN,1020,Elementary Chinese,006048,"Geng,Ziyi",006,21180,CGAS,3.94,12,,,,,,,,,,,UGRD
2021 Spring,CHIN,1020,Elementary Chinese,006048,"Zhao,Ran",001,14199,CGAS,3.97,11,,,,,,,,,,,UGRD
2021 Spring,COMM,4370,Digital Strategy & Analytics,044926,"Montgomery,Nicole Votolato",002,14766,COMM,3.99,21,,,,,,,,,,,UGRD
2021 Spring,CS,2910,CS Education Practicum,044243,"Tychonievich,Luther A.",001,16473,ENGR,4.00,71,,,,,,,,,,,UGRD
2021 Spring,DRAM,2630,Production Laboratory: Sound,007234,"Rasbury,Michael C",001,19324,CGAS,4.00,26,,,,,,,,,,,UGRD
2021 Spring,DRAM,3070,African-American Theatre,007249,"Davis,Theresa M",001,14129,CGAS,3.98,12,,,,,,,,,,,UGRD
2021 Spring,DRAM,7460,Act: Character into Reltionshp,007434,"Kelly,Colleen",001,20683,CGAS,,,,,,,,,,,,,GRAD
2021 Spring,ECON,4195,Empirical IO,043548,"Ciliberto,Federico",001,12583,CGAS,4.00,15,,,,,,,,,,,UGRD
2021 Spring,EDHS,3250,Prof Dev & Team Dynamics,042978,"Flora,Amanda Gail",1,14959,EDUC,3.93,19,,,,,,,,,,,UGRD
2021 Spring,EDHS,3895,Peer Counseling,043205,"Mason,Michael Gerard",1,15076,EDUC,3.99,32,,,,,,,,,,,UGRD
2021 Spring,EDHS,8670,Assessment of Children,009300,"Mazurek,Micah",001,14825,EDUC,,,,,,,,,,,,,GRAD
2021 Spring,EDHS,8742,Social-Affective Development,046188,"Gest,Scott David",1,20521,EDUC,,,,,,,,,,,,,GRAD
2021 Spring,EDIS,2200,"Designing Art, Music, & Games",045873,"Bull,Glen L",1,19131,EDUC,4.00,11,,,,,,,,,,,UGRD
2021 Spring,EDIS,4320,Teaching Mathematics Elem,046127,"Peddie,Faith Noel",2,19968,EDUC,3.94,17,,,,,,,,,,,UGRD
2021 Spring,EDIS,5051,Tchg Science Secondary Sch II,009464,"Mumba,Frackson",001,14841,EDUC,,,,,,,,,,,,,GRAD
2021 Spring,EDIS,5071,Special Ed Technology,046124,"Kunemund,Rachel",1,19963,EDUC,,,,,,,,,,,,,GRAD
2021 Spring,EDIS,5136,Ethics of Behavior Analysts,045208,"Matthews,Katherine",502,19198,EDUC,3.94,12,,,,,,,,,,,GRAD
2021 Spring,EDIS,5141,IEP & Transition,040533,"Cook,Lysandra",500,18947,EDUC,4.00,11,,,,,,,,,,,GRAD
2021 Spring,EDIS,5175,Issues in K-12 Education,009699,"Baran Jr.,John Charles",500,18961,EDUC,3.95,19,,,,,,,,,,,GRAD
2021 Spring,EDIS,5175,Issues in K-12 Education,009699,"Baran Jr.,John Charles",501,18962,EDUC,3.95,20,,,,,,,,,,,GRAD
2021 Spring,EDIS,5876,Sem: Tch Intern: Social Stds,039330,"Van Hover,Stephanie D",1,15200,EDUC,3.92,13,,,,,,,,,,,GRAD
2021 Spring,EDIS,7270,Differentation of Instruction,042237,"Amspaugh,Christina",500,19024,EDUC,3.98,15,,,,,,,,,,,GRAD
2021 Spring,EDIS,7700,Foundations Reading Instruct,009522,"Thacker-Gwaltney,Susan Frances",500,19117,EDUC,3.99,24,,,,,,,,,,,GRAD
2021 Spring,EDIS,7751,Literacy Leadership Coaching,041923,"Austin,Ottilie Fabricatore",500,19121,EDUC,3.99,22,,,,,,,,,,,GRAD
2021 Spring,EDIS,7842,Teaching ELLs,043604,"Salerno,April Simun",500,19028,EDUC,,,,,,,,,,,,,GRAD
2021 Spring,EDIS,8855,Education and Diversity,043212,"Bierzynski,Danielle",500,19066,EDUC,3.95,14,,,,,,,,,,,GRAD
2021 Spring,EDLF,3170,Introduction to Adolescence,044395,"Sweeney,Beverly Denise",1,15121,EDUC,3.76,17,,,,,,,,,,,UGRD
2021 Spring,EDLF,5260,Cognitive Psyc and Education,044846,"Jirout,Jamie",1,15163,EDUC,3.99,31,,,,,,,,,,,GRAD
2021 Spring,EDLF,7602,History of American Education,009732,"Paxton II,Benjamin Graham Sands",500,19674,EDUC,,,,,,,,,,,,,GRAD
2021 Spring,EDLF,7808,Strat Align of Plan & Resource,009751,"Roberson,Stewart Dean",500,19229,EDUC,,,,,,,,,,,,,GRAD
2021 Spring,EDLF,7811,Ldship for Teaching & Learning,009818,"Huckestein,Sheila Lonnette",500,19251,EDUC,3.97,21,,,,,,,,,,,GRAD
2021 Spring,EDLF,8383,Qualitative Inquiry,044850,"Hitt,Dallas Hambrick",501,20517,EDUC,4.00,19,,,,,,,,,,,GRAD
2021 Spring,ENCW,2300,Poetry Writing,013450,"Adams,Paulina-Marie Hodges",004,10975,CGAS,3.95,14,,,,,,,,,,,UGRD
2021 Spring,ENCW,2300,Poetry Writing,013450,"Marbut,Kyle",003,10974,CGAS,4.00,14,,,,,,,,,,,UGRD
2021 Spring,ENCW,2600,Fiction Writing,013455,"Pratt Pardes,Gahl",003,11327,CGAS,3.98,12,,,,,,,,,,,UGRD
2021 Spring,ENCW,2600,Fiction Writing,013455,"Severance,Kate",004,11328,CGAS,3.98,14,,,,,,,,,,,UGRD
2021 Spring,ENCW,3310,Intermediate Poetry Writing I,013473,"Petrosino,Courteney Michelle",001,11926,CGAS,3.91,11,,,,,,,,,,,UGRD
2021 Spring,ENCW,4720,Literary Prose Thesis,043988,"Denton,Elizabeth",001,13263,CGAS,4.00,15,,,,,,,,,,,UGRD
2021 Spring,ENCW,4830,Advanced Poetry Writing I,013493,"Nystrom,Debra L",001,13261,CGAS,3.98,12,,,,,,,,,,,UGRD
2021 Spring,ENCW,7310,MFA Poetry Workshop,013513,"Dove,Rita",001,11931,CGAS,,,,,,,,,,,,,GRAD
2021 Spring,ENGL,2592,Women in Literature,012512,"Davies,Cassie Marie",002,19775,CGAS,3.72,15,,,,,,,,,,,UGRD
2021 Spring,ENGL,2599,Special Topics,012514,"Latterner,Eva Marie",011,19760,CGAS,3.93,14,,,,,,,,,,,UGRD
2021 Spring,ENGL,2599,Special Topics,012514,"Storti,Sarah Anne",014,19763,CGAS,4.00,11,,,,,,,,,,,UGRD
2021 Spring,ENGL,3570,Studies in American Literature,011360,"Brickhouse,Anna Campbell",002,19802,CGAS,3.99,20,,,,,,,,,,,UGRD
2021 Spring,ENGL,4510,Seminar in Medieval Literature,012686,"Holsinger,Bruce Wood",001,19980,CGAS,3.85,13,,,,,,,,,,,UGRD
2021 Spring,ENGL,9560,Adv Studies in Modern/Cont Lit,012626,"Ramazani,R Jahan",001,13330,CGAS,,,,,,,,,,,,,GRAD
2021 Spring,ENWR,1510,Writing and Critical Inquiry,013432,"Ceraso,Stephanie L",023,10867,CGAS,3.98,17,,,,,,,,,,,UGRD
2021 Spring,ENWR,2800,Public Speaking,045101,"Allison,Kiera",001,12819,CGAS,3.96,16,,,,,,,,,,,UGRD
2021 Spring,ENWR,3620,Tutoring Across Cultures,045940,"Kostelnik,Kate Pamela",001,18696,CGAS,4.00,14,,,,,,,,,,,UGRD
2021 Spring,EVAT,7490,Air Pollution,045832,"Pusede,Sally Ellen",001,18954,CGAS,,,,,,,,,,,,,GRAD
2021 Spring,EVSC,2559,New Course: EVSC,039167,"Lerdau,Manuel T",001,20068,CGAS,4.00,11,,,,,,,,,,,UGRD
2021 Spring,EVSC,3201,Fundamentals of Ecology Lab,014094,"Castorani,Max Christopher Nicholas",001,10407,CGAS,3.89,12,,,,,,,,,,,UGRD
2021 Spring,FREN,2010,Intermediate French I,014315,"Hall,Elizabeth B",004,10434,CGAS,3.79,13,,,,,,,,,,,UGRD
2021 Spring,FREN,2020,Intermediate French II,014316,"Geer,Rachel Carrie",003,10438,CGAS,3.98,13,,,,,,,,,,,UGRD
2021 Spring,FREN,2020,Intermediate French II,014316,"Geer,Rachel Carrie",005,10439,CGAS,3.98,14,,,,,,,,,,,UGRD
2021 Spring,GCNL,5170,Persons w/Complex Health Probs,015378,"Craig,Sarah Jane White",001,17100,NURS,3.99,46,,,,,,,,,,,GRAD
2021 Spring,GNUR,8110,Quantitative Research Methods,017048,"Johnson,Lee Ann",001,17084,NURS,,,,,,,,,,,,,GRAD
2021 Spring,GNUR,8120,Intro to Qual Research Methods,017052,"LeBaron,Virginia T.",001,17142,NURS,,,,,,,,,,,,,GRAD
2021 Spring,HIST,8001,Master's Essay Writing,043215,"Rossman,Jeffrey J",001,12921,CGAS,,,,,,,,,,,,,GRAD
2021 Spring,HIUS,7041,"Early Amer Republic, 1783-1830",019705,"Taylor,Alan Shaw",001,18763,CGAS,,,,,,,,,,,,,GRAD
2021 Spring,KINE,6755,Clinical Practicum IV,044802,"Vela,Luzita",1,15223,EDUC,,,,,,,,,,,,,GRAD
2021 Spring,LAR,7993,Independent Study,038709,"Meyer,Elizabeth",001,10229,ARCH,,,,,,,,,,,,,GRAD
