Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2024 Fall,AAS,1010,African-Amer & African Stds I,000083,"Blyden,Nemata Amelia",100,10001,CGAS,3.71,172,12,97,34,13,6,4,0,0,1,5
2024 Fall,AAS,2500,Topics in Africana Studies,046413,"Fields,Kimberly",006,19551,CGAS,3.00,12,3,6,0,0,0,0,0,0,0,3
2024 Fall,AAS,2500,Topics in Africana Studies,046413,"Jones,Micah Camille",001,14157,CGAS,3.79,11,0,7,2,1,1,0,0,0,0,0
2024 Fall,AAS,2500,Topics in Africana Studies,046413,"Rotich,Anne J",008,19556,CGAS,3.41,10,0,5,1,0,2,1,0,0,1,0
2024 Fall,AAS,2500,Topics in Africana Studies,046413,"Siwaju,Fatima",002,13166,CGAS,3.45,13,3,3,3,1,0,1,0,1,1,0
2024 Fall,AAS,2500,Topics in Africana Studies,046413,"Smith,Alexandria Naima",005,14159,CGAS,3.32,12,4,2,2,0,1,2,0,0,0,1
2024 Fall,AAS,2500,Topics in Africana Studies,046413,"Wade,Ashleigh",004,13165,CGAS,3.98,30,5,23,2,0,0,0,0,0,0,0
2024 Fall,AAS,2657,"Routes, Writing, Reggae",044899,"Hamilton,Njelle Wendyann",001,19554,CGAS,3.79,17,4,6,6,0,0,0,1,0,0,0
2024 Fall,AAS,3500,Intermediate Seminar in AAS,039376,"Mohamed,Naseemah",001,13935,CGAS,3.74,11,0,6,3,1,0,1,0,0,0,0
2024 Fall,AAS,3500,Intermediate Seminar in AAS,039376,"Richardson,Liana Janine",005,19587,CGAS,3.40,12,0,4,5,1,1,0,0,0,0,1
2024 Fall,AAS,3559,New Course:  AAS,038532,"Means Coleman,Robin R",002,19808,CGAS,3.22,14,0,5,3,2,1,1,0,0,1,1
2024 Fall,AAS,3853,Race and Real Estate in the US,044912,"Kahrl,Andrew W",100,13922,CGAS,3.71,148,0,85,41,9,4,4,0,1,2,2
