Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2024 January,AAS,2224,Black Fem & Masc in US Media,042659,"Shutt,Lisa Toccafondi",001,10037,CGAS,3.33,10,0,6,1,1,0,0,1,0,0,1
2024 January,AAS,2263,Swahili Cultures: Then & Now,047176,"Rotich,Anne J",501,10160,CGAS,4.00,13,2,11,0,0,0,0,0,0,0,0
2024 January,AAS,3671,History Civil Rights Movement,044915,"Schmidt,Jalane Dawn",001,10132,CGAS,3.65,13,0,7,3,1,0,1,1,0,0,0
2024 January,ARCH,3500,Spec Topics in Architecture,001537,"Martin Robles,Ines Maria",501,10104,ARCH,3.90,20,2,11,7,0,0,0,0,0,0,0
2024 January,ARH,3500,Topics inArchitectural History,001883,"Reilly,Lisa A",501,10103,ARCH,3.48,12,0,2,5,1,4,0,0,0,0,0
2024 January,ARTH,2052,Ancient Egypt,039561,"Dakouri-Hild,Anastasia",001,10173,CGAS,3.94,17,10,6,0,0,1,0,0,0,0,0
2024 January,ARTH,3255,Renaissance Art on Site,002765,"Reilly,Lisa A",501,10102,CGAS,3.53,15,0,1,9,3,1,1,0,0,0,0
2024 January,ARTH,3559,New Course: ARTH,040275,"Ramirez-Weaver,Eric Matthew",501,10108,CGAS,4.00,15,6,9,0,0,0,0,0,0,0,0
2024 January,ARTS,2000,Intro to Studio Art,045397,"Chan,Amy Beth",001,10039,CGAS,3.89,18,0,14,2,2,0,0,0,0,0,0
2024 January,ARTS,2560,Printmaking: Works On/Of Paper,042207,"Ohira,Akemi",001,10040,CGAS,3.88,13,0,11,1,0,0,1,0,0,0,0
2024 January,COMM,4293,GCI: IT Practicum in Argentina,006505,"Grazioli,Stefano",501,10120,COMM,3.63,15,2,3,5,3,2,0,0,0,0,0
2024 January,COMM,4569,GCI: Topics in Management,043879,"Lashley,Kisha",501,10118,COMM,3.96,16,0,14,2,0,0,0,0,0,0,0
2024 January,COMM,4579,GCI: Topics in Finance,042832,"Webb,Robert I",502,10119,COMM,3.83,23,5,8,8,2,0,0,0,0,0,0
2024 January,DS,4002,Data Science Project Course,046061,"Wright,Brian",001,10077,DSCI,3.90,21,0,19,0,1,0,1,0,0,0,0
2024 January,ENGL,3559,New Course: ENGL,039144,"Chandler,James K.",002,10175,CGAS,3.67,13,0,6,3,2,2,0,0,0,0,0
2024 January,ENGL,3990,"London, The Theatrical City",044176,"Arata,Stephen D",501,10100,CGAS,3.91,23,0,16,7,0,0,0,0,0,0,0
2024 January,ENWR,3559,New Course in Wrtng & Rhtrc,039158,"Parks,Stephen Jeffery",001,10183,CGAS,3.91,10,0,7,3,0,0,0,0,0,0,0
2024 January,ETP,2559,New Course: ETP,039163,"Most,Rachel",501,10125,CGAS,3.97,18,0,16,2,0,0,0,0,0,0,0
2024 January,EVSC,4050,Topics in Oceanography,013932,"Macko,Stephen A",001,10155,CGAS,3.84,17,4,6,6,0,1,0,0,0,0,0
2024 January,GSVS,4810,Vietnam Ecological Economics,046744,"Phillips,Spencer Rickert",501,10123,CGAS,3.88,13,0,9,3,1,0,0,0,0,0,0
2024 January,HIST,2013,Why Did They Kill?,046088,"Rossman,Jeffrey J",001,10137,CGAS,3.84,26,4,11,9,2,0,0,0,0,0,0
2024 January,HIST,4591,Topics in History,019212,"Thomas,Mark",501,10101,CGAS,3.66,16,0,2,11,3,0,0,0,0,0,0
2024 January,ISHU,3860,Faith and Doubt,040686,"Wright,Luke Savin Herrick",101,10150,SCPS,3.03,15,0,3,3,2,2,2,1,1,0,1
2024 January,ISSS,4432,Interpersonal Communication,045544,"Berube,Clair T",101,10151,SCPS,3.92,29,6,17,5,1,0,0,0,0,0,0
2024 January,LAW,7610,French Public/Private Law (SC),040019,"Gore,Marie",1,10019,LAW,3.37,20,2,3,2,9,1,1,0,2,0,0
2024 January,LAW,7610,French Public/Private Law (SC),040019,"Laazouzi,Malik",1,10019,LAW,3.37,20,2,3,2,9,1,1,0,2,0,0
2024 January,LAW,7611,The Great Writ (SC),040020,"Oldham,Andrew Stephen",1,10021,LAW,3.74,17,0,6,8,3,0,0,0,0,0,0
2024 January,LAW,7611,The Great Writ (SC),040020,"Thapar,Amul R",1,10021,LAW,3.74,17,0,6,8,3,0,0,0,0,0,0
2024 January,LAW,7630,Corp Govrn - Shrhldr Actv (SC),040084,"Barzuza,Michal",1,10182,LAW,3.50,8,0,0,4,4,0,0,0,0,0,0
2024 January,LAW,7645,Baseball (SC),040196,"Setear,John K",1,10004,LAW,3.48,8,0,0,5,1,2,0,0,0,0,0
2024 January,LAW,7647,Cryptocurrency Law & Pol (SC),040305,"Gilbert,Michael",1,10008,LAW,3.53,12,0,1,5,6,0,0,0,0,0,0
2024 January,LAW,7647,Cryptocurrency Law & Pol (SC),040305,"Sutherland,John Abraham",1,10008,LAW,3.53,12,0,1,5,6,0,0,0,0,0,0
2024 January,LAW,7688,Law of Artific Intellig (SC),041912,"Solum,Lawrence",1,10026,LAW,3.38,10,1,2,2,1,0,4,0,0,0,0
