Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2024 Spring,SPAN,2020,Advanced Intermediate Spanish,035854,"Bonino,Nicole",012,10566,College & Graduate Arts & Sci,3.63,16,0,4,9,0,2,1,0,0,0,0
2024 Spring,PHIL,1740,Issues of Life and Death,030031,"Stangl,Rebecca",100,11400,College & Graduate Arts & Sci,3.52,176,0,57,49,30,28,8,1,0,2,1
2024 Spring,CHEM,1421,Intro College Chemistry II Lab,005994,"Morkowchuk,Lisa",010,10609,College & Graduate Arts & Sci,3.90,20,10,3,7,0,0,0,0,0,0,0
2024 Spring,STAT,3280,Data Visual and Management,045458,"Ferrara,Maria",001,12657,College & Graduate Arts & Sci,3.32,62,0,32,3,0,15,0,0,9,1,2
2024 Spring,EGMT,1520,Empirical Engagement,044513,"Williams,Jennie",113,11893,College & Graduate Arts & Sci,3.96,35,8,26,0,0,0,1,0,0,0,0
2024 Spring,ENWR,1506,Writing & Critical Inquiry S2,013429,"Sullivan,Patricia",008,12660,College & Graduate Arts & Sci,3.39,11,0,3,3,2,1,0,2,0,0,0
2024 Spring,STS,4600,Engr Ethcs Prof Responsibility,036750,"Stafford,William",008,15460,Engineering & Applied Science,3.49,23,0,14,3,0,2,1,0,1,1,1
2024 Spring,MATH,7800,Algebraic Topology I,023238,"Bergner,Julie",001,10236,College & Graduate Arts & Sci,3.39,7,0,2,1,0,4,0,0,0,0,0
2024 Spring,APMA,3080,Linear Algebra,001151,"Li,Meiqin",001,15359,Engineering & Applied Science,2.99,39,9,5,3,1,9,1,3,1,3,4
2024 Spring,EVSC,3601,Physical Hydrology Laboratory,014095,"Reidenbach,Matthew",004,11032,College & Graduate Arts & Sci,3.36,11,5,3,0,0,1,0,0,1,0,1
2024 Spring,EDIS,5012,Mindfulness for Teachers,044537,"Nicholas-Stokes,Pamela",500,15122,School of Education and HumanDev,3.44,19,6,8,1,0,1,1,0,0,0,2
2024 Spring,EDIS,6200,Principles of Curric Design,045847,"Woodward,Tyler",501,15175,School of Education and HumanDev,3.39,13,0,5,4,1,2,0,0,0,0,1
2024 Spring,APMA,3080,Linear Algebra,001151,"Chen,Heze",006,19648,Engineering & Applied Science,3.11,41,7,11,2,3,3,1,7,2,1,4
2024 Spring,COMM,3040,Strategic Value Creation,006456,"Allison,Kiera",004,14474,McIntire School of Commerce,3.51,32,0,4,16,6,4,2,0,0,0,0
2024 Spring,EDIS,5340,Tchng Soc Stu in Elem School,009454,"Nussbaum,Ben",001,14633,School of Education and HumanDev,3.98,18,1,16,1,0,0,0,0,0,0,0
2024 Spring,CE,3400,Trans Infrastructure Design,004462,"Chen,Tong",001,15368,Engineering & Applied Science,3.40,10,2,1,2,2,2,0,0,1,0,0
2024 Spring,COMM,3230,Managing Innovation,045750,"Martin,Eric",002,20219,McIntire School of Commerce,3.60,22,0,4,11,5,2,0,0,0,0,0
