Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2025 Summer,ISSS,3720,Witchcraft,041757,"Corlett,David",101,12455,Continuing & Prof Studies,3.71,26,0,15,5,2,2,2,0,0,0,0
2025 Summer,ACCT,3010,Intro Acct I,045930,"Lee,Nammy",701,12349,Continuing & Prof Studies,3.57,17,3,7,0,2,2,3,0,0,0,0
2025 Summer,SLAV,2360,Dracula,035128,"Stepanic,Stanley",002,10755,College & Graduate Arts & Sci,3.32,21,0,9,6,0,2,0,1,1,0,2
2025 Summer,EDLF,5820,Organization & Management,009796,"Leffers,Robert",001,11344,School of Education and HumanDev,3.57,35,0,22,3,3,2,1,1,1,1,1
2025 Summer,PHIL,1510,Intro Philosophy Seminars,030034,"Smith,Jacob",002,10894,College & Graduate Arts & Sci,3.88,16,2,9,4,1,0,0,0,0,0,0
2025 Summer,ISIN,4510,Sp Tps Conduct Inquiry: So Sci,043255,"Scott,Holly",102,12464,Continuing & Prof Studies,3.18,10,0,1,5,1,1,0,0,0,1,1
2025 Summer,AAS,2760,Empowered Women of Africa,046374,"Rotich,Anne",001,10782,College & Graduate Arts & Sci,3.52,16,0,13,0,0,0,0,1,1,0,1
2025 Summer,PHYS,2030,Princip of Physics 1 Workshop,030811,"Bychkov,Maksim",001,10752,College & Graduate Arts & Sci,3.98,24,5,17,2,0,0,0,0,0,0,0
2025 Summer,EDLF,8824,Optimizing Human Capital,044149,"Beavers,Michelle Maynes",500,12548,School of Education and HumanDev,3.90,10,2,6,1,1,0,0,0,0,0,0
2025 Summer,NUCO,3610,Maternal/Child Nursing,043226,"Blair,Ann McQueen",1,11466,School of Nursing,3.87,26,0,16,9,1,0,0,0,0,0,0
2025 Summer,PSYC,3200,Fundamentals of Neuroscience,046163,"Erisir,Alev",001,12242,College & Graduate Arts & Sci,3.48,19,2,5,6,2,1,1,0,1,1,0
2025 Summer,EDIS,5010,Curr Instruc Assess Elementary,009424,"Leigh,Katie",001,11209,School of Education and HumanDev,3.91,14,0,10,4,0,0,0,0,0,0,0
2025 Summer,FREN,2026,Intensive Intermediate French,014580,"Simotas,Spyridon",1,10832,College & Graduate Arts & Sci,3.77,10,1,5,2,1,1,0,0,0,0,0
2025 Summer,EDIS,3040,Foundations of Early Child Edu,042221,"Neesen,Kathy",500,11323,School of Education and HumanDev,3.52,11,4,4,1,0,1,0,0,0,0,1
2025 Summer,EDIS,5142,IEP Develop & Implementation,045417,"Gentry,Roberta",500,11227,School of Education and HumanDev,3.88,8,3,3,1,1,0,0,0,0,0,0
2025 Summer,PSHM,4600,Serv Excellence in Healthcare,044735,"Mitchell,Herron",101,12310,Continuing & Prof Studies,3.95,13,6,6,0,1,0,0,0,0,0,0
2025 Summer,KOR,2020,Intermediate Korean II,020867,"CHOI,YOON HWA",001,12143,College & Graduate Arts & Sci,4.00,10,5,5,0,0,0,0,0,0,0,0
2025 Summer,HIUS,2001,American History to 1865,019527,"Nelson,Jeremy",001,12164,College & Graduate Arts & Sci,3.45,12,0,6,3,0,1,0,0,1,0,1
2025 Summer,ACCT,5200,Intro to Acct Info Systems,047272,"Evans,Richard",701,12352,Continuing & Prof Studies,3.18,9,0,1,1,3,3,0,0,1,0,0
2025 Summer,ECON,3030,Money and Banking,007910,"Doyle,Carter",001,12110,College & Graduate Arts & Sci,3.53,50,0,15,13,13,7,1,0,1,0,0
2025 Summer,SPAN,4700,Spanish Culture & Civilization,035932,"Wellbeloved,Elizabeth A.",501,12083,College & Graduate Arts & Sci,3.75,14,2,4,6,1,1,0,0,0,0,0
2025 Summer,NUCO,4435,Transition to Practice,046018,"Wiersma,Gretchen",100,11454,School of Nursing,3.80,46,7,25,7,3,2,1,1,0,0,0
2025 Summer,DS,6002,Ethics of Big Data I,043459,"Cummings,Renee",001,12254,School of Data Science,3.99,31,24,6,1,0,0,0,0,0,0,0
2025 Summer,PLAP,3500,Spec Tops: American Politics,039393,"Lollis,Jacob",001,12369,College & Graduate Arts & Sci,3.43,11,1,5,1,1,1,0,0,1,1,0
2025 Summer,PLIR,3620,Politics of the EU,044496,"Thomas,Mark",501,11976,College & Graduate Arts & Sci,3.77,14,0,6,6,2,0,0,0,0,0,0
2025 Summer,HIST,3050,Modern Imperialism,044480,"Thomas,Mark",501,11977,College & Graduate Arts & Sci,3.73,23,0,7,13,2,1,0,0,0,0,0
2025 Summer,KINE,5240,Kines Develop Disabilities,009236,"Block,Martin",001,11212,School of Education and HumanDev,3.98,12,8,3,1,0,0,0,0,0,0,0
2025 Summer,EDIS,3020,The Exceptional Learner,009391,"Ruhlman,Bethany",500,11341,School of Education and HumanDev,3.83,22,12,7,0,1,1,0,0,1,0,0
2025 Summer,EDIS,5710,Rdng/Wrtng Acrss Content Areas,009474,"Bailey,Cassie",500,11353,School of Education and HumanDev,3.88,19,0,13,5,1,0,0,0,0,0,0
2025 Summer,SPAN,3040,Business Spanish,035896,"Wellbeloved,Elizabeth A.",501,12071,College & Graduate Arts & Sci,3.74,15,1,5,6,3,0,0,0,0,0,0
2025 Summer,EDIS,5409,Children's Literature,043575,"Schnoor,Diane",500,11350,School of Education and HumanDev,4.00,20,11,9,0,0,0,0,0,0,0,0
2025 Summer,ASTR,1220,Intro Stars Galaxies Universe,003047,"Green,Kara",001,10867,College & Graduate Arts & Sci,3.84,16,9,3,2,0,2,0,0,0,0,0
2025 Summer,CHEM,2410,Organic Chemistry I,005698,"Serbulea,Laura",001,12152,College & Graduate Arts & Sci,3.17,64,4,19,10,6,5,5,5,2,4,4
2025 Summer,PSLP,5300,Foundations of Leadership,044292,"Degner,Kai",701,12340,Continuing & Prof Studies,3.93,18,7,7,4,0,0,0,0,0,0,0
2025 Summer,EDIS,6200,Principles of Curric Design,045847,"McLemore,Katherine James",502,12643,School of Education and HumanDev,3.90,19,0,16,2,0,0,1,0,0,0,0
2025 Summer,EDIS,5080,Differentiating Instruction,045846,"Isley,Deanna Rakes",501,11302,School of Education and HumanDev,3.95,18,0,15,3,0,0,0,0,0,0,0
2025 Summer,CHEM,2321,Org Lab II Non-Chem Maj/Min,043155,"Chruma,Jason",001,12149,College & Graduate Arts & Sci,3.82,39,2,22,9,5,1,0,0,0,0,0
2025 Summer,GCNL,5140,Women & Childbearing Families,015375,"Reyna,Barbara A",001,11418,School of Nursing,3.95,39,0,32,7,0,0,0,0,0,0,0
2025 Summer,CS,3140,Software Dev Essentials,046231,"Nguyen,Rich",001,12248,Engineering & Applied Science,3.26,17,0,6,2,1,2,3,2,1,0,0
2025 Summer,PSYC,2600,Intro to Social Psychology,032521,"MacCormack,Jennifer",001,12233,College & Graduate Arts & Sci,3.95,30,7,19,3,1,0,0,0,0,0,0
2025 Summer,SPAN,3410,Perspectives on Modern Spain,035909,"Wellbeloved,Elizabeth A.",501,12077,College & Graduate Arts & Sci,3.62,11,0,1,7,3,0,0,0,0,0,0
2025 Summer,STS,4500,STS and Engineering Practice,036749,"Laugelli,Benjamin",001,12260,Engineering & Applied Science,3.99,24,17,6,1,0,0,0,0,0,0,0
2025 Summer,ACCT,5480,Corporate Governance & Ethics,045867,"Hood,Michael",701,12355,Continuing & Prof Studies,3.75,14,0,8,5,0,0,0,0,1,0,0
2025 Summer,APMA,2120,Multivariable Calculus,001144,"Mahmood,Asif",001,12203,Engineering & Applied Science,1.44,25,0,1,2,0,4,0,0,1,3,14
2025 Summer,CS,4610,Programming Languages,006915,"Pettit,Raymond",001,12461,Engineering & Applied Science,3.50,20,0,12,0,2,3,0,1,2,0,0
2025 Summer,GCOM,7840,Innovation and Technology Mgmt,015438,"Gray,Peter Horst",001,11371,McIntire School of Commerce,3.44,25,1,6,6,7,3,0,0,1,1,0
2025 Summer,APMA,3140,App Partial Differentl Equatns,001155,"Spencer,Julie",001,12218,Engineering & Applied Science,2.15,25,0,2,5,2,2,1,1,2,0,10
