Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2021 Fall,HIST,9960,Readings in History,019323,"Varon,Elizabeth Regine",001,20613,CGAS,3.925,8,0,6,2,0,0,0,0,0,0,0
2022 Spring,BIOL,9920,Rotation Research,003896,"Guler,Ali Deniz",001,10054,CGAS,3.958823529,17,1,15,0,1,0,0,0,0,0,0
2021 Fall,BIOL,9910,Rotation Research,003895,"Guler,Ali Deniz",001,10314,CGAS,3.95625,16,1,14,0,1,0,0,0,0,0,0
2022 Spring,EDHS,9761,Child Therapy,039111,"Tuerk,Elena Hontoria",001,14840,EDUC,3.88,5,0,3,2,0,0,0,0,0,0,0
2021 Fall,ENGL,9580,Adv Studies in Critical Theory,011602,"Grandison,Kenrick I",001,18369,CGAS,4,8,2,6,0,0,0,0,0,0,0,0
2022 Spring,ARAH,9570,Sem Arch of the Americas,039182,"Nelson,Louis P",001,18434,CGAS,3.925,8,0,6,2,0,0,0,0,0,0,0
2022 Spring,ARAH,9525,Sem Ren/Baroque Art,039175,"Fiorani,Francesca",001,20772,CGAS,3.82,5,0,2,3,0,0,0,0,0,0,0
2022 Spring,LAW,9501,Race and Law Short Course (SC),046498,"Fadel,Mohammad Hossam",1,18465,LAW,3.4875,8,0,1,2,5,0,0,0,0,0,0
2021 Fall,LAW,9500,Tax Treaties & Other Intl Top,043871,"Mason,Ruth",1,19277,LAW,3.5125,8,0,1,4,1,2,0,0,0,0,0
2022 Spring,DRAM,9430,Voice: Dialects,007549,"Close,Tovah",001,19086,CGAS,3.7625,8,0,3,4,1,0,0,0,0,0,0
2022 Spring,LAW,9363,Medicalization and Law,046507,"Konnoth,Craig",1,18644,LAW,3.414285714,14,0,4,4,0,4,1,1,0,0,0
2022 Spring,LAW,9362,Comm Contract Negotiations,046445,"Stanton,Caroline Wellman",1,17784,LAW,3.531818182,22,0,2,10,9,1,0,0,0,0,0
2021 Fall,LAW,9361,Sep of Powers in Fed Cts Sem,046389,"Ahdout,Zimra Payvand",1,20160,LAW,3.733333333,6,0,2,3,1,0,0,0,0,0,0
2022 Spring,LAW,9360,Curr Issues Humn Rghts Law(YR),046431,"Sanchez Leon,Nelson Camilo",1,17754,LAW,3.366666667,9,0,1,2,3,3,0,0,0,0,0
2022 Spring,LAW,9360,Curr Issues Humn Rghts Law(YR),046431,"Versteeg,Emiliana Maria Theresia",1,17754,LAW,3.366666667,9,0,1,2,3,3,0,0,0,0,0
2021 Fall,LAW,9358,Critical Persp in Bus Law,046384,"Cahn,Naomi Renee",1,20158,LAW,3.513333333,15,0,3,5,4,3,0,0,0,0,0
2021 Fall,LAW,9358,Critical Persp in Bus Law,046384,"Hwang,Cathy",1,20158,LAW,3.513333333,15,0,3,5,4,3,0,0,0,0,0
2022 Spring,LAW,9357,"Identity, Law, & Politics Sem",046377,"Gulati,Gaurang Mitu",1ZT,17737,LAW,3.416666667,12,0,0,5,5,2,0,0,0,0,0
2022 Spring,LAW,9356,Free Speech & the Digital Age,046380,"Citron,Danielle Keats",1,17736,LAW,3.592857143,14,1,6,3,3,0,0,0,0,0,1
2022 Spring,LAW,9355,Law and Technology Colloquium,046379,"Citron,Danielle Keats",1ZT,17735,LAW,3.628571429,14,0,4,6,2,2,0,0,0,0,0
2022 Spring,LAW,9355,Law and Technology Colloquium,046379,"Eichensehr,Kristen E.",1ZT,17735,LAW,3.628571429,14,0,4,6,2,2,0,0,0,0,0
2021 Fall,LAW,9354,Privacy Law & Theory Seminar,046378,"Citron,Danielle Keats",1,20117,LAW,3.594444444,18,0,8,3,3,3,1,0,0,0,0
2021 Fall,LAW,9352,Transactions: Drafting & Negot,046443,"Lewis,Clare Howard",1,20545,LAW,3.544444444,18,2,4,2,6,4,0,0,0,0,0
2021 Fall,LAW,9352,Transactions: Drafting & Negot,046443,"Porter,William Francis",1,20545,LAW,3.544444444,18,2,4,2,6,4,0,0,0,0,0
2022 Spring,LAW,9340,"Corps, Investors, and ESG",045986,"Curtis,Quinn",1,17734,LAW,3.46875,16,0,1,5,10,0,0,0,0,0,0
