ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10019,AAS,102,00NA,Discussion,"4","Nilaja Troy","Th 7:00PM - 7:50PM","New Cabell Hall 225","01/13/2009 - 04/28/2009","","","","","","","","","","","","","Crosscurrents African Diaspora","",Closed,10,20,0,""
10016,AAS,102,04M9,Discussion,"4","Nilaja Troy","We 5:00PM - 5:50PM","New Cabell Hall B020","01/13/2009 - 04/28/2009","","","","","","","","","","","","","Crosscurrents African Diaspora","",Closed,14,20,0,""
10013,AAS,102,020A,Lecture,"4","Claudrena Harold","TuTh 12:30PM - 1:45PM","Wilson Hall 301","01/13/2009 - 04/28/2009","","","","","","","","","","","","","Crosscurrents African Diaspora","",Closed,92,118,0,""
10015,AAS,102,0056,Discussion,"4","Justin Rose","We 2:00PM - 2:50PM","Maury Hall 110","01/13/2009 - 04/28/2009","","","","","","","","","","","","","Crosscurrents African Diaspora","",Open,15,20,0,""
10014,AAS,102,0090,Discussion,"4","Justin Rose","We 3:00PM - 3:50PM","New Cabell Hall 247","01/13/2009 - 04/28/2009","","","","","","","","","","","","","Crosscurrents African Diaspora","",Open,14,20,0,""
10017,AAS,102,0255,Discussion,"4","Justin Rose","Th 4:00PM - 4:50PM","New Cabell Hall 241","01/13/2009 - 04/28/2009","","","","","","","","","","","","","Crosscurrents African Diaspora","",Closed,22,20,0,""
10018,AAS,102,0285,Discussion,"4","Nilaja Troy","Th 6:00PM - 6:50PM","New Cabell Hall 225","01/13/2009 - 04/28/2009","","","","","","","","","","","","","Crosscurrents African Diaspora","",Closed,16,20,0,""
10020,AAS,215,00MU,Lecture,"3","Maurice Apprey","Tu 3:30PM - 6:00PM","New Cabell Hall B026","01/13/2009 - 04/28/2009","","","","","","","","","","","","","Culture & World Politics","",Closed,22,20,0,""
10021,AAS,220,05AX,Seminar,"3","Z'Etoile Imma","TuTh 11:00AM - 12:15PM","New Cabell Hall 224","01/13/2009 - 04/28/2009","","","","","","","","","","","","","African Women Writers","",Closed,16,20,0,""
10022,AAS,308,05AW,Seminar,"3","Lydia Marshall","TuTh 2:00PM - 3:15PM","New Cabell Hall B026","01/13/2009 - 04/28/2009","","","","","","","","","","","","","Fugitive Slaves In Global Pers","",Closed,9,10,0,""
10023,AAS,351,05AV,Lecture,"3","Kristin Phillips","MoWe 2:00PM - 3:15PM","Wilson Hall 215","01/13/2009 - 04/28/2009","","","","","","","","","","","","","A-A Social & Pol Thought","",Closed,20,19,0,""
10024,AAS,366,00AH,Lecture,"3","Claudrena Harold","TuTh 3:30PM - 4:20PM","Wilson Hall 301","01/13/2009 - 04/28/2009","","","","","","","","","","","","","Africa Amer Hist Since 1865","",Closed,34,60,0,""
10030,AAS,366,054Z,Discussion,"3","Bartow Elmore","We 5:00PM - 5:50PM","New Cabell Hall 245","01/13/2009 - 04/28/2009","","","","","","","","","","","","","Africa Amer Hist Since 1865","",Closed,7,10,0,""
