ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10063,AAS,3500,1,Seminar,"3","Herbert Lovelace","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 330","05/17/2010 - 06/11/2010","","","","","","","","","","","","","Intermediate Seminar in African-American & African Studies","Issues in Civil Rights Law",Open,11,18,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
10987,AAS,3500,2,Seminar,"3","Todne Thomas","MoTuWeThFr 1:00PM - 3:15PM","New Cabell Hall 332","06/14/2010 - 07/10/2010","Staff","Sa 1:00PM - 3:15PM","New Cabell Hall 332","07/10/2010 - 07/10/2010","","","","","","","","","Intermediate Seminar in African-American & African Studies","Kinfolks in the Afr Diaspora",Open,3,25,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
10636,ACCT,2010,701,Lecture,"3","Cory Kirchert","Sa 9:00AM - 1:00PM","Northern Virginia Center","05/22/2010 - 08/07/2010","","","","","","","","","","","","","Introductory Accounting","",Open,9,24,0,"Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop the accounting model for capturing financial data, and finishes with the problems of measuring and reporting income, assets, liabilities, and equities."
10637,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 10:00PM","Northern Virginia Center","05/17/2010 - 08/16/2010","","","","","","","","","","","","","Introductory Accounting II","",Open,10,24,0,"Continuation of ACCT 2010. Approximately one third of the course deals with additional financial accounting topics, emphasizing managerial considerations and financial analysis. Cost accumulation, allocation, and product cost methods are studied in a manufacturing setting. Matters such as evaluation of performance planning, cost behavior, and special decisions are emphasized.  Prerequisite: ACCT 2010."
10639,ACCT,3110,701,Lecture,"3","Leon Hutton","Th 6:30PM - 10:00PM","Northern Virginia Center","05/20/2010 - 08/12/2010","","","","","","","","","","","","","Intermediate Accounting I","",Open,8,24,0,"An intensive study of the generally accepted accounting principles for asset valuation, income measurement, and financial statement presentation for business organizations, and the processes through which these principles evolve.  Prerequisite: ACCT 2020."
10641,ACCT,3140,701,Lecture,"3","William Cardine","MoTh 6:30PM - 10:00PM","Northern Virginia Center","05/10/2010 - 06/24/2010","","","","","","","","","","","","","Cost Accounting","",Open,4,24,0,"Addresses analysis of cost behavior and volume profit relationships; responsibility accounting and reporting flexible budgets; and the use of standard costs to guide and control performance.  Prerequisite: ACCT 2020."
10642,ACCT,4450,701,Lecture,"3","Thomas Hughes","WeFr 6:30PM - 10:00PM","Northern Virginia Center","05/19/2010 - 06/30/2010","","","","","","","","","","","","","Federal Taxation I","",Open,12,24,0,"An analysis of the federal income tax law and its application to individuals. A study is made of problems covering personal and business tax situations. Several cases are assigned for which the student prepares illustrative tax returns.  Prerequisite: ACCT 2020 or instructor permission."
10643,ACCT,5210,701,Lecture,"3","Karen Young","MoTh 6:30PM - 10:00PM","Northern Virginia Center","05/17/2010 - 07/01/2010","","","","","","","","","","","","","Introductory Auditing","",Open,12,24,0,"Examines auditing methodology through a study of auditing standards. Includes the nature of evidence, program planning, work papers, internal control evaluation, types of audit tests, and audit reports.  Prerequisite: ACCT 3120."
10644,ACCT,5460,701,Lecture,"3","Gary Dittmer","Mo 1:04AM - 1:04AM","Web-Based Course-no class mtgs","06/01/2010 - 08/21/2010","","","","","","","","","","","","","Federal Taxation II","",Open,17,24,0,"Analyzes of the federal income tax law and its application to corporations, shareholders, partnerships, partners, estates, and gift transactions.  Prerequisite: ACCT 4450."
10474,ALAR,5010,1,Lecture,"1","Elizabeth Meyer, Maurice Cox","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 425","07/07/2010 - 08/13/2010","","","","","","","","","","","","","Introduction to Design","",Open,27,30,0,"The Summer Design Institute prepares graduate students admitted to the Master of Architecture and Master of Landscape Architecture Programs for rigorous professional study in these design disciplines.  Three courses comprise the full time course of study over a two month period during the University of Virginia's Summer Session.  Introduction to design concepts from the scale of the city to the body, developing an understanding of design process and compositional strategies in architecture and landscape architecture.  Prerequisite: Admission to the Master of Architecture or Master of Landscape Architecture Program - required for entry into the three year course of professional study unless waived by the Department Chair."
10475,ALAR,5020,1,Lecture,"1","Elizabeth Meyer, Maurice Cox","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 325","07/07/2010 - 08/13/2010","","","","","","","","","","","","","Introduction to Design Graphics","",Open,27,30,0,"The Summer Design Institute prepares graduate students admitted to the Master of Architecture and Master of Landscape Architecture Programs for rigorous professional study in these design disciplines. Three courses comprise the full time course of study over a two month period during the University of Virginia's Summer Session. Introduction to both digital and manual representational techniques, developing the precision and facility necessary for visual communication.  Prerequisite: Admission to the Master of Architecture or Master of Landscape Architecture Program - required for entry into the three year course of professional study unless waived by the Department Chair."
10476,ALAR,5030,1,Lecture,"1","Elizabeth Meyer, Maurice Cox","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 302","07/07/2010 - 08/13/2010","","","","","","","","","","","","","Introduction to Design Theory and Analysis","",Open,27,30,0,"The Summer Design Institute prepares graduate students admitted to the Master of Architecture and Master of Landscape Architecture Programs for rigorous professional study in these design disciplines. Three courses comprise the full time course of study over a two month period during the University of Virginia's Summer Session. Introduction to the analysis of the physical environment at the intersection of historical understanding and contemporary imagination.  Prerequisite: Admission to the Master of Architecture or Master of Landscape Architecture Program - required for entry into the three year course of professional study unless waived by the Department Chair."
10002,ANTH,2157,1,Lecture,"3","Felistas Osotsi","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 328","05/17/2010 - 06/11/2010","","","","","","","","","","","","","Africa Through Film","",Closed,20,20,0,"This course provides an introduction to the peoples, cultures and histories of various African societies through an examination of a variety of ethnographic and commercial films, ethnographies and literatures. The course focuses on how Africa has been represented since the pre-colonial era, how the images and ideas formed through the representations of Africa have impacted knowledge, how popular views continue to influence knowledge about Africa."
10064,ANTH,2559,1,Lecture,"3","David Strohl","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 312","07/12/2010 - 08/06/2010","","","","","","","","","","","","","New Course in Anthropology","Secrecy and Power",Closed,12,12,0,"New course in the subject of anthropology."
10919,ANTH,2810,1,Lecture,"3","Phillip Trella","MoTuWeThFr 10:30AM - 12:45PM","Maury Hall 113","07/12/2010 - 08/06/2010","","","","","","","","","","","","","Human Origins","",Closed,19,14,0,"Studies the physical and cultural evolution of humans from the initial appearance of hominids to the development of animal and plant domestication in different areas of the world. Topics include the development of biological capabilities such as bipedal walking and speech, the evolution of characteristics of human cultural systems such as economic organization and technology, and explanations for the development of domestication."
10003,ANTH,2820,1,Lecture,"3","Patricia Wattenmaker","MoTuWeThFr 1:00PM - 3:15PM","New Cabell Hall 320","06/14/2010 - 07/10/2010","Staff","Sa 1:00PM - 3:15PM","New Cabell Hall 320","07/10/2010 - 07/10/2010","","","","","","","","","The Emergence of States and Cities","",Open,9,20,0,"Surveys patterns in the development of prehistoric civilizations in different areas of the world including the Inca of Peru, the Maya, the Aztec of Mexico, and the ancient Middle East."
10926,ANTH,2858,1,Seminar,"3","Holly Singh","MoTuWeThFr 1:00PM - 3:15PM","Monroe Hall 114","07/12/2010 - 08/06/2010","","","","","","","","","","","","","Anthropology of Reproduction: Fertility and the Future","",Closed,21,20,0,"In this course, we will study human reproduction as a cultural process. Questions include how gender, class, race, and religion shape reproductive ideals and practices around the world.  Ethnographic examples will come from around the world, but will emphasize South Asia and the United States. This course examines the perspectives of both men and women and situates local examples within national and global struggles to (re)produce the future."
11045,ANTH,3050,1,Lecture,"3","Wende Marshall","MoTuWeThFr 1:00PM - 3:15PM","Mcleod Hall 2005","05/17/2010 - 06/11/2010","","","","","","","","","","","","","Fat, Famine and Power: Anthropology of Food","",Closed,21,20,0,"The course will explore the paradoxical relationship of fat and famine in the context of  private control over the means of sustenace on a global scale."
10065,ANTH,3559,1,Lecture,"3","Claire Snell-Rood","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 312","05/17/2010 - 06/11/2010","","","","","","","","","","","","","New Course in Anthropology","Anthropology of Urban Poverty",Open,9,20,0,"New course in the subject of Anthropology"
10004,ANTH,3559,2,Lecture,"3","Andrew Nelson","MoTuWeThFr 1:00PM - 3:15PM","Bryan Hall 312","06/14/2010 - 07/10/2010","Staff","Sa 1:00PM - 3:15PM","Bryan Hall 312","07/10/2010 - 07/10/2010","","","","","","","","","New Course in Anthropology","City Flicks",Closed,21,18,0,"New course in the subject of Anthropology"
10066,ANTH,3559,3,Lecture,"3","Todne Thomas","MoTuWeThFr 1:00PM - 3:15PM","New Cabell Hall 332","06/14/2010 - 07/10/2010","Staff","Sa 1:00PM - 3:15PM","New Cabell Hall 332","07/10/2010 - 07/10/2010","","","","","","","","","New Course in Anthropology","Kin of the Afr Diaspora",Open,3,20,0,"New course in the subject of Anthropology"
11750,ANTH,4993,1,Independent Study,"1 - 6","Wende Marshall","TBA","TBA","05/17/2010 - 06/11/2010","","","","","","","","","","","","","Independent Study in Anthropology","",Open,1,30,0,"Independent study conducted by the student under the supervision of an instructor of his or her choice."
11876,ANTH,4993,2,Independent Study,"1 - 6","Rachel Most","TBA","TBA","06/14/2010 - 07/10/2010","","","","","","","","","","","","","Independent Study in Anthropology","",Closed,1,1,0,"Independent study conducted by the student under the supervision of an instructor of his or her choice."
12248,ANTH,4993,3,Independent Study,"1 - 6","Wende Marshall","TBA","TBA","06/14/2010 - 07/10/2010","","","","","","","","","","","","","Independent Study in Anthropology","",Closed,1,1,0,"Independent study conducted by the student under the supervision of an instructor of his or her choice."
12267,ANTH,4993,4,Independent Study,"1 - 6","Rachel Most","TBA","TBA","07/12/2010 - 08/06/2010","","","","","","","","","","","","","Independent Study in Anthropology","",Closed,2,1,0,"Independent study conducted by the student under the supervision of an instructor of his or her choice."
12199,ANTH,9999,1,Independent Study,"3 - 12","Richard Handler","TBA","TBA","06/14/2010 - 08/06/2010","","","","","","","","","","","","","Non-Topical Research","",Open,1,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10368,APMA,1090,1,Lecture,"4","William Johnson","MoTuWeThFr 10:30AM - 11:30AM","Olsson Hall 011","06/15/2010 - 07/24/2010","","","","","","","","","","","","","Single Variable Calculus I","",Open,31,35,0,"The concepts of differential and integral calculus are developed and applied to the elementary functions of a single variable.  Limits, rates of change, derivatives, and integrals.  Applications are made to problems in analytic geometry and elementary physics. For students with no exposure to high school calculus."
10369,APMA,2120,1,Lecture,"4","Manouchehr Mohajeri","MoTuWeThFr 10:30AM - 11:30AM","Olsson Hall 005","06/14/2010 - 08/06/2010","","","","","","","","","","","","","Multivariable Calculus","",Open,13,35,0,"Topics include vectors in three-space and vector valued functions.  The multivariate calculus, including partial differentiation, multiple integrals, line and surface integrals, and the vector calculus, including Green's theorem, the divergence theorem, and Stokes's theorem.  Applications.  Prerequisite: APMA 1110."
10370,APMA,2130,1,Lecture,"4","Bernard Fulgham","MoTuWeThFr 9:15AM - 10:15AM","Olsson Hall 005","06/14/2010 - 08/06/2010","","","","","","","","","","","","","Ordinary Differential Equations","",Closed,35,35,0,"First order differential equations, second order and higher order linear differential equations, reduction of order, undetermined coefficients, variation of parameters, series solutions, Laplace transforms, linear systems of first order differential equations and the associated matrix theory, numerical methods.  Applications.  Prerequisite: APMA 2120 or equivalent."
10371,APMA,3080,1,Lecture,"3","James Lark","MoTuWeThFr 1:00PM - 2:00PM","Olsson Hall 005","06/14/2010 - 08/06/2010","","","","","","","","","","","","","Linear Algebra","",Open,18,35,0,"Analyzes the systems of linear equations; vector spaces; linear dependence; bases; dimension; linear mappings; matrices; determinants; quadratic forms; eigenvalues; eigenvectors; orthogonal reduction to diagonal form;  inner product spaces; numerical methods; geometric applications.  Prerequisite: APMA 2120 or equivalent."
10372,APMA,3100,1,Lecture,"3","Thomas Baber","MoTuWeThFr 9:15AM - 10:15AM","Olsson Hall 009","06/14/2010 - 08/06/2010","","","","","","","","","","","","","Probability","",Open,20,35,0,"A calculus-based introduction to probability theory and its applications in engineering and applied science. Includes counting techniques, conditional probability, independence, discrete and continuous random variables, probability distribution functions, expected value and variance, joint distributions, covariance, correlation, the Central Limit theorem, the Poisson process, an introduction to statistical inference.  Prerequisite: APMA 2120 or equivalent."
10373,APMA,3110,1,Lecture,"3","Norman Beil","MoTuWeThFr 11:45AM - 12:45PM","Olsson Hall 009","06/14/2010 - 08/06/2010","","","","","","","","","","","","","Applied Statistics and Probability","",Open,13,35,0,"Examines variability and its impact on decision-making.  Introduces students to basic concepts of probability, such as random variables, probability distribution functions, and the central limit theorem. Based on this foundation, the course then emphasizes applied statistics covering topics such as descriptive statistics, statistical inference, confidence intervals, hypothesis testing, correlation, regression modeling, statistical quality control.  Students cannot receive credit for both this course and APMA 3120.  Prerequisite: APMA 2120 or equivalent."
10374,APMA,3120,1,Lecture,"3","James Lark","MoTuWeThFr 10:30AM - 11:30AM","Olsson Hall 009","06/14/2010 - 08/06/2010","","","","","","","","","","","","","Statistics","",Open,13,35,0,"Includes confidence interval and point estimation methods, hypothesis testing for single samples, inference procedures for single-sample and two-sample studies, single and multifactor analysis of variance techniques, linear and non-linear regression and correlation, and using Minitab for large data sets. Students cannot receive credit for both this course and APMA 3110.  Prerequisite: APMA 3100 or equivalent."
10486,ARAB,1016,1,Lecture,"4","Caren Freeman, Omima El Araby","MoTuWeThFr 9:00AM - 2:30PM","Minor Hall 130","06/14/2010 - 07/10/2010","","","","","","","","","","","","","Intensive Introductory Arabic","",Open,12,20,0,"This intensive course begins with instruction in basic oral expression, listening comprehension, elementary reading and writing, and continues with further development of these four skills at the intermediate level. Part of the Summer Language Institute."
10527,ARAB,1026,001,Lecture,"4","Omima El Araby","MoTuWeThFr 9:00AM - 2:30PM","Minor Hall 130","07/12/2010 - 08/06/2010","","","","","","","","","","","","","Intensive Introductory Arabic","",Open,12,20,0,"This intensive course begins with instruction in basic oral expression, listening comprehension, elementary reading and writing, and continues with further development of these four skills at the intermediate level. Part of the Summer Language Institute.  Prerequisites:  ARAB 1016 or equivalent."
11821,ARAB,116,1,Lecture,"0","Caren Freeman, Omima El Araby","MoTuWeThFr 9:00AM - 2:30PM","Minor Hall 130","06/14/2010 - 07/10/2010","","","","","","","","","","","","","Intensive Introductory Arabic","",Open,1,20,0,"This intensive course begins with instruction in basic oral expression, listening comprehension, elementary reading and writing, and continues with further development of these four skills at the intermediate level. Part of the Summer Language Institute."
11822,ARAB,126,1,Lecture,"0","Omima El Araby","MoTuWeThFr 9:00AM - 2:30PM","Minor Hall 130","07/12/2010 - 08/06/2010","","","","","","","","","","","","","Intensive Introductory Arabic","",Open,2,20,0,"This intensive course begins with instruction in basic oral expression, listening comprehension, elementary reading and writing, and continues with further development of these four skills at the intermediate level. Part of the Summer Language Institute."
10922,ARAB,2016,1,Lecture,"4","Caren Freeman, Martin Isleem","MoTuWeThFr 9:00AM - 2:30PM","Nau 141","06/14/2010 - 07/10/2010","","","","","","","","","","","","","Intensive Intermediate Arabic","",Open,5,20,0,"This intensive course begins with instruction in basic intermediate level expression, listening comprehension, reading and writing, and continues with further development of these four skills. Part of the Summer Language Institute.  Prerequistes:  ARAB 1016  & 1026 or equivalent."
10525,ARAB,2026,1,Lecture,"4","Caren Freeman, Martin Isleem","MoTuWeThFr 9:00AM - 2:30PM","Nau 141","07/12/2010 - 08/06/2010","","","","","","","","","","","","","Intensive Intermediate Arabic","",Open,5,20,0,"This intensive course begins with instruction in intermediate level oral expression, listening comprehension, reading and writing, and continues with further development of these four skills. Part of the Summer Language Institute.  Prerequisites:  ARAB 1016 , 1026 & 2016 or equivalent."
11823,ARAB,216,1,Lecture,"0","Caren Freeman, Martin Isleem","MoTuWeThFr 9:00AM - 2:30PM","Nau 141","06/14/2010 - 07/10/2010","","","","","","","","","","","","","Intensive Intermediate Arabic","",Open,1,20,0,"This intensive course begins with instruction in basic intermediate level expression, listening comprehension, reading and writing, and continues with further development of these four skills. Part of the Summer Language Institute."
11824,ARAB,226,1,Lecture,"0","Caren Freeman, Martin Isleem","MoTuWeThFr 9:00AM - 2:30PM","Nau 141","07/12/2010 - 08/06/2010","","","","","","","","","","","","","Intensive Intermediate Arabic","",Open,1,20,0,"This intensive course begins with instruction in basic intermediate level expression, listening comprehension, reading and writing, and continues with further development of these four skills. Part of the Summer Language Institute."
12008,ARAD,3559,1,Lecture,"3 - 4","Alana Levinson-Labrosse, Theodore Genoways","MoTuWeThFr 10:30AM - 12:45PM","Wilson Hall 141A","05/17/2010 - 06/11/2010","","","","","","","","","","","","","New Course in Development for the Arts","",Open,3,15,0,"This course provides the opportunity to offer new topics in the subject of Development for the Arts"
10477,ARCH,2010,1,Lecture,"6","Erin Hannegan","MoTuWeThFr 1:00PM - 6:00PM","Campbell Hall 105","06/14/2010 - 07/10/2010","Staff","Sa 1:00PM - 6:00PM","Campbell Hall 105","07/10/2010 - 07/10/2010","","","","","","","","","Introduction to Architectural Design I","",Open,9,30,0,"The 2nd year introductory architectural design studios explore comprehensive and foundational design principles, skill sets, and critical thinking.  The material covered through the fall and spring semesters is presented through a series of lectures, projects, exercises, workshops, symposia and reviews which involve the beginning design student in the thoughtful application of fundamental design principles, foundational techniques of representation and fabrication and comprehensive critical design strategies.  These courses foster the development of the beginning design student's design methodology founded on thoughtful, creative, ethical and rigorous work practices in service of exploring meaningful formal and spatial propositions.  Prerequisite:  ARCH 1010, 1020"
10478,ARCH,2020,1,Studio,"6","Peter Waldman","MoTuWeThFr 1:00PM - 6:00PM","Campbell Hall 105","07/12/2010 - 08/06/2010","","","","","","","","","","","","","Introduction to Architectural Design II","",Open,10,30,0,"The 2nd year introductory architectural design studios explore comprehensive and foundational design principles, skill sets, and critical thinking.  The material covered through the fall and spring semesters is presented through a series of lectures, projects, exercises, workshops, symposia and reviews which involve the beginning design student in the thoughtful application of fundamental design principles, foundational techniques of representation and fabrication and comprehensive critical design strategies.  These courses foster the development of the beginning design student's design methodology founded on thoughtful, creative, ethical and rigorous work practices in service of exploring meaningful formal and spatial propositions.  Prerequisite:  ARCH 2010"
10479,ARCH,2040,1,Lecture,"3","Edward Ford","MoTuWeThFr 2:00PM - 6:00PM","Campbell Hall 301","07/12/2010 - 08/06/2010","","","","","","","","","","","","","Introduction to Architectural Design","",Open,6,30,0,"Introduction to Architectural Design"
12185,ARCH,5993,1,Independent Study,"1 - 6","Eric Field","TBA","TBA","07/12/2010 - 08/06/2010","","","","","","","","","","","","","Independent Study","",Closed,1,1,0,"Independent research on topics selected by individual students in consultation with a faculty advisor"
10001,ARH,1004,1,Lecture,"3","Jacqueline Taylor, Nicholas Genau","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 215","07/12/2010 - 08/06/2010","","","","","","","","","","","","","History of Architecture","",Open,10,30,0,"Surveys architecture from the Ancient to the present."
10067,ARTH,2559,1,Lecture,"3","Leslie Cozzi","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 206","06/14/2010 - 07/10/2010","Staff","Sa 10:30AM - 12:45PM","Fayerweather Hall 206","07/10/2010 - 07/10/2010","","","","","","","","","New Course in History of Art","Women and Western Art",Open,6,20,0,"This course provides the opportunity to offer new topics in the subject History of Art."
10005,ARTH,2772,1,Lecture,"3","Carmenita Higginbotham","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 208","07/12/2010 - 08/06/2010","","","","","","","","","","","","","American Film Noir and the City","",Closed,16,15,0,"Studies the classic period of film noir and its engagement with the city as a problematic subject and a frequent resource within American Art and culture immediately before and after WW II.  Using the classic period of film noir as a framework, this lecture and discussion course examines the ways in which Â¿the cityÂ¿ is represented as a problematic subject and a frequent resource within American Art and culture immediately before and after WWII."
10068,ARTS,1610,1,Studio,"3","Akemi Rollando","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 203","06/14/2010 - 07/10/2010","Staff","Sa 1:00PM - 3:30PM","Ruffin Hall 203","07/10/2010 - 07/10/2010","","","","","","","","","Introduction to Drawing I","",Open,19,20,0,"Introduces the materials and techniques of drawing, provides training in the coordination of hand and eye, and encourages development of visual analysis. Emphasizes understanding form, space, light and composition."
