ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10020,AAS,1010,100,Lecture,"4","Kwame Edwin Otu","TuTh 12:30pm - 1:45pm","Minor Hall 125","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Introduction to African-American and African Studies I","",Closed,200,200,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10023,AAS,1010,101,Discussion,"0","Daniel Henry","Tu 6:00pm - 6:50pm","New Cabell Hall 111","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10024,AAS,1010,102,Discussion,"0","Daniel Henry","We 5:00pm - 5:50pm","New Cabell Hall 411","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Introduction to African-American and African Studies I","",Closed,22,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10021,AAS,1010,103,Discussion,"0","Patrice Wright","Tu 7:00pm - 7:50pm","New Cabell Hall 183","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Introduction to African-American and African Studies I","",Closed,19,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10022,AAS,1010,104,Discussion,"0","Eniola Afolayan","Tu 8:00pm - 8:50pm","New Cabell Hall 111","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10025,AAS,1010,105,Discussion,"0","Eniola Afolayan","We 6:00pm - 6:50pm","New Cabell Hall 283","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Introduction to African-American and African Studies I","",Closed,22,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10026,AAS,1010,106,Discussion,"0","Eniola Afolayan","We 7:00pm - 7:50pm","New Cabell Hall 183","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Introduction to African-American and African Studies I","",Open,18,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
14115,AAS,1010,107,Discussion,"0","Patrice Wright","Tu 6:00pm - 6:50pm","New Cabell Hall 211","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
14116,AAS,1010,108,Discussion,"0","Patrice Wright","Tu 5:00pm - 5:50pm","New Cabell Hall 283","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
14117,AAS,1010,109,Discussion,"0","Daniel Henry","We 4:00pm - 4:50pm","New Cabell Hall 115","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
