ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10581,AAS,2224,001,SEM,"3","Lisa Shutt","MoTuWeThFr 11:00am - 12:45pm","Wilson Hall 214","07/13/2020 - 08/06/2020","","","","","","","","","","","","","Black Femininities and Masculinities in the US Media","",Open,8,14,0,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
11242,AAS,2559,001,SEM,"3","Anne Rotich","MoTuWeThFr 1:00pm - 3:15pm","Nau Hall 141","07/13/2020 - 08/06/2020","","","","","","","","","","","","","New Course in African and African American Studies","Women Leaders in Africa",Open,4,20,0,"New course in the subject of African and African American Studies"
12689,AAS,2559,002,SEM,"3","Angelia Allen","MoTuWeThFr 1:00pm - 3:15pm","Bryan Hall 328","06/15/2020 - 07/09/2020","","","","","","","","","","","","","New Course in African and African American Studies","Black Feminisms",Open,4,20,0,"New course in the subject of African and African American Studies"
10584,AAS,4993,003,IND,"1 - 12","Lisa Shutt","TBA","TBA","05/18/2020 - 06/12/2020","","","","","","","","","","","","","Independent Study","",Open,0,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
10597,AAS,4993,004,IND,"1 - 12","Maurice Apprey","TBA","TBA","07/13/2020 - 08/06/2020","","","","","","","","","","","","","Independent Study","",Open,0,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
10635,AAS,4993,005,IND,"1 - 12","Lisa Shutt","TBA","TBA","07/13/2020 - 08/06/2020","","","","","","","","","","","","","Independent Study","",Open,0,30,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
12587,ACCT,2010,701,Lecture,"3","Marshall Kasten","Mo 2:00am - 2:01am","Web-Based Course-No class mtgs","05/18/2020 - 08/07/2020","","","","","","","","","","","","","Introductory Accounting I","",Open,10,24,0,"Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop the accounting model for capturing financial data, and finishes with the problems of measuring and reporting income, assets, liabilities, and equities."
12586,ACCT,2020,701,Lecture,"3","Noel Montesa","We 6:30pm - 9:30pm","Web-Based Course-No class mtgs","05/20/2020 - 08/05/2020","","","","","","","","","","","","","Introductory Accounting II","",Open,10,24,0,"Continuation of ACCT 2010. Approximately one third of the course deals with additional financial accounting topics, emphasizing managerial considerations and financial analysis. Cost accumulation, allocation, and product cost methods are studied in a manufacturing setting. Matters such as evaluation of performance planning, cost behavior, and special decisions are emphasized. Prerequisite: ACCT 2010."
12588,ACCT,3110,701,Lecture,"3","Leon Hutton","Tu 6:30pm - 9:30pm","Web-Based Course-No class mtgs","05/19/2020 - 08/04/2020","","","","","","","","","","","","","Intermediate Accounting I","",Open,4,24,0,"An intensive study of the generally accepted accounting principles for asset valuation, income measurement, and financial statement presentation for business organizations, and the processes through which these principles evolve. Prerequisite: ACCT 2020."
12589,ACCT,3120,701,Lecture,"3","Nammy Lee","Th 6:30pm - 9:30pm","Web-Based Course-No class mtgs","05/21/2020 - 08/06/2020","","","","","","","","","","","","","Intermediate Accounting II","",Open,5,24,0,"Continuation of ACCT 3110, emphasizing accounting for the equities of a firm's investors and creditors. Covers special problem areas in financial accounting including accounting for leases, pensions, and income taxes. Prerequisite: ACCT 3110."
