ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10266,AAS,2224,001,SEM,"3","Lisa Shutt","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","01/04/2021 - 01/15/2021","","","","","","","","","","","","","Black Femininities and Masculinities in the US Media","",Closed,30,30,18,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
10066,AAS,2559,001,SEM,"3","Anne Rotich","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","01/04/2021 - 01/15/2021","","","","","","","","","","","","","New Course in African and African American Studies","African Languages and Literatures",Closed,20,20,3,"New course in the subject of African and African American Studies"
10282,AMST,2559,001,Lecture,"3","Elgin Cleckley, Kirt von Daacke","MoTuWeThFr","TBA","01/04/2021 - 01/15/2021","","","","","","","","","","","","","New Course in American Studies","The Good, the Bad, and the Ugly: Designing America",Open,33,35,0,"New Course in subject of American Studies."
10225,ANTH,2559,100,Lecture,"3","Erin Eaker, Rachel Most","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","01/04/2021 - 01/15/2021","","","","","","","","","","","","","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,352,500,0,"New course in the subject of anthropology."
10226,ANTH,2559,101,Discussion,"0","Andrew Ebrahem","TBA","TBA","01/04/2021 - 01/15/2021","","","","","","","","","","","","","New Course in Anthropology","The Past, Present, and Future of Humankind",Closed,18,30,0,"New course in the subject of anthropology."
10227,ANTH,2559,102,Discussion,"0","Byron Clanor","TBA","TBA","01/04/2021 - 01/15/2021","","","","","","","","","","","","","New Course in Anthropology","The Past, Present, and Future of Humankind",Closed,15,30,0,"New course in the subject of anthropology."
10228,ANTH,2559,103,Discussion,"0","Charles Oswald","TBA","TBA","01/04/2021 - 01/15/2021","","","","","","","","","","","","","New Course in Anthropology","The Past, Present, and Future of Humankind",Closed,17,30,0,"New course in the subject of anthropology."
10229,ANTH,2559,104,Discussion,"0","Erica Krause","TBA","TBA","01/04/2021 - 01/15/2021","","","","","","","","","","","","","New Course in Anthropology","The Past, Present, and Future of Humankind",Closed,20,30,0,"New course in the subject of anthropology."
10230,ANTH,2559,105,Discussion,"0","Jennie Askew","TBA","TBA","01/04/2021 - 01/15/2021","","","","","","","","","","","","","New Course in Anthropology","The Past, Present, and Future of Humankind",Closed,20,30,0,"New course in the subject of anthropology."
10231,ANTH,2559,106,Discussion,"0","Jesse McCain","TBA","TBA","01/04/2021 - 01/15/2021","","","","","","","","","","","","","New Course in Anthropology","The Past, Present, and Future of Humankind",Closed,15,30,0,"New course in the subject of anthropology."
