ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description,Disciplines,Cost
10003,AAS,1010,100,Lecture,4,"Robert Vinson, Naseemah Mohamed",TuTh 12:30pm - 1:45pm,Minor Hall 125,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Open,0,180,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
12774,AAS,1010,101,Discussion,0,To Be Announced,We 6:00pm - 6:50pm,New Cabell Hall 283,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Open,0,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
10006,AAS,1010,102,Discussion,0,To Be Announced,We 5:00pm - 5:50pm,New Cabell Hall 287,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Open,0,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
10004,AAS,1010,103,Discussion,0,To Be Announced,Tu 7:00pm - 7:50pm,New Cabell Hall 411,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Open,0,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
10005,AAS,1010,104,Discussion,0,To Be Announced,Tu 8:00pm - 8:50pm,New Cabell Hall 411,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Open,0,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
10007,AAS,1010,105,Discussion,0,To Be Announced,We 6:00pm - 6:50pm,New Cabell Hall 287,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Open,0,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
10008,AAS,1010,106,Discussion,0,To Be Announced,We 7:00pm - 7:50pm,New Cabell Hall 211,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Open,0,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
11700,AAS,1010,107,Discussion,0,To Be Announced,Tu 6:00pm - 6:50pm,New Cabell Hall 411,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Open,0,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
11701,AAS,1010,108,Discussion,0,To Be Announced,Tu 5:00pm - 5:50pm,New Cabell Hall 485,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Open,0,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
11702,AAS,1010,109,Discussion,0,To Be Announced,We 7:00pm - 7:50pm,New Cabell Hall 415,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Open,0,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
19866,AAS,2210,001,SEM,3,Anne Rotich,MoWeFr 1:00pm - 1:50pm,New Cabell Hall 111,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Introduction to African Literatures & Cultures,,Open,0,18,0,"This course is a survey of literary texts in English by contemporary African writers. Students will read a variety of texts including novels, short stories, poetry, film and songs and critically analyze the cultural and aesthetics of the literary landscape. Particular attention will be on how authors engage themes such as identity, patriarchy, gender, class, and politics in post-colonial structures.","Artistic, Interpretive, & Philosophical Inquiry$Cultures & Societies of the World",
19843,AAS,2220,001,Lecture,3,Kimberly Fields,We 3:30pm - 6:00pm,John W. Warner Hall 110,08/26/2025 - 12/09/2025,,,,,,,,,,,,,"Introduction to Race, Class, Politics & the Environment",,Open,0,30,0,"Students will be introduced to the evidence and debates surrounding the claims that racialized and poor communities disproportionately shoulder society&#39;s environmental burdens. Through a variety of analytical and contextual lenses, we examine fundamental environmental problems faced by individuals and communities of color and the policies and initiatives designed to address them.",Social & Economic Systems$Science & Society,
19842,AAS,2240,001,Lecture,3,Nemata Blyden,Tu 2:00pm - 4:30pm,New Cabell Hall 395,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Africans in America,,Open,0,20,0,"This course will focus on recent African arrivals to the United States, exploring the history of Africans who voluntarily entered the country. We will examine the lives of Africans who came to the US in the late 19th, 20th, and 21st century as students, visitors, missionaries, & temporary residents, as well as the reasons for African migration, settlement patterns and adjustment issues, and immigrant relationships with Americans, black and white.",Cultures & Societies of the World$Historical Perspectives,
13334,AAS,2500,001,SEM,3,Sabrina Pendergrass,TuTh 11:00am - 12:15pm,New Cabell Hall 209,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Topics Course in Africana Studies,Race and Place in African American Life,Open,0,15,0,"Lower-level topics course: reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.",Social & Economic Systems,
12773,AAS,2500,002,SEM,3,Kache Claytor,TuTh 2:00pm - 3:15pm,New Cabell Hall 056,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Topics Course in Africana Studies,Black Latin America through Film & Performance,Open,0,16,0,"Lower-level topics course: reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.","Artistic, Interpretive, & Philosophical Inquiry",
13335,AAS,2500,003,SEM,3,Alexandria Smith,TuTh 11:00am - 12:15pm,New Cabell Hall 364,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Topics Course in Africana Studies,Black Genders,Open,0,30,0,"Lower-level topics course: reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.","Artistic, Interpretive, & Philosophical Inquiry",
13336,AAS,2500,004,SEM,3,Alexandria Smith,TuTh 12:30pm - 1:45pm,New Cabell Hall 364,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Topics Course in Africana Studies,Black Bodies in Literature,Open,0,30,0,"Lower-level topics course: reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.","Artistic, Interpretive, & Philosophical Inquiry",
20235,AAS,2657,001,SEM,3,Njelle Hamilton,MoWe 3:30pm - 4:45pm,New Cabell Hall 395,08/26/2025 - 12/09/2025,,,,,,,,,,,,,"Routes, Writing, Reggae",,Open,0,20,0,"In this course, we will trace the history of reggae music and explore its influence on the development of Jamaican literature. With readings on Jamaican history, we will consider why so many reggae songs speak about Jah and quote from the Bible. Then, we will explore how Marcus Garvey's teachings led to the rise of Rastafarianism, which in turn seeded ideas of black pride and black humanity into what would become reggae music.","Artistic, Interpretive, & Philosophical Inquiry",
19847,AAS,3310,001,Lecture,3,Kimberly Fields,Tu 6:00pm - 8:30pm,New Cabell Hall 303,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Environmental Justice in the Mid-Atlantic Region,,Open,0,20,0,"This course is dedicated to examining government responses to environmental injustice. Our readings and discussions will use an interdisciplinary social-science perspective to track the trajectory of environmental justice activism and official responses to it in the five states (DE, MD, PA, VA, WVA) the EPA (Environmental Protection Agency) has designated as comprising the important but understudied mid-Atlantic region.",Social & Economic Systems$Science & Society,
13230,AAS,3500,001,SEM,3,Shelby Sinclair,We 2:00pm - 4:30pm,New Cabell Hall 115,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Intermediate Seminar in African-American & African Studies,The US in the Caribbean,Open,0,16,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies. Topics change from term to term, and vary with the instructor.",Social & Economic Systems,No Cost Course Materials
20410,AAS,3500,002,SEM,3,FATIMA SIWAJU,Tu 2:00pm - 4:30pm,New Cabell Hall 315,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Intermediate Seminar in African-American & African Studies,"Race, Religion & Citizenship",Open,0,17,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies. Topics change from term to term, and vary with the instructor.",Social & Economic Systems,
13759,AAS,3500,003,SEM,3,Guilherme Lemos,TuTh 9:30am - 10:45am,New Cabell Hall 594,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Intermediate Seminar in African-American & African Studies,Afro-Brazilian History,Open,0,16,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies. Topics change from term to term, and vary with the instructor.",Cultures & Societies of the World,
19858,AAS,3559,001,SEM,3,Salma Mutwafy,TuTh 9:30am - 10:45am,New Cabell Hall 027,08/26/2025 - 12/09/2025,,,,,,,,,,,,,New Course in African and African American Studies,Perspectives on Africa's Economic Development,Open,0,20,0,New course in the subject of African and African American Studies.,Social & Economic Systems,
19849,AAS,3745,001,SEM,3,Njelle Hamilton,MoWe 2:00pm - 3:15pm,New Cabell Hall 395,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Currents in African Literature,,Open,0,24,0,"In this course, we will read a sampling of some exciting new works of fiction from Africa's young and established writers. In particular, we will examine the literary innovations that African writers use to narrate issues affecting the continent such as dictatorship, the lingering effects of colonization, the postcolonial nation state, the traumas of war and geo-politics, religion, gender and sexuality, and migration, among others.","Artistic, Interpretive, & Philosophical Inquiry$Cultures & Societies of the World",
19841,AAS,3750,001,Lecture,3,Nemata Blyden,TuTh 12:30pm - 1:45pm,New Cabell Hall 332,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Women in African History,,Open,0,28,0,"This course explores themes and issues in the lives of women in Africa. These include women in early African history, culture, and the role of gender in Africa, encounter with Islam and the West, womens search for autonomy, etc. Emphasis is placed, as much as is possible, on the perspectives of women, how they view their history and their ongoing struggle for self-determination.",Cultures & Societies of the World$Historical Perspectives,
19859,AAS,3770,001,SEM,3,Ashleigh Wade,Mo 3:30pm - 6:00pm,New Cabell Hall 485,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Black Girlhood & the Media,,Open,0,30,0,"How do movies, viral videos, and memes impact the material lives of Black girls? This course offers an introduction to the emergent and growing field of Black Girlhood Studies, especially in relation to media representation and engagement. The course will cover foundational texts about Black girlhood alongside a range of media to explore the ways in which Black girlhood has been constructed and portrayed through these platforms.",Cultures & Societies of the World$Social & Economic Systems,
19856,AAS,3810,001,SEM,3,Sabrina Pendergrass,Th 2:00pm - 4:30pm,New Cabell Hall 044,08/26/2025 - 12/09/2025,,,,,,,,,,,,,"Race, Culture and Inequality",,Open,0,15,0,"This course will examine how culture matters for understanding race and social inequality. It will survey social science research about cultural forms such as everyday discourse, styles of dress, music, literature, visual arts, and media as they relate to race and inequality.",Social & Economic Systems,
