ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description,Disciplines,Cost
10682,AAS,2224,001,SEM,3,Lisa Shutt,motuwethfr 1:00pm - 3:15pm,TBA,07/14/2025 - 08/07/2025,,,,,,,,,,,,,Black Femininities and Masculinities in the US Media,,Open,0,18,0,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender.","Artistic, Interpretive, & Philosophical Inquiry$Social & Economic Systems",
11988,AAS,2500,001,SEM,3,FATIMA SIWAJU,motuwethfr 10:30am - 12:45pm,Web-Based Course,06/16/2025 - 07/11/2025,FATIMA SIWAJU,sa 10:30am - 12:45pm,Web-Based Course,06/28/2025 - 06/28/2025,,,,,,,,,Topics Course in Africana Studies,Black Perspectives in Print,Open,0,18,0,"Lower-level topics course: reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.",Historical Perspectives$Social & Economic Systems,
11989,AAS,2559,001,Lecture,3,Naseemah Mohamed,motuwethfr 10:30am - 12:45pm,Web-Based Course,05/19/2025 - 06/13/2025,,,,,,,,,,,,,New Course in African and African American Studies,Afr.Liberation-Cartoons&Cinema,Open,5,18,0,New course in the subject of African and African American Studies,"Artistic, Interpretive, & Philosophical Inquiry",
10782,AAS,2760,001,SEM,3,Anne Rotich,motuwethfr 10:30am - 12:45pm,TBA,07/14/2025 - 08/07/2025,,,,,,,,,,,,,Empowered Women of Africa,,Open,0,10,0,"In this interdisciplinary survey course on women leaders in urban areas in Africa, we will examine the experiences of women from diverse societies across the Eastern and Southern regions of Africa during the colonial and postcolonial periods. Of particular importance is how women in these societies have faced challenges and how they emerge as leaders in their communities.",Cultures & Societies of the World$Social & Economic Systems,
10853,AAS,4993,001,IND,1 - 12,Anne Rotich,tba,TBA,07/14/2025 - 08/07/2025,,,,,,,,,,,,,Independent Study,,Open,0,3,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages.",,
12349,ACCT,3010,701,Lecture,3,Nammy Lee,mo 6:30pm - 9:30pm,Web-Based Course,05/19/2025 - 08/04/2025,,,,,,,,,,,,,Introductory Accounting I,,Open,0,24,0,"Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop the accounting model for capturing financial data, and finishes with the problems of measuring and reporting income, assets, liabilities, and equities.",,
12350,ACCT,3020,701,Lecture,3,Rich Lahijani,th 6:30pm - 9:30pm,Web-Based Course,05/22/2025 - 08/07/2025,,,,,,,,,,,,,Introductory Accounting II,,Open,0,24,0,"Continuation of ACCT 3010. Explores additional financial accounting topics with focus on managerial considerations and financial analysis. Cost accumulation, allocation, and product cost methods are studied in a manufacturing setting. Matters such as evaluation of performance planning, cost behavior, and special decisions are emphasized. Prerequisite: ACCT 3010",,
12351,ACCT,5110,701,Lecture,3,Leon Hutton,tu 6:30pm - 9:30pm,Web-Based Course,05/20/2025 - 08/05/2025,,,,,,,,,,,,,Intermediate Accounting I,,Open,0,24,0,"Provides an intensive study of the generally accepted accounting principles for asset valuation, income measurement, and financial statement presentation for business organizations, and underlying processes behind principles. Prerequisite: ACCT 3020",,
12370,ACCT,5120,701,Lecture,3,Gary Brooks,mo 6:30pm - 9:30pm,Web-Based Course,05/19/2025 - 08/04/2025,,,,,,,,,,,,,Intermediate Accounting II,,Open,0,24,0,"Continuation of ACCT 5110. Provides an in-depth study of accounting for the equities of a firm's investors and creditors. Covers special problem areas in financial accounting including accounting for leases, pensions, and income taxes. Prerequisite: ACCT 5110",,
12352,ACCT,5200,701,Lecture,3,Richard Evans,we 6:30pm - 9:30pm,Web-Based Course,05/21/2025 - 08/06/2025,,,,,,,,,,,,,Introduction to Accounting Information Systems,,Open,0,24,0,"Explores how accounting information systems are designed and implemented to meet organizational accounting and decision-making needs. Analyze how capabilities and limitations inherent to current technology may shape organizational operations and strategy. Topics include firm value of AIS, block chain, artificial intelligence, mapping business processes, database design and queries, internal controls, mitigating information risks, and more.",,
12353,ACCT,5210,701,Lecture,3,Richard Evans,th 6:30pm - 9:30pm,Web-Based Course,05/22/2025 - 08/07/2025,,,,,,,,,,,,,Introductory Auditing,,Open,0,24,0,"Examines auditing methodology through a study of auditing standards. Includes the nature of evidence, program planning, work papers, internal control evaluation, types of audit tests, and audit reports. Prerequisite: ACCT 5120",,
12354,ACCT,5450,701,Lecture,3,Harvey Hutchinson,we 6:30pm - 9:30pm,Web-Based Course,05/21/2025 - 08/06/2025,,,,,,,,,,,,,Federal Taxation I,,Open,0,24,0,Analyzes the federal income tax law and its application to individuals. Creates a study of problems covering personal and business tax situations. Assigns several cases for which the student prepares illustrative tax returns. Prerequisite: ACCT 3020 or Instructor Permission,,
12445,ACCT,5460,701,Lecture,3,Travis Bartee,tu 6:30pm - 9:30pm,Web-Based Course,05/20/2025 - 08/05/2025,,,,,,,,,,,,,Federal Taxation II,,Open,0,24,0,"Analyzes the federal income tax law and its application to corporations, shareholders, partnerships, partners, estates, and gift transactions. Prerequisite: ACCT 5120.",,
12355,ACCT,5480,701,Lecture,3,Michael Hood,tu 6:30pm - 9:30pm,Web-Based Course,05/20/2025 - 08/05/2025,,,,,,,,,,,,,Corporate Governance and Ethics,,Open,0,24,0,Provides in-depth understanding of corporate governance and ethics related to the public accounting profession. Explores different ethical decision-making models and apply formal corporate governance frameworks to resolve ethical conflicts as faced by accountants. Examines the challenges to ethical decision-making faced by internal accountants & auditors and learn to evaluate & resolve ethical conflict.,,
12448,ACCT,5710,701,Lecture,3,Travis Bartee,mo 6:30pm - 9:30pm,Web-Based Course,05/19/2025 - 08/04/2025,,,,,,,,,,,,,Business Law,,Open,0,24,0,"Covers key areas of law that affect businesses. Topics that are covered include but are not limited to an introduction to the American legal system, Constitutional law, torts, contracts, sales, commercial paper, agency law, employment law, partnerships, corporations, hybrid entities, regulation of business, property law, and bankruptcy law.",,
10004,ALAR,5010,001,Lecture,1,"Bradley Cantrell, Jeana Ripple",motuwethfr 8:30am - 6:00pm,Campbell Hall 153,07/11/2025 - 08/08/2025,,,,,,,,,,,,,Introduction to Design,,Open,0,50,0,"Introduction to design concepts from the scale of the city to the body, developing an understanding of design process and compositional strategies in architecture and landscape architecture. Prerequisite: Admission to the Master of Architecture or Master of Landscape Architecture Program - required for entry into the three year course of professional study unless waived by the Department Chair.",,
10002,ALAR,5020,001,Lecture,1,"Bradley Cantrell, Jeana Ripple",motuwethfr 8:30am - 6:00pm,Campbell Hall 401,07/11/2025 - 08/08/2025,,,,,,,,,,,,,Introduction to Design Visualization,,Open,0,50,0,"Introduction to both digital and manual representational techniques, developing the precision and facility necessary for visual communication. Prerequisite: Admission to the Master of Architecture or Master of Landscape Architecture Program - required for entry into the three year course of professional study unless waived by the Department Chair.",,
10003,ALAR,5030,001,Lecture,1,"Bradley Cantrell, Jeana Ripple",motuwethfr 8:30am - 6:00pm,Campbell Hall 401,07/11/2025 - 08/08/2025,,,,,,,,,,,,,Introduction to Design Theory and Analysis,,Open,0,50,0,Introduction to the analysis of the physical environment at the intersection of historical understanding and contemporary imagination. Prerequisite: Admission to the Master of Architecture or Master of Landscape Architecture Program - required for entry into the three year course of professional study unless waived by the Department Chair.,,
11991,AMST,2001,001,Lecture,3,"Fiona Ngo, Jack Hamilton",motuwethfr 10:30am - 12:45pm,TBA,05/19/2025 - 06/13/2025,,,,,,,,,,,,,Introduction to American Studies,,Open,2,30,0,"This course introduces students to American Studies, the interdisciplinary study of US culture. Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites.","Artistic, Interpretive, & Philosophical Inquiry$Historical Perspectives",
12385,AMST,4601,001,Lecture,3,Ruby Tapia,motuwethfr 1:00pm - 3:15pm,Web-Based Course,05/19/2025 - 06/13/2025,,,,,,,,,,,,,"Gender, Race, and the Prison",,Open,2,20,0,"In this course, we will study the intersection of social scientific and humanistic scholarship, showing how the prison deploys and produces gender and its imbrications with race, class, and sexuality as a tool of control, punishment, and dehumanization. Our materials will highlight the experiences of women as we consider the carceral state that is fundamentally organized by gendered assumptions that shape the experiences of all social groups.",,
10845,AMST,4993,001,IND,1 - 3,Penny Von Eschen,tba,TBA,07/14/2025 - 08/07/2025,,,,,,,,,,,,,Independent Study,,Open,0,1,0,"An elective course for American Studies majors who have completed AMST 3001-3002. Students will work with an American Studies faculty member to support the student's own research. Topics vary, and must be approved by the Program Director. Prerequisite: AMST 3001, 3002, Instructor Consent.",,
