ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,WaitlistLimit,Description,Disciplines,Cost
10112,AAS,2224,001,SEM,3,Lisa Shutt,motuwethfrsa 9:00am - 2:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Black Femininities and Masculinities in the US Media,,Open,10,18,0,0,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender.","Artistic, Interpretive, & Philosophical Inquiry$Social & Economic Systems",
10113,ARTH,2052,001,Lecture,3,Anastasia Dakouri-Hild,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Ancient Egypt,,Open,12,15,0,0,"Survey of Egyptian art and architecture (Predynastic-New Kingdom, 4000-1100 BC). The course introduces students to the great monuments and works of art, and to the beliefs that engendered them. While the focus is on pharaonic 'visual' culture, neglected 'others' (women, cross-gendered persons, foreigners, commoners) and their material/visual cultures are brought to attention to provide a nuanced understanding of Egyptian society and culture.","Artistic, Interpretive, & Philosophical Inquiry$Historical Perspectives",
10014,ARTS,2610,001,STO,3,Maria Villanueva,motuwethfrsa 9:00am - 2:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Drawing I,,Open,13,16,0,10,"A continued introductory study of the materials and techniques of drawing. Provides training in the coordination of hand and eye and encourages development of visual analysis. Emphasizes understanding form, space, light and composition.","Artistic, Interpretive, & Philosophical Inquiry",
10026,BME,6550,001,Lecture,2,Lloyd McMahon,motuwethfrsa 10:30am - 12:00pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Special Topics in Biomedical Engineering,Biomedical Design Practices,Open,12,17,0,0,"Applies engineering science, design methods, and system analysis to developing areas and current problems in biomedical engineering. Topics vary by semester.",,
10114,DS,2003,001,Lecture,3,Prince Afriyie,tba,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Communicating with Data,,Closed,31,30,0,10,The course is designed to not only teach students tools necessary to visualize data but also effective techniques for explaining data driven results with an emphasis on communicating statistical output in a manner that best represents the findings. Examples might include tailoring messages based on the audience or shaping visualizations to follow a story-line. Content on the development of interactive plots and dashboards will also be included.,,
10001,ENCW,4830,001,WKS,3,Lisa Spaar,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Advanced Poetry Writing I,,Open,7,10,0,0,"For advanced students with prior experience in writing poetry. Student work is discussed in class and in individual conferences. Reading in contemporary poetry is also assigned. May be repeated with different instructor. For instructions on how to apply to this class, see creativewriting.virginia.edu/ugrad.","Artistic, Interpretive, & Philosophical Inquiry",
10116,ENGL,1910,001,Lecture,3,Margaret Gardiner,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Public Speaking,,Open,6,18,0,0,"The development of skills in the preparation, delivery, and criticism of speeches, with emphasis on the function of audience analysis, evidence, organization, language, and style. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.","Artistic, Interpretive, & Philosophical Inquiry",
10117,ENGL,3500,001,Lecture,3,Cristina Griffin,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Studies in English Literature,History of Romance,Open,13,15,0,0,"Topics vary. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.","Artistic, Interpretive, & Philosophical Inquiry",
10118,ENWR,2520,001,SEM,3,Heidi Nobles,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Special Topics in Writing,Literacy for Well-Being,Open,17,22,0,10,"Includes courses on writing studies, corporate communications, and digital writing. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses. Prerequisite: Completion of first writing requirement.","Artistic, Interpretive, & Philosophical Inquiry$Second Writing",
10017,EVSC,2850,001,Lecture,3,Lauren Miller,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Polar Environments,,Open,22,30,0,10,"This course explores the unique aspects of polar systems (Arctic and Antarctic) and lessons for the larger globe by integrating relevant aspects of climate science, geology, glaciology and cryosphere science, oceanography, ecology, and human-dimensions.","Chemical, Mathematical, and Physical Universe",
10039,GBUS,7900,001,Lecture,1.5,"Gopika Spaenle, Jennifer Windus, Jim Collins",tuth 6:30pm - 9:00pm,***,01/02/2026 - 01/11/2026,"Gopika Spaenle, Jennifer Windus, Jim Collins",mo 6:30pm - 8:30pm,***,01/05/2026 - 01/05/2026,"Gopika Spaenle, Jennifer Windus, Jim Collins",sa 8:00am - 4:15pm,***,01/10/2026 - 01/10/2026,,,,,Professional Advancement Course,,Open,72,100,0,0,This course is designed to provide the skills and perspectives MBA for Executives students need to advance their careers. There are two components: a highly individualized coaching experience and a series of cohort-based experiences intended to develop leadership skills. Prerequisites: Restricted to Darden Students,,
10040,GBUS,7900,002,Lecture,1.5,"Gopika Spaenle, Jennifer Windus, Jim Collins",mo 6:30pm - 8:30pm,***,01/05/2026 - 01/05/2026,"Gopika Spaenle, Jennifer Windus, Jim Collins",tuth 6:30pm - 9:00pm,***,01/06/2026 - 01/08/2026,"Gopika Spaenle, Jennifer Windus, Jim Collins",sa 8:00am - 4:15pm,***,01/10/2026 - 01/10/2026,,,,,Professional Advancement Course,,Closed,132,100,0,0,This course is designed to provide the skills and perspectives MBA for Executives students need to advance their careers. There are two components: a highly individualized coaching experience and a series of cohort-based experiences intended to develop leadership skills. Prerequisites: Restricted to Darden Students,,
10038,GBUS,8015,001,Lecture,1.5,Manuel Baucells,fr 6:00pm - 8:45pm,***,01/02/2026 - 01/02/2026,Manuel Baucells,sa 9:00am - 11:45am,***,01/03/2026 - 01/03/2026,Manuel Baucells,motuwethfr 6:00pm - 8:45pm,***,01/05/2026 - 01/09/2026,,,,,Behavioral Decision Making,,Open,56,150,0,0,"In this course, students will examine many behavioral anomalies and, more important, explore some frames that explain these apparently irrational behaviors. The emphasis of the course is on solving practical business problems.",,
10037,GBUS,8052,001,Lecture,1.5,Kim Whitler,su 6:00pm - 9:10pm,***,01/04/2026 - 01/04/2026,Kim Whitler,motuweth 6:00pm - 9:10pm,***,01/05/2026 - 01/08/2026,,,,,,,,,Marketing Leadership,,Open,63,100,0,0,"Leading a marketing organization presents a unique set of leadership challenges, which every aspiring marketing leader will need to understand and manage as they navigate careers as leaders in the most dynamic function in the modern business enterprise -- marketing.",,
10153,GBUS,8391,001,Lecture,1.5,Shane Dikolli,sa 2:00pm - 5:10pm,***,01/03/2026 - 01/03/2026,Shane Dikolli,su 10:00am - 1:00pm,***,01/04/2026 - 01/04/2026,Shane Dikolli,tu 6:00pm - 9:10pm,***,01/06/2026 - 01/06/2026,Shane Dikolli,th 6:00pm - 9:10pm,***,01/08/2026 - 01/08/2026,Strategic Costing,,Open,32,72,0,0,Strategic costing is concerned with use of internal cost accounting information to plan and evaluate strategic operations and interactions with stakeholders of the firm. The focus is on planning and strategic decision-making by the organization and on the accounting systems that managers have to assist them in their decisions about resource allocation and performance evaluation. The course is intended as an extension of foundational cost accounting.,,
