ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,WaitlistLimit,Description,Disciplines,Cost
10009,AAS,2224,001,SEM,3,Lisa Shutt,motuwethfr 10:30am - 12:45pm,***,07/13/2026 - 08/06/2026,,,,,,,,,,,,,Black Femininities and Masculinities in the US Media,,Open,0,11,0,10,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender.","Artistic, Interpretive, & Philosophical Inquiry$Social & Economic Systems",
12451,AAS,2500,001,SEM,3,FATIMA SIWAJU,motuwethfr 10:30am - 12:45pm,***,05/18/2026 - 06/12/2026,,,,,,,,,,,,,Topics Course in Africana Studies,Black Religions in Film,Open,1,18,0,99,"Lower-level topics course: reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.",Cultures & Societies of the World,
12455,AAS,2500,002,SEM,3,Naseemah Mohamed,motuwethfr 10:30am - 12:45pm,***,05/18/2026 - 06/12/2026,,,,,,,,,,,,,Topics Course in Africana Studies,Afr Liberation-Cartoons&Cinema,Open,0,18,0,99,"Lower-level topics course: reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.",Historical Perspectives,
12268,AAS,2760,1,SEM,3,Anne Rotich,tba,***,07/13/2026 - 08/06/2026,,,,,,,,,,,,,Empowered Women of Africa,,Wait List,18,18,9,10,"In this interdisciplinary survey course on women leaders in urban areas in Africa, we will examine the experiences of women from diverse societies across the Eastern and Southern regions of Africa during the colonial and postcolonial periods. Of particular importance is how women in these societies have faced challenges and how they emerge as leaders in their communities.",Cultures & Societies of the World$Social & Economic Systems,
12487,ACCT,3010,701,Lecture,3,Rita Fox,mo 6:30pm - 9:30pm,***,05/18/2026 - 08/03/2026,,,,,,,,,,,,,Introductory Financial Accounting,,Open,1,24,0,0,"Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop an accounting model for capturing financial data, and finishes with the problems of measuring and reporting incomes, assets, liabilities, and equities. The focus is on external reporting with core financial statements.",,
12488,ACCT,5110,701,Lecture,3,Leon Hutton,th 6:30pm - 9:30pm,***,05/21/2026 - 08/06/2026,,,,,,,,,,,,,Intermediate Accounting I,,Open,14,24,0,0,"Provides an intensive study of the generally accepted accounting principles for asset valuation, income measurement, and financial statement presentation for business organizations, and underlying processes behind principles. Recommended prerequisite: ACCT 3010.",,
12489,ACCT,5120,701,Lecture,3,Nammy Lee,mo 6:30pm - 9:30pm,***,05/18/2026 - 08/03/2026,,,,,,,,,,,,,Intermediate Accounting II,,Open,5,24,0,0,"Continuation of ACCT 5110. Provides an in-depth study of accounting for the equities of a firm's investors and creators. Covers special problem areas in financial accounting including accounting for leases, pensions, income taxes, and shareholder's equity considerations. Recommended prerequisite: ACCT 5110.",,
12490,ACCT,5200,701,Lecture,3,Richard Evans,we 6:30pm - 9:30pm,***,05/20/2026 - 08/05/2026,,,,,,,,,,,,,Introduction to Accounting Information Systems,,Open,7,24,0,0,"Explores how accounting information systems are designed and implemented to meet organizational accounting and decision-making needs. Analyze how capabilities and limitations inherent to current technology may shape organizational operations and strategy. Topics include firm value of AIS, block chain, artificial intelligence, mapping business processes, database design and queries, internal controls, mitigating information risks, and more.",,
12491,ACCT,5210,701,Lecture,3,,th 6:30pm - 9:30pm,***,05/21/2026 - 08/06/2026,,,,,,,,,,,,,Introductory Auditing,,Open,14,24,0,0,"Examines auditing methodology through a study of auditing standards. Includes the nature of evidence, program planning, work papers, internal control evaluation, types of audit tests, and audit reports. Recommended prerequisite: ACCT 5120.",,
12492,ACCT,5450,701,Lecture,3,Harvey Hutchinson,we 6:30pm - 9:30pm,***,05/20/2026 - 08/05/2026,,,,,,,,,,,,,Introduction to Taxation,,Open,5,24,0,0,"Analyzes basic federal income tax laws and their application to individuals, corporations, and other entities. Employs a study of scenarios and problems covering personal and business tax situations for tax avoidance results. Assigns several cases for which the student prepares illustrative tax returns. Recommended prerequisite: ACCT 3010.",,
